Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-CG-5730-01	51	7	18	5	102	0	19
TCGA-CG-5732-01	22	11	0	5	34	5	2
TCGA-CG-5733-01	330	456	187	124	1	28	67
TCGA-CG-5734-01	30	7	18	4	27	14	12
TCGA-D7-5577-01	33	15	4	1	59	14	18
TCGA-D7-5578-01	84	9	18	13	83	79	7
TCGA-D7-5579-01	17	22	10	1	60	35	29
TCGA-D7-6518-01	26	7	14	0	37	10	10
TCGA-D7-6519-01	14	4	0	5	35	1	8
TCGA-D7-6520-01	19	2	7	4	33	5	6
TCGA-D7-6521-01	27	0	7	0	37	0	17
TCGA-D7-6522-01	23	3	5	2	21	10	2
TCGA-D7-6524-01	56	0	4	9	34	0	21
TCGA-D7-6525-01	25	9	19	1	70	48	29
TCGA-D7-6526-01	43	18	11	0	112	65	19
TCGA-D7-6527-01	34	0	20	1	75	128	9
TCGA-D7-6528-01	23	12	31	4	142	178	32
TCGA-D7-6815-01	69	21	21	0	54	6	0
TCGA-D7-6817-01	28	18	11	8	29	11	0
TCGA-D7-6818-01	17	7	16	9	27	116	0
TCGA-D7-6820-01	24	6	3	9	76	2	1
TCGA-D7-6822-01	33	7	12	22	77	136	20
TCGA-D7-8570-01	47	7	11	0	81	6	2
TCGA-D7-8572-01	44	23	5	2	113	9	26
TCGA-D7-8573-01	37	11	7	8	27	9	6
TCGA-D7-8574-01	23	9	0	0	14	3	0
TCGA-D7-8575-01	20	4	0	2	22	0	9
TCGA-D7-8576-01	25	8	10	6	22	0	0
TCGA-D7-8578-01	34	3	15	0	13	0	2
TCGA-D7-8579-01	36	0	19	10	11	60	7
TCGA-D7-A4YT-01	24	38	20	12	233	13	24
TCGA-D7-A4YU-01	72	15	17	6	90	67	18
TCGA-D7-A4YV-01	421	273	223	36	7	21	19
TCGA-D7-A4YX-01	56	1	4	5	32	0	2
TCGA-D7-A4YY-01	133	166	100	27	32	72	20
TCGA-D7-A4Z0-01	23	0	21	0	0	320	2
TCGA-D7-A6ET-01	12	3	0	2	16	0	1
TCGA-D7-A6EV-01	66	21	17	6	58	27	9
TCGA-D7-A6EX-01	31	21	9	0	59	10	23
TCGA-D7-A6EY-01	365	356	315	359	30	136	0
TCGA-D7-A6EZ-01	17	19	26	22	196	23	11
TCGA-D7-A6F0-01	25	12	25	0	65	9	21
TCGA-D7-A6F2-01	38	1	2	10	36	2	1
TCGA-D7-A747-01	21	0	2	0	39	62	2
TCGA-D7-A748-01	20	4	10	0	5	7	5
TCGA-D7-A74A-01	49	0	0	0	134	0	12
TCGA-D7-A74B-01	12	5	0	5	13	3	4
TCGA-EQ-5647-01	18	0	6	5	62	7	12
TCGA-EQ-8122-01	50	24	21	5	100	11	17
TCGA-EQ-A4SO-01	9	19	13	19	132	7	6
TCGA-F1-6177-01	622	414	254	79	0	26	0
TCGA-F1-6874-01	318	406	135	55	27	15	35
TCGA-F1-6875-01	45	11	0	8	39	8	4
TCGA-F1-A448-01	234	190	133	92	0	19	0
TCGA-F1-A72C-01	22	0	10	2	20	7	0
TCGA-FP-7735-01	17	1	0	0	46	0	7
TCGA-FP-7829-01	71	44	26	0	105	24	36
TCGA-FP-7916-01	47	14	19	0	36	2	7
TCGA-FP-7998-01	21	2	8	3	36	3	8
TCGA-FP-8099-01	61	15	16	0	44	0	37
TCGA-FP-8209-01	0	0	1	0	0	0	0
TCGA-FP-8210-01	0	3	0	2	0	0	0
TCGA-FP-8211-01	0	17	9	7	69	5	9
TCGA-FP-8631-01	10	18	3	0	65	7	17
TCGA-FP-A4BE-01	751	474	265	112	0	39	0
TCGA-FP-A4BF-01	33	0	27	3	41	8	10
TCGA-FP-A8CX-01	33	12	1	6	40	12	10
TCGA-FP-A9TM-01	75	23	15	4	90	1	0
TCGA-HF-7131-01	8	0	2	3	82	20	0
