Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CD-A4MH-01	8.05E-01	1.65E+00	1.38E+00	8.43E-01
TCGA-CD-A4MI-01	7.97E+00	7.65E+00	1.28E+00	1.27E+00
TCGA-CD-A4MJ-01	5.69E+00	5.06E+00	1.33E+00	6.28E-01
TCGA-CG-4300-01	1.23E+00	2.18E+00	1.91E+00	1.18E+00
TCGA-CG-4301-01	7.82E-01	1.85E+00	1.68E+00	1.03E+00
TCGA-CG-4304-01	8.00E-01	2.00E+00	1.81E+00	9.65E-01
TCGA-CG-4305-01	1.09E+01	1.02E+01	1.97E+00	1.80E+00
TCGA-CG-4306-01	5.30E+00	4.29E+00	2.06E+00	1.09E+00
TCGA-CG-4436-01	1.34E+00	3.55E+00	3.22E+00	2.93E+00
TCGA-CG-4437-01	3.78E+00	1.72E+01	1.70E+01	9.70E+00
TCGA-CG-4438-01	1.24E+00	4.11E+00	4.01E+00	2.29E+00
TCGA-CG-4440-01	9.75E-01	2.82E+00	2.37E+00	1.52E+00
TCGA-CG-4441-01	1.12E+00	1.45E+00	1.41E+00	1.30E+00
TCGA-CG-4442-01	2.12E+01	2.35E+01	1.48E+00	4.16E+00
TCGA-CG-4443-01	7.88E-01	3.56E+00	3.62E+00	1.99E+00
TCGA-CG-4444-01	1.34E+00	4.02E+00	3.90E+00	3.61E+00
TCGA-CG-4449-01	7.94E-01	1.95E+00	1.93E+00	1.37E+00
TCGA-CG-4455-01	6.46E-01	1.69E+00	1.52E+00	7.82E-01
TCGA-CG-4460-01	5.64E+00	4.33E+00	2.35E+00	2.55E+00
TCGA-CG-4462-01	8.77E-01	1.26E+00	1.05E+00	8.24E-01
TCGA-CG-4465-01	5.51E+00	4.25E+00	2.04E+00	1.86E+00
TCGA-CG-4466-01	1.48E+00	4.14E+00	3.75E+00	3.34E+00
TCGA-CG-4469-01	1.48E+00	4.26E+00	4.86E+00	4.89E+00
TCGA-CG-4474-01	8.43E-01	1.51E+00	1.26E+00	8.35E-01
TCGA-CG-4475-01	8.13E-01	1.69E+00	1.59E+00	8.67E-01
TCGA-CG-4476-01	1.20E+00	3.57E+00	3.29E+00	1.87E+00
TCGA-CG-4477-01	8.40E-01	2.18E+00	1.75E+00	1.10E+00
TCGA-CG-5716-01	4.16E-01	3.83E-01	3.84E-01	2.97E-01
TCGA-CG-5717-01	8.13E-01	3.72E+00	4.24E+00	2.45E+00
TCGA-CG-5718-01	1.14E+00	2.70E+00	2.34E+00	1.67E+00
TCGA-CG-5719-01	1.01E+00	1.96E+00	1.71E+00	1.11E+00
TCGA-CG-5720-01	1.07E+00	2.41E+00	1.94E+00	1.19E+00
TCGA-CG-5721-01	1.12E+02	1.31E+02	5.83E+00	4.82E+01
TCGA-CG-5722-01	9.77E-01	2.21E+00	1.87E+00	1.04E+00
TCGA-CG-5723-01	1.68E+01	1.77E+01	1.89E+00	3.88E+00
TCGA-CG-5724-01	1.02E+00	1.94E+00	1.69E+00	1.26E+00
TCGA-CG-5725-01	7.82E-01	1.35E+00	9.80E-01	7.19E-01
TCGA-CG-5726-01	1.05E+01	9.71E+00	2.27E+00	2.35E+00
TCGA-CG-5727-01	2.04E+00	4.53E+00	3.45E+00	2.31E+00
TCGA-CG-5728-01	1.03E+01	9.08E+00	2.23E+00	1.94E+00
TCGA-CG-5730-01	2.07E+00	4.93E+00	3.76E+00	2.55E+00
TCGA-CG-5732-01	9.07E-01	1.85E+00	1.63E+00	9.19E-01
TCGA-CG-5733-01	8.84E+00	8.55E+00	1.61E+00	1.43E+00
TCGA-CG-5734-01	9.31E-01	1.58E+00	1.31E+00	8.17E-01
TCGA-D7-5577-01	1.36E+00	3.08E+00	2.41E+00	1.59E+00
TCGA-D7-5578-01	1.74E+00	4.33E+00	3.67E+00	2.92E+00
TCGA-D7-5579-01	1.04E+00	2.88E+00	2.33E+00	1.94E+00
TCGA-D7-6518-01	1.06E+00	1.98E+00	1.61E+00	1.17E+00
TCGA-D7-6519-01	7.68E-01	1.74E+00	1.61E+00	9.39E-01
TCGA-D7-6520-01	7.01E-01	1.43E+00	1.40E+00	9.13E-01
TCGA-D7-6521-01	1.25E+00	2.08E+00	1.41E+00	1.18E+00
TCGA-D7-6522-01	6.80E-01	1.07E+00	8.16E-01	5.80E-01
TCGA-D7-6524-01	1.28E+00	2.27E+00	1.64E+00	1.32E+00
TCGA-D7-6525-01	1.20E+00	3.35E+00	2.77E+00	1.87E+00
TCGA-D7-6526-01	2.16E+00	5.79E+00	4.22E+00	2.95E+00
TCGA-D7-6527-01	1.41E+00	3.86E+00	4.21E+00	4.51E+00
TCGA-D7-6528-01	1.64E+00	5.29E+00	6.04E+00	5.89E+00
TCGA-D7-6815-01	1.62E+00	3.19E+00	2.23E+00	1.49E+00
TCGA-D7-6817-01	9.43E-01	2.36E+00	2.16E+00	1.35E+00
TCGA-D7-6818-01	9.07E-01	1.06E+00	3.51E+00	3.93E+00
TCGA-D7-6820-01	1.24E+00	3.28E+00	3.02E+00	1.84E+00
TCGA-D7-6822-01	1.33E+00	3.15E+00	4.43E+00	4.78E+00
TCGA-D7-8570-01	1.94E+00	4.82E+00	3.67E+00	2.26E+00
TCGA-D7-8572-01	2.17E+00	6.17E+00	5.00E+00	3.08E+00
TCGA-D7-8573-01	9.48E-01	1.31E+00	1.22E+00	9.91E-01
TCGA-D7-8574-01	7.65E-01	9.96E-01	8.43E-01	2.41E-01
TCGA-D7-8575-01	6.79E-01	1.22E+00	1.08E+00	7.47E-01
TCGA-D7-8576-01	7.00E-01	1.20E+00	1.00E+00	5.18E-01
TCGA-D7-8578-01	8.42E-01	1.13E+00	8.58E-01	4.87E-01
TCGA-D7-8579-01	8.12E-01	8.80E-01	1.89E+00	1.96E+00
TCGA-D7-A4YT-01	2.22E+00	1.03E+01	1.01E+01	5.73E+00
TCGA-D7-A4YU-01	1.87E+00	4.98E+00	3.74E+00	2.92E+00
TCGA-D7-A4YV-01	3.38E+00	2.52E+00	1.45E+00	1.26E+00
TCGA-D7-A4YX-01	1.26E+00	2.08E+00	1.44E+00	8.32E-01
TCGA-D7-A4YY-01	2.84E+00	1.52E+00	2.81E+00	2.51E+00
TCGA-D7-A4Z0-01	1.03E+00	1.33E+00	9.48E+00	1.01E+01
TCGA-D7-A6ET-01	5.64E-01	8.98E-01	7.72E-01	3.76E-01
TCGA-D7-A6EV-01	1.60E+00	3.47E+00	2.68E+00	1.74E+00
TCGA-D7-A6EX-01	1.60E+00	3.64E+00	2.70E+00	1.85E+00
TCGA-D7-A6EY-01	1.59E+01	1.54E+01	4.87E+00	4.04E+00
TCGA-D7-A6EZ-01	1.93E+00	8.16E+00	8.25E+00	5.14E+00
TCGA-D7-A6F0-01	1.45E+00	3.62E+00	2.79E+00	1.53E+00
TCGA-D7-A6F2-01	9.98E-01	2.24E+00	1.77E+00	1.12E+00
TCGA-D7-A747-01	9.42E-01	2.24E+00	1.95E+00	1.86E+00
TCGA-D7-A748-01	5.93E-01	7.39E-01	5.92E-01	4.86E-01
TCGA-D7-A74A-01	2.05E+00	6.37E+00	5.29E+00	3.38E+00
TCGA-D7-A74B-01	4.71E-01	6.82E-01	6.96E-01	4.78E-01
TCGA-EQ-5647-01	9.65E-01	2.64E+00	2.24E+00	1.37E+00
TCGA-EQ-8122-01	1.97E+00	4.88E+00	3.74E+00	2.37E+00
TCGA-EQ-A4SO-01	1.26E+00	5.28E+00	5.72E+00	3.33E+00
TCGA-F1-6177-01	6.18E+00	5.45E+00	1.30E+00	1.26E+00
TCGA-F1-6874-01	5.60E+00	4.37E+00	1.80E+00	1.41E+00
TCGA-F1-6875-01	1.08E+00	2.05E+00	1.71E+00	1.11E+00
TCGA-F1-A448-01	5.45E+00	5.34E+00	9.78E-01	7.62E-01
TCGA-F1-A72C-01	7.00E-01	1.29E+00	1.06E+00	6.81E-01
TCGA-FP-7735-01	9.98E-01	2.30E+00	1.89E+00	1.10E+00
TCGA-FP-7829-01	2.52E+00	5.54E+00	3.74E+00	2.08E+00
TCGA-FP-7916-01	1.19E+00	2.24E+00	1.72E+00	1.11E+00
TCGA-FP-7998-01	9.67E-01	1.70E+00	1.41E+00	9.67E-01
TCGA-FP-8099-01	1.36E+00	2.08E+00	1.52E+00	1.26E+00
TCGA-FP-8209-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-FP-8210-01	8.93E-02	1.36E-01	1.37E-01	6.45E-02
TCGA-FP-8211-01	7.23E-01	2.83E+00	3.11E+00	1.78E+00
TCGA-FP-8631-01	9.67E-01	3.13E+00	2.73E+00	1.66E+00
TCGA-FP-A4BE-01	9.17E+00	9.58E+00	1.74E+00	1.59E+00
TCGA-FP-A4BF-01	1.33E+00	2.19E+00	1.52E+00	1.17E+00
TCGA-FP-A8CX-01	1.08E+00	2.26E+00	1.88E+00	1.17E+00
TCGA-FP-A9TM-01	2.35E+00	4.88E+00	3.56E+00	2.14E+00
TCGA-HF-7131-01	6.51E-01	3.03E+00	2.96E+00	1.92E+00
TCGA-HF-7132-01	6.34E+00	5.77E+00	1.54E+00	1.37E+00
TCGA-HF-7133-01	8.83E-01	1.75E+00	1.42E+00	7.55E-01
TCGA-HF-7134-01	2.12E+00	5.87E+00	4.56E+00	3.71E+00
TCGA-HF-7136-01	9.13E-01	2.05E+00	1.76E+00	1.14E+00
TCGA-HF-A5NB-01	1.50E+01	1.53E+01	1.78E+00	1.57E+00
TCGA-HJ-7597-01	5.77E+00	5.77E+00	4.84E-01	2.22E-01
TCGA-HU-8238-01	1.41E+00	3.62E+00	2.86E+00	2.33E+00
TCGA-HU-8243-01	1.63E+00	3.40E+00	2.77E+00	1.64E+00
TCGA-HU-8244-01	1.80E+00	3.06E+00	1.88E+00	1.23E+00
TCGA-HU-8245-01	7.69E-01	7.90E-01	9.10E-01	6.25E-01
TCGA-HU-8249-01	1.56E+00	3.06E+00	2.42E+00	1.68E+00
TCGA-HU-8602-01	1.30E+01	1.27E+01	1.24E+00	8.65E-01
TCGA-HU-8604-01	1.57E+00	3.70E+00	2.66E+00	1.98E+00
