Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-EE-A183-06	6.35E+00	4.67E+00	1.20E+00	5.87E+00
TCGA-EE-A184-06	1.15E+00	3.79E-01	8.23E+00	8.00E+00
TCGA-EE-A185-06	3.06E+00	2.76E+00	7.67E-01	1.85E+00
TCGA-EE-A20B-06	2.68E+00	2.53E+00	9.06E-01	2.07E+00
TCGA-EE-A20C-06	2.04E+01	1.98E+01	2.74E+00	1.63E+01
TCGA-EE-A20F-06	5.35E+00	4.19E+00	9.82E-01	3.87E+00
TCGA-EE-A20H-06	5.39E+00	6.84E+00	1.50E+00	6.19E+00
TCGA-EE-A20I-06	3.20E-01	3.81E-01	4.43E-01	3.13E-01
TCGA-EE-A29A-06	4.49E+00	3.98E+00	7.43E-01	3.31E+00
TCGA-EE-A29B-06	4.88E+00	4.82E+00	1.14E+00	4.79E+00
TCGA-EE-A29C-06	5.56E+00	5.14E+00	7.54E-01	3.80E+00
TCGA-EE-A29D-06	3.82E+01	2.78E+01	3.78E+00	3.73E+01
TCGA-EE-A29E-06	3.35E+01	2.10E+01	1.72E+00	3.03E+01
TCGA-EE-A29G-06	3.49E+00	4.47E+00	1.25E+00	3.54E+00
TCGA-EE-A29H-06	3.97E+00	3.66E+00	7.47E-01	3.02E+00
TCGA-EE-A29L-06	1.92E+01	1.45E+01	1.66E+00	1.65E+01
TCGA-EE-A29M-06	2.27E+01	1.51E+01	1.43E+00	2.27E+01
TCGA-EE-A29N-06	7.99E+00	6.91E+00	1.27E+00	5.24E+00
TCGA-EE-A29P-06	4.45E+00	4.35E+00	7.03E-01	2.29E+00
TCGA-EE-A29Q-06	4.17E+00	4.26E+00	1.04E+00	3.26E+00
TCGA-EE-A29R-06	7.76E+00	7.37E+00	1.05E+00	7.28E+00
TCGA-EE-A29S-06	1.02E+01	9.64E+00	2.42E+00	9.91E+00
TCGA-EE-A29T-06	3.43E+00	2.67E+00	1.48E+00	2.53E+00
TCGA-EE-A29V-06	1.41E+01	1.24E+01	1.58E+00	1.04E+01
TCGA-EE-A29W-06	1.54E+00	1.54E+00	4.50E-01	8.33E-01
TCGA-EE-A29X-06	2.39E+00	2.21E+00	4.75E-01	1.32E+00
TCGA-EE-A2A0-06	3.72E+00	4.16E+00	1.06E+00	3.86E+00
TCGA-EE-A2A1-06	3.95E+00	3.37E+00	6.98E-01	2.72E+00
TCGA-EE-A2A2-06	1.76E+01	1.70E+01	1.84E+00	1.28E+01
TCGA-EE-A2A5-06	3.67E+00	3.65E+00	6.88E-01	2.50E+00
TCGA-EE-A2A6-06	3.24E+00	2.81E+00	5.66E-01	2.43E+00
TCGA-EE-A2GB-06	7.12E+00	6.54E+00	8.93E-01	5.96E+00
TCGA-EE-A2GC-06	2.42E+01	1.94E+01	1.46E+00	2.06E+01
TCGA-EE-A2GD-06	4.81E+00	5.98E+00	1.08E+00	4.10E+00
TCGA-EE-A2GE-06	3.76E+00	3.50E+00	6.30E-01	2.18E+00
TCGA-EE-A2GH-06	4.43E+00	3.55E+00	7.48E-01	3.20E+00
TCGA-EE-A2GI-06	1.41E+01	1.11E+01	2.16E+00	1.30E+01
TCGA-EE-A2GJ-06	1.12E+01	1.02E+01	1.77E+00	9.63E+00
TCGA-EE-A2GK-06	0.00E+00	0.00E+00	1.93E-01	1.93E-01
TCGA-EE-A2GL-06	4.79E+00	4.27E+00	8.44E-01	3.10E+00
TCGA-EE-A2GM-06	8.87E+00	6.79E+00	1.17E+00	7.32E+00
TCGA-EE-A2GN-06	5.53E+00	5.00E+00	1.03E+00	3.57E+00
TCGA-EE-A2GO-06	2.16E+01	1.83E+01	2.05E+00	1.79E+01
TCGA-EE-A2GP-06	6.72E+00	5.53E+00	1.27E+00	5.07E+00
TCGA-EE-A2GR-06	1.87E+01	1.49E+01	1.62E+00	1.47E+01
TCGA-EE-A2GS-06	3.51E+00	3.48E+00	9.88E-01	3.42E+00
TCGA-EE-A2GT-06	3.78E+00	3.42E+00	1.12E+00	2.37E+00
TCGA-EE-A2GU-06	6.01E+00	5.30E+00	1.02E+00	4.36E+00
TCGA-EE-A2M5-06	2.21E+01	2.07E+01	1.82E+00	1.78E+01
TCGA-EE-A2M6-06	5.81E+00	5.35E+00	1.25E+00	3.96E+00
TCGA-EE-A2M7-06	6.85E-01	5.38E-01	5.45E-01	4.51E-01
TCGA-EE-A2M8-06	1.33E+00	1.71E+00	6.62E-01	1.28E+00
TCGA-EE-A2MC-06	6.97E+00	7.15E+00	1.55E+00	6.71E+00
TCGA-EE-A2MD-06	1.30E+01	9.48E+00	1.71E+00	1.29E+01
TCGA-EE-A2ME-06	9.26E-01	1.04E+00	4.15E-01	4.65E-01
TCGA-EE-A2MF-06	6.03E+00	8.96E+00	1.57E+00	5.55E+00
TCGA-EE-A2MG-06	2.58E+00	2.96E+00	7.19E-01	1.69E+00
TCGA-EE-A2MH-06	2.80E+00	2.82E+00	4.95E-01	1.14E+00
TCGA-EE-A2MI-06	9.99E+00	8.60E+00	1.79E+00	1.06E+01
TCGA-EE-A2MJ-06	1.69E+01	1.32E+01	1.14E+00	1.58E+01
TCGA-EE-A2MK-06	2.84E+00	2.96E+00	6.64E-01	2.29E+00
TCGA-EE-A2ML-06	7.18E+00	6.18E+00	9.03E-01	5.27E+00
TCGA-EE-A2MM-06	6.42E+00	4.65E+00	1.12E+00	5.46E+00
TCGA-EE-A2MN-06	2.06E+00	1.78E+00	5.88E-01	1.34E+00
TCGA-EE-A2MP-06	4.43E+00	3.86E+00	9.83E-01	3.52E+00
TCGA-EE-A2MQ-06	4.19E+00	3.91E+00	9.90E-01	2.50E+00
TCGA-EE-A2MR-06	3.34E+01	1.49E+01	2.19E+00	3.12E+01
