Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-FS-A1ZH-06	4	13	25	2
TCGA-FS-A1ZJ-06	13	7	62	1
TCGA-FS-A1ZK-06	900	1274	3	35
TCGA-FS-A1ZM-06	157	121	37	16
TCGA-FS-A1ZN-01	68	54	12	3
TCGA-FS-A1ZP-06	526	0	50	4
TCGA-FS-A1ZQ-06	530	107	1	45
TCGA-FS-A1ZR-06	128	45	14	0
TCGA-FS-A1ZS-06	223	105	52	4
TCGA-FS-A1ZT-06	159	64	16	3
TCGA-FS-A1ZU-06	12	0	40	0
TCGA-FS-A1ZW-06	661	156	59	32
TCGA-FS-A1ZY-06	5	9	27	1
TCGA-FS-A1ZZ-06	1954	133	14	46
TCGA-FS-A4F0-06	380	350	27	13
TCGA-FS-A4F4-06	20	0	32	4
TCGA-FS-A4F5-06	771	240	13	1
TCGA-FS-A4F8-06	140	56	23	16
TCGA-FS-A4F9-06	415	152	17	6
TCGA-FS-A4FB-06	169	57	18	6
TCGA-FS-A4FC-06	766	199	34	0
TCGA-FS-A4FD-06	479	98	6	25
TCGA-FW-A3I3-06	8	0	60	5
TCGA-FW-A3R5-06	22822	3487	1160	0
TCGA-FW-A3TU-06	548	428	92	12
TCGA-FW-A3TV-06	358	45	28	27
TCGA-FW-A5DX-01	136	96	25	10
TCGA-FW-A5DY-06	179	55	7	0
TCGA-GF-A2C7-01	37	57	9	0
TCGA-GF-A3OT-06	458	261	65	0
TCGA-GF-A4EO-06	185	136	25	0
TCGA-GF-A6C8-06	311	165	34	17
TCGA-GF-A6C9-06	3488	229	31	106
TCGA-GF-A769-01	114	67	31	3
TCGA-GN-A262-06	169	297	29	0
TCGA-GN-A263-01	398	197	0	8
TCGA-GN-A264-06	17	0	30	14
TCGA-GN-A265-06	153	134	6	17
TCGA-GN-A266-06	4804	313	103	127
TCGA-GN-A267-06	286	251	46	17
TCGA-GN-A268-06	332	69	34	16
TCGA-GN-A269-01	692	279	0	27
TCGA-GN-A26A-06	198	234	15	5
TCGA-GN-A26C-01	2071	379	25	32
TCGA-GN-A26D-06	11	7	37	3
TCGA-GN-A4U3-06	263	164	29	5
TCGA-GN-A4U4-06	673	279	0	23
TCGA-GN-A4U5-01	156	288	9	0
TCGA-GN-A4U7-06	169	123	37	18
TCGA-GN-A4U8-06	391	127	14	14
TCGA-GN-A4U9-06	4	0	45	28
TCGA-GN-A8LK-06	1756	923	46	67
TCGA-GN-A8LL-06	11	7	40	12
TCGA-GN-A8LN-01	286	32	37	5
TCGA-GN-A9SD-06	155	15	30	4
TCGA-HR-A2OG-06	121	94	23	16
TCGA-HR-A2OH-06	84	48	17	8
TCGA-HR-A5NC-01	12	43	36	2
TCGA-IH-A3EA-01	1569	441	5	0
TCGA-LH-A9QB-06	213	120	26	0
TCGA-OD-A75X-06	973	412	46	24
TCGA-QB-A6FS-06	1170	425	4	5
TCGA-QB-AA9O-06	1411	464	99	122
TCGA-RP-A690-06	0	4	14	2
TCGA-RP-A693-06	523	521	28	19
TCGA-RP-A694-06	769	127	56	23
TCGA-RP-A695-06	759	400	10	16
TCGA-RP-A6K9-06	0	6	58	4
TCGA-W3-A824-06	1189	600	242	0
TCGA-W3-A825-06	1241	205	60	48
TCGA-W3-A828-06	633	1122	32	64
TCGA-W3-AA1O-06	704	322	14	8
TCGA-W3-AA1Q-06	1045	180	44	0
TCGA-W3-AA1R-06	1766	493	90	42
TCGA-W3-AA1V-06	5589	1543	127	230
TCGA-W3-AA1W-06	766	140	43	10
TCGA-W3-AA21-06	563	90	45	5
TCGA-WE-A8JZ-06	160	84	37	0
TCGA-WE-A8K1-06	367	26	50	17
TCGA-WE-A8K4-01	729	358	29	43
TCGA-WE-A8K5-06	1235	288	67	0
TCGA-WE-A8K6-06	213	126	27	0
TCGA-WE-A8ZM-06	45	7	30	21
TCGA-WE-A8ZN-06	141	66	18	0
TCGA-WE-A8ZO-06	372	94	21	0
TCGA-WE-A8ZQ-06	107	69	69	5
TCGA-WE-A8ZR-06	15	0	21	0
TCGA-WE-A8ZT-06	370	246	10	2
TCGA-WE-A8ZX-06	743	36	3	18
TCGA-WE-A8ZY-06	226	78	29	13
TCGA-WE-AA9Y-06	45	44	11	4
TCGA-WE-AAA0-06	1169	784	0	29
TCGA-WE-AAA3-06	485	0	28	17
TCGA-WE-AAA4-06	223	43	29	17
TCGA-XV-A9VZ-01	1	5	12	0
TCGA-XV-A9W2-01	13	0	43	0
TCGA-XV-A9W5-01	98	0	37	0
TCGA-XV-AAZV-01	106	28	25	0
TCGA-XV-AAZW-01	135	27	47	5
TCGA-XV-AAZY-01	206	28	0	5
TCGA-YD-A89C-06	1822	530	34	19
TCGA-YD-A9TA-06	3616	854	55	111
TCGA-YD-A9TB-06	416	0	35	17
TCGA-YG-AA3N-01	2108	688	0	0
TCGA-YG-AA3O-06	1050	404	36	37
TCGA-YG-AA3P-06	0	17	52	29
TCGA-Z2-A8RT-06	3202	744	0	129
TCGA-Z2-AA3S-06	195	87	9	2
TCGA-Z2-AA3V-06	392	162	21	18
