Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-B6-A0RM-01	8	0	15	3	3	7
TCGA-B6-A0RN-01	3	0	16	6	0	8
TCGA-B6-A0RO-01	5	1	6	11	12	8
TCGA-B6-A0RP-01	0	0	7	0	21	2
TCGA-B6-A0RQ-01	18	4	10	1	16	7
TCGA-B6-A0RT-01	0	19	8	28	15	2
TCGA-B6-A0RU-01	9	1	14	16	6	12
TCGA-B6-A0RV-01	32	26	8	0	0	1
TCGA-B6-A0WS-01	2	2	1	0	4	9
TCGA-B6-A0WT-01	2	0	10	0	4	6
TCGA-B6-A0WV-01	1	4	6	5	14	7
TCGA-B6-A0WW-01	10	4	13	10	6	4
TCGA-B6-A0WX-01	0	2	15	13	7	8
TCGA-B6-A0WY-01	7	3	9	6	0	10
TCGA-B6-A0WZ-01	60	25	2	5	0	3
TCGA-B6-A0X0-01	2	0	5	0	18	0
TCGA-B6-A0X1-01	8	15	7	31	16	15
TCGA-B6-A0X4-01	3	0	9	0	10	0
TCGA-B6-A0X5-01	8	2	5	0	25	8
TCGA-B6-A0X7-01	5	1	11	0	5	1
TCGA-B6-A1KN-01	2	3	11	7	38	11
TCGA-B6-A2IU-01	22	1	20	3	0	8
TCGA-B6-A401-01	0	2	13	2	8	3
TCGA-B6-A409-01	4	4	19	4	21	4
TCGA-B6-A40B-01	16	5	11	10	17	7
TCGA-B6-A40C-01	4	2	26	1	19	2
TCGA-BH-A0AU-01	0	3	8	0	9	3
TCGA-BH-A0AV-01	5	12	4	38	14	14
TCGA-BH-A0AY-01	7	2	14	0	23	0
TCGA-BH-A0AZ-01	13	10	0	22	17	8
TCGA-BH-A0B0-01	64	25	10	0	0	0
TCGA-BH-A0B3-01	2	1	7	8	0	0
TCGA-BH-A0B6-01	682	593	15	0	0	0
TCGA-BH-A0B7-01	5	7	18	12	0	0
TCGA-BH-A0B8-01	7	0	3	5	17	2
TCGA-BH-A0BA-01	6	4	7	6	0	6
TCGA-BH-A0BC-01	11	4	16	0	13	1
TCGA-BH-A0BF-01	0	7	12	8	1	5
TCGA-BH-A0BG-01	5	4	7	24	0	5
TCGA-BH-A0BJ-01	1	0	2	0	12	2
TCGA-BH-A0BL-01	0	3	17	36	13	0
TCGA-BH-A0BM-01	3	0	2	0	13	1
TCGA-BH-A0BO-01	0	5	7	0	6	13
TCGA-BH-A0BP-01	26	34	46	41	49	0
TCGA-BH-A0BQ-01	4	0	12	4	9	1
TCGA-BH-A0BS-01	1	0	5	5	9	3
TCGA-BH-A0BT-01	8	1	18	12	1	8
TCGA-BH-A0BV-01	4	1	6	0	13	0
TCGA-BH-A0BW-01	11	8	13	32	16	23
TCGA-BH-A0BZ-01	11	33	20	158	39	35
TCGA-BH-A0C0-01	6	1	5	21	1	14
TCGA-BH-A0C1-01	10	0	20	7	0	13
TCGA-BH-A0C3-01	0	0	4	2	7	5
TCGA-BH-A0C7-01	0	3	21	0	27	7
TCGA-BH-A0DD-01	6	3	19	2	0	7
TCGA-BH-A0DE-01	3	0	5	4	21	0
TCGA-BH-A0DG-01	8	9	4	0	20	6
TCGA-BH-A0DH-01	15	3	23	2	1	8
TCGA-BH-A0DI-01	12	13	15	18	0	4
TCGA-BH-A0DK-01	3	4	9	10	22	5
TCGA-BH-A0DL-01	15	7	22	8	0	13
TCGA-BH-A0DO-01	5	4	8	9	0	4
TCGA-BH-A0DP-01	6	0	3	9	0	1
TCGA-BH-A0DQ-01	0	2	13	1	13	6
