Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS17a	SBS17b	SBS38	SBS39
TCGA-EE-A2GD-06	20	14	368	267	75	0	0	0	0	0
TCGA-EE-A2GE-06	9	29	97	191	0	0	0	0	0	0
TCGA-EE-A2GH-06	19	26	189	192	0	0	0	0	0	0
TCGA-EE-A2GI-06	98	132	899	1013	0	0	0	0	0	0
TCGA-EE-A2GJ-06	64	128	696	722	0	0	0	0	0	0
TCGA-EE-A2GK-06	0	2	0	0	0	0	0	0	2	0
TCGA-EE-A2GL-06	21	19	156	301	0	0	0	0	0	0
TCGA-EE-A2GM-06	46	44	384	500	0	0	0	0	0	0
TCGA-EE-A2GN-06	17	63	192	297	0	0	0	0	0	0
TCGA-EE-A2GO-06	132	81	1006	1562	0	0	0	0	0	0
TCGA-EE-A2GP-06	51	16	414	383	0	0	0	0	0	0
TCGA-EE-A2GR-06	106	126	709	1274	0	0	0	0	0	0
TCGA-EE-A2GS-06	26	29	203	210	0	0	0	0	0	0
TCGA-EE-A2GT-06	41	13	215	193	0	0	0	0	0	0
TCGA-EE-A2GU-06	34	0	422	372	0	0	0	0	0	0
TCGA-EE-A2M5-06	65	126	764	1589	221	0	0	0	0	0
TCGA-EE-A2M6-06	34	43	305	364	0	0	0	0	0	0
TCGA-EE-A2M7-06	9	25	17	11	9	0	0	0	15	0
TCGA-EE-A2M8-06	5	9	80	24	33	0	0	0	0	0
TCGA-EE-A2MC-06	24	14	395	427	170	0	0	0	0	0
TCGA-EE-A2MD-06	51	0	999	954	327	0	0	0	0	0
TCGA-EE-A2ME-06	2	7	12	15	6	0	0	0	0	0
TCGA-EE-A2MF-06	40	78	577	337	0	0	0	0	0	0
TCGA-EE-A2MG-06	16	3	131	127	0	0	0	0	0	0
TCGA-EE-A2MH-06	12	22	47	120	0	0	0	0	0	0
TCGA-EE-A2MI-06	60	45	734	649	0	0	0	0	0	0
TCGA-EE-A2MJ-06	50	0	1225	1056	321	0	0	0	0	0
TCGA-EE-A2MK-06	6	40	194	128	36	0	0	0	0	0
TCGA-EE-A2ML-06	34	63	212	449	0	0	0	0	0	0
TCGA-EE-A2MM-06	26	0	304	338	93	0	0	0	0	0
TCGA-EE-A2MN-06	13	24	82	86	0	0	0	0	0	0
TCGA-EE-A2MP-06	13	51	97	194	38	0	0	0	0	0
TCGA-EE-A2MQ-06	13	30	91	182	49	0	0	0	0	0
TCGA-EE-A2MR-06	111	0	2269	1547	1134	0	0	0	0	0
TCGA-EE-A2MS-06	155	132	1435	2260	0	0	0	0	0	0
TCGA-EE-A2MT-06	60	44	473	682	0	0	0	0	0	0
TCGA-EE-A2MU-06	22	14	393	390	91	0	0	0	0	0
TCGA-EE-A3AA-06	37	0	938	828	247	0	0	0	0	0
TCGA-EE-A3AB-06	0	458	148	303	0	0	0	0	0	0
TCGA-EE-A3AC-06	58	85	610	632	0	0	0	0	0	0
TCGA-EE-A3AD-06	28	57	211	300	0	0	0	0	0	0
TCGA-EE-A3AE-06	94	35	1057	827	0	0	0	0	0	0
TCGA-EE-A3AF-06	58	74	385	844	0	0	0	0	0	0
TCGA-EE-A3AG-06	86	84	860	1282	0	0	0	0	0	0
TCGA-EE-A3AH-06	20	13	204	271	0	0	0	0	0	0
TCGA-EE-A3J3-06	23	24	45	107	28	0	0	0	0	0
TCGA-EE-A3J4-06	36	81	161	140	0	0	0	0	0	0
TCGA-EE-A3J5-06	121	104	1264	1451	0	0	0	0	0	0
TCGA-EE-A3J7-06	84	166	312	788	0	0	0	0	0	0
TCGA-EE-A3J8-06	14	31	204	122	0	0	0	0	0	0
TCGA-EE-A3JA-06	67	0	763	605	0	0	0	0	0	0
TCGA-EE-A3JB-06	38	122	252	447	0	0	0	0	0	0
TCGA-EE-A3JD-06	47	27	1192	1339	497	0	0	0	0	0
TCGA-EE-A3JE-06	6	41	85	194	43	0	0	0	0	0
TCGA-EE-A3JH-06	25	31	82	107	0	0	0	0	0	0
TCGA-EE-A3JI-06	67	193	526	750	0	0	0	0	0	0
TCGA-ER-A193-06	74	66	1090	1143	246	0	0	0	0	0
TCGA-ER-A194-01	80	42	710	1034	0	0	0	0	0	0
TCGA-ER-A195-06	11	0	150	150	37	0	0	0	0	0
TCGA-ER-A196-01	1	11	0	0	0	13	0	0	0	0
TCGA-ER-A197-06	14	38	0	0	0	0	0	0	0	0
TCGA-ER-A198-06	41	52	213	346	0	0	0	0	0	0
TCGA-ER-A199-06	14	34	156	168	0	0	0	0	0	0
TCGA-ER-A19A-06	5	0	110	84	49	0	0	0	0	0
TCGA-ER-A19B-06	6	103	22	0	0	0	0	0	0	0
TCGA-ER-A19C-06	4	17	55	46	0	0	0	0	0	0
TCGA-ER-A19D-06	28	32	206	299	77	0	0	0	0	0
TCGA-ER-A19E-06	23	88	214	218	74	0	0	0	0	0
TCGA-ER-A19F-06	25	0	495	672	121	0	0	0	0	0
TCGA-ER-A19G-06	40	50	230	378	0	0	0	0	0	0
TCGA-ER-A19H-06	12	18	87	199	57	0	0	0	0	0
TCGA-ER-A19J-06	26	0	155	110	0	0	0	0	0	0
TCGA-ER-A19K-01	26	0	253	223	0	0	0	0	0	0
TCGA-ER-A19L-06	2	13	31	28	0	0	0	0	0	0
TCGA-ER-A19M-06	35	32	240	370	0	0	0	0	0	0
TCGA-ER-A19N-06	23	31	271	337	0	0	0	0	0	0
TCGA-ER-A19O-06	8	0	109	91	36	0	0	0	0	0
TCGA-ER-A19P-06	13	141	130	191	0	0	0	0	165	0
TCGA-ER-A19Q-06	11	2	42	74	34	0	0	0	0	0
TCGA-ER-A19S-06	16	22	124	113	0	0	0	0	0	0
TCGA-ER-A19T-01	7	12	0	15	0	9	0	0	0	27
TCGA-ER-A19W-06	28	81	187	192	0	0	0	0	0	0
TCGA-ER-A1A1-06	3	2	27	62	0	0	0	0	0	0
TCGA-ER-A2NB-01	16	24	0	12	0	0	0	0	10	23
TCGA-ER-A2NC-06	27	15	227	283	0	0	0	0	0	0
TCGA-ER-A2ND-06	18	54	41	32	0	0	0	0	0	0
TCGA-ER-A2NE-06	1	30	66	63	19	0	0	0	0	0
TCGA-ER-A2NF-01	8	0	14	19	0	0	0	0	0	0
TCGA-ER-A2NG-06	9	29	144	165	0	0	0	0	0	0
TCGA-ER-A2NH-06	7	0	187	175	46	0	0	0	0	0
TCGA-ER-A3ES-06	13	3	0	0	0	13	0	0	0	0
TCGA-ER-A3ET-06	20	75	21	0	0	0	0	0	0	0
TCGA-ER-A3EV-06	15	13	0	17	0	0	0	0	0	54
TCGA-ER-A3PL-06	19	0	160	340	0	0	0	0	0	0
TCGA-ER-A42H-01	34	44	0	0	0	0	0	0	0	0
TCGA-ER-A42K-06	11	43	78	141	0	0	0	0	0	0
TCGA-ER-A42L-06	36	0	691	574	0	0	0	0	0	0
TCGA-FR-A2OS-01	9	7	0	0	0	0	0	0	0	0
TCGA-FR-A3R1-01	24	0	138	362	65	0	0	0	0	0
TCGA-FR-A3YN-06	20	34	274	363	97	0	0	0	0	0
TCGA-FR-A3YO-06	32	0	492	509	156	0	0	0	0	0
TCGA-FR-A44A-06	24	66	136	194	0	0	0	0	0	0
TCGA-FR-A69P-06	12	0	115	135	43	0	0	0	0	0
TCGA-FR-A726-01	306	200	3828	5812	0	0	0	0	0	0
TCGA-FR-A728-01	17	46	245	232	0	0	0	0	0	0
TCGA-FR-A729-06	22	19	558	467	138	0	0	0	0	0
TCGA-FR-A7U8-06	12	17	0	0	0	15	0	0	0	0
TCGA-FR-A7U9-06	65	0	1178	977	260	0	0	0	0	0
TCGA-FR-A7UA-06	9	0	150	82	0	0	0	0	0	0
TCGA-FR-A8YC-06	95	129	1835	1653	388	0	0	0	0	0
TCGA-FR-A8YD-06	6	101	25	0	0	0	0	0	0	0
TCGA-FR-A8YE-06	12	42	227	190	0	0	0	0	0	0
TCGA-FS-A1YW-06	16	4	101	77	21	0	0	0	0	0
TCGA-FS-A1YX-06	0	4	0	15	0	11	0	0	0	0
TCGA-FS-A1YY-06	19	0	107	148	0	0	0	0	0	0
TCGA-FS-A1Z0-06	18	43	124	134	32	0	0	0	0	0
TCGA-FS-A1Z3-06	29	30	574	581	176	0	0	0	0	0
TCGA-FS-A1Z4-06	3	10	25	15	0	0	0	0	0	0
TCGA-FS-A1Z7-06	16	22	106	106	0	0	0	0	0	0
TCGA-FS-A1ZA-06	41	44	704	624	211	0	0	0	0	0
TCGA-FS-A1ZB-06	7	0	120	152	37	0	0	0	0	0
TCGA-FS-A1ZC-06	27	18	418	421	94	0	0	0	0	0
TCGA-FS-A1ZD-06	16	43	113	169	0	0	0	0	0	0
TCGA-FS-A1ZE-06	11	40	76	41	22	0	0	0	0	0
TCGA-FS-A1ZF-06	11	45	77	116	30	0	0	0	0	0
TCGA-FS-A1ZG-06	12	18	0	0	0	15	0	0	0	0
TCGA-FS-A1ZH-06	7	14	0	13	10	0	0	0	0	0
