Samples	SBS96A	SBS96B	SBS96C
TCGA-E2-A1IN-01	204	22	22
TCGA-E2-A1IO-01	2	14	0
TCGA-E2-A1IU-01	9	13	9
TCGA-E2-A1L6-01	4	15	9
TCGA-E2-A1L7-01	4	16	61
TCGA-E2-A1L8-01	7	15	16
TCGA-E2-A1L9-01	4	15	9
TCGA-E2-A1LA-01	9	23	75
TCGA-E2-A1LB-01	29	13	13
TCGA-E2-A1LG-01	181	15	23
TCGA-E2-A1LH-01	62	21	148
TCGA-E2-A1LI-01	13	4	20
TCGA-E2-A1LK-01	3	51	0
TCGA-E2-A1LL-01	4	22	35
TCGA-E2-A2P6-01	138	48	0
TCGA-E2-A56Z-01	3	37	20
TCGA-E2-A570-01	2	15	13
TCGA-E2-A572-01	3	21	5
TCGA-E2-A573-01	6	29	37
TCGA-E2-A574-01	71	51	34
TCGA-E2-A576-01	2	45	23
TCGA-E2-A9RU-01	24	69	14
TCGA-E9-A1N3-01	3	9	19
TCGA-E9-A1N4-01	13	16	5
TCGA-E9-A1N5-01	19	11	9
TCGA-E9-A1N8-01	14	9	13
TCGA-E9-A1N9-01	9	29	28
TCGA-E9-A1NA-01	23	22	72
TCGA-E9-A1NE-01	6	9	47
TCGA-E9-A1NF-01	26	20	15
TCGA-E9-A1NG-01	1	12	8
TCGA-E9-A1NH-01	3	22	12
TCGA-E9-A1QZ-01	0	9	14
TCGA-E9-A1R0-01	10	25	0
TCGA-E9-A1R2-01	14	14	38
TCGA-E9-A1R3-01	4	16	5
TCGA-E9-A1R4-01	100	25	28
TCGA-E9-A1R5-01	6	29	16
TCGA-E9-A1R6-01	3	26	7
TCGA-E9-A1R7-01	13	18	32
TCGA-E9-A1RA-01	6	10	9
TCGA-E9-A1RB-01	0	21	17
TCGA-E9-A1RC-01	2	38	15
TCGA-E9-A1RD-01	8	11	4
TCGA-E9-A1RE-01	4	50	12
TCGA-E9-A1RF-01	20	45	105
TCGA-E9-A1RG-01	9	14	18
TCGA-E9-A1RH-01	17	39	55
TCGA-E9-A1RI-01	6	13	10
TCGA-E9-A226-01	50	24	5
TCGA-E9-A227-01	5	4	10
TCGA-E9-A228-01	12	34	6
TCGA-E9-A229-01	6	17	7
TCGA-E9-A22A-01	9	10	17
TCGA-E9-A22B-01	15	39	22
TCGA-E9-A22D-01	7	33	0
TCGA-E9-A22E-01	37	20	87
TCGA-E9-A22G-01	8	18	91
TCGA-E9-A22H-01	3	22	1
TCGA-E9-A243-01	20	18	51
TCGA-E9-A244-01	4	44	73
TCGA-E9-A245-01	1	3	19
TCGA-E9-A247-01	0	47	0
TCGA-E9-A248-01	7	21	0
TCGA-E9-A249-01	1	21	3
TCGA-E9-A24A-01	0	12	10
TCGA-E9-A295-01	4	52	53
TCGA-E9-A2JS-01	3	62	24
TCGA-E9-A2JT-01	28	0	0
TCGA-E9-A3HO-01	8	8	56
TCGA-E9-A3QA-01	24	4	34
TCGA-E9-A3X8-01	7	13	17
TCGA-E9-A54Y-01	22	32	4
TCGA-E9-A5FK-01	3	18	18
TCGA-E9-A5FL-01	26	30	77
TCGA-E9-A5UO-01	1	22	15
TCGA-E9-A6HE-01	2	19	1
TCGA-EW-A1IW-01	76	31	20
TCGA-EW-A1IX-01	30	0	12
TCGA-EW-A1IY-01	24	13	1
TCGA-EW-A1IZ-01	6	429	0
TCGA-EW-A1J1-01	0	15	8
TCGA-EW-A1J3-01	3	11	16
TCGA-EW-A1J5-01	536	4	0
TCGA-EW-A1J6-01	2	17	25
TCGA-EW-A1OV-01	120	20	0
TCGA-EW-A1OX-01	7	8	6
TCGA-EW-A1OZ-01	12	44	20
TCGA-EW-A1P0-01	0	9	19
