Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-AO-A1KR-01	7	6	8	0	39	19	0	10	0
TCGA-AO-A1KT-01	0	4	12	1	11	8	0	15	0
TCGA-AQ-A04H-01	4	3	39	0	0	8	10	6	11
TCGA-AQ-A0Y5-01	10	10	23	5	13	4	0	5	0
TCGA-AQ-A1H2-01	0	2	10	2	5	11	0	4	0
TCGA-AQ-A1H3-01	0	0	21	0	5	0	0	1	0
TCGA-AQ-A54O-01	0	4	8	0	6	0	1	2	4
TCGA-AQ-A7U7-01	27	32	7	3	0	13	11	3	0
TCGA-AR-A0TP-01	4	4	0	0	32	8	9	11	3
TCGA-AR-A0TQ-01	2	11	8	6	1	0	9	0	12
TCGA-AR-A0TR-01	1	2	12	6	3	0	9	9	0
TCGA-AR-A0TS-01	8	6	16	0	29	0	10	5	16
TCGA-AR-A0TT-01	6	9	19	7	16	0	9	9	0
TCGA-AR-A0TU-01	8	4	10	0	29	4	11	5	19
TCGA-AR-A0TV-01	2	3	14	4	8	24	23	1	0
TCGA-AR-A0TW-01	1	2	16	0	7	20	0	4	17
TCGA-AR-A0TX-01	165	153	0	43	0	46	0	0	0
TCGA-AR-A0TZ-01	13	11	13	6	0	6	0	2	16
TCGA-AR-A0U0-01	7	1	5	8	6	8	5	0	10
TCGA-AR-A0U1-01	13	0	3	13	40	0	0	22	18
TCGA-AR-A0U2-01	0	0	19	2	2	0	29	2	2
TCGA-AR-A0U3-01	0	0	10	6	0	0	15	1	8
TCGA-AR-A0U4-01	43	13	9	16	53	0	1	12	54
TCGA-AR-A1AH-01	7	3	10	0	12	0	19	20	49
TCGA-AR-A1AI-01	12	2	9	16	0	30	16	4	0
TCGA-AR-A1AJ-01	8	18	13	0	0	10	0	4	0
TCGA-AR-A1AK-01	18	15	15	15	0	1	0	3	15
TCGA-AR-A1AL-01	3	4	6	5	2	0	0	9	1
TCGA-AR-A1AN-01	3	0	11	3	0	12	0	2	0
TCGA-AR-A1AO-01	15	10	12	18	47	6	0	7	7
TCGA-AR-A1AP-01	4	3	17	9	0	13	4	1	0
TCGA-AR-A1AQ-01	2	1	10	2	15	0	5	6	0
TCGA-AR-A1AR-01	7	3	15	1	16	0	0	4	17
TCGA-AR-A1AS-01	2	11	5	4	3	0	14	2	0
TCGA-AR-A1AT-01	1	1	8	0	19	0	0	3	0
TCGA-AR-A1AU-01	1	0	8	6	5	1	1	4	0
TCGA-AR-A1AV-01	1	2	18	12	0	0	2	6	8
TCGA-AR-A1AW-01	1	2	8	0	4	0	19	5	2
TCGA-AR-A1AX-01	0	0	3	11	0	15	2	1	0
TCGA-AR-A1AY-01	5	7	13	8	7	7	13	6	6
TCGA-AR-A24H-01	20	8	10	0	48	6	21	1	38
TCGA-AR-A24K-01	0	0	3	1	9	15	2	4	0
TCGA-AR-A24L-01	6	1	2	1	27	0	11	2	3
TCGA-AR-A24M-01	0	1	5	0	2	0	0	10	7
TCGA-AR-A24N-01	0	6	14	0	0	0	20	2	5
TCGA-AR-A24O-01	1	0	5	0	0	6	9	0	1
TCGA-AR-A24P-01	0	0	4	3	0	10	1	1	0
TCGA-AR-A24Q-01	19	18	0	14	83	0	48	11	39
TCGA-AR-A24R-01	0	1	11	0	7	0	0	7	0
TCGA-AR-A24S-01	4	7	15	1	3	5	6	9	7
TCGA-AR-A24T-01	0	1	8	0	0	11	0	0	4
TCGA-AR-A24U-01	9	8	10	13	2	2	0	0	0
TCGA-AR-A24V-01	3	2	11	4	0	1	0	4	3
TCGA-AR-A24W-01	0	0	0	5	0	0	9	0	0
TCGA-AR-A24X-01	0	0	5	3	0	17	4	4	1
TCGA-AR-A24Z-01	3	4	12	2	15	6	10	1	3
TCGA-AR-A250-01	45	14	31	24	0	24	6	4	7
TCGA-AR-A251-01	31	6	9	5	90	0	16	16	32
TCGA-AR-A252-01	0	0	9	1	0	0	6	3	0
TCGA-AR-A254-01	0	3	11	6	0	12	5	0	5
