Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-RD-A8MW-01	27	39	0	24	3
TCGA-RD-A8N0-01	2	0	0	0	0
TCGA-RD-A8N1-01	0	48	46	24	12
TCGA-RD-A8N2-01	2	0	0	0	0
TCGA-RD-A8N4-01	6	2	0	1	0
TCGA-RD-A8N5-01	4	30	0	3	6
TCGA-RD-A8N6-01	26	133	18	2	14
TCGA-RD-A8N9-01	25	97	2	16	17
TCGA-RD-A8NB-01	333	227	137	9	27
TCGA-SW-A7EA-01	280	200	157	43	7
TCGA-SW-A7EB-01	44	84	0	18	32
TCGA-VQ-A8DL-01	33	16	6	12	1
TCGA-VQ-A8DT-01	29	104	0	73	25
TCGA-VQ-A8DU-01	26	61	5	80	2
TCGA-VQ-A8DV-01	7	57	0	7	6
TCGA-VQ-A8DZ-01	16	47	15	20	9
TCGA-VQ-A8E0-01	4	70	12	18	19
TCGA-VQ-A8E2-01	42	58	7	40	0
TCGA-VQ-A8E3-01	322	229	230	18	0
TCGA-VQ-A8E7-01	51	68	0	11	10
TCGA-VQ-A8P2-01	4740	2234	812	0	1149
TCGA-VQ-A8P3-01	32	6	4	317	2
TCGA-VQ-A8P5-01	91	55	0	102	14
TCGA-VQ-A8P8-01	40	86	0	4	0
TCGA-VQ-A8PB-01	348	388	124	0	29
TCGA-VQ-A8PC-01	25	35	16	75	9
TCGA-VQ-A8PD-01	39	48	0	12	5
TCGA-VQ-A8PE-01	11	121	3	15	3
TCGA-VQ-A8PF-01	25	59	0	35	16
TCGA-VQ-A8PH-01	11	125	57	46	2
TCGA-VQ-A8PJ-01	14	38	14	100	20
TCGA-VQ-A8PK-01	8	11	1	74	22
TCGA-VQ-A8PM-01	19	12	1	30	4
TCGA-VQ-A8PO-01	348	173	340	41	0
TCGA-VQ-A8PP-01	735	288	511	34	0
TCGA-VQ-A8PQ-01	0	14	3	0	0
TCGA-VQ-A8PS-01	6	39	4	3	7
TCGA-VQ-A8PT-01	868	267	270	0	28
TCGA-VQ-A8PU-01	0	117	27	9	3
TCGA-VQ-A8PX-01	304	15	323	43	5
TCGA-VQ-A8PY-01	31	29	8	25	21
TCGA-VQ-A8PZ-01	25	79	0	3	0
TCGA-VQ-A91A-01	46	78	10	16	7
TCGA-VQ-A91D-01	1427	766	424	0	4
TCGA-VQ-A91E-01	304	214	305	27	10
TCGA-VQ-A91K-01	577	701	152	15	24
TCGA-VQ-A91N-01	51	62	0	25	17
TCGA-VQ-A91Q-01	5	98	9	24	1
TCGA-VQ-A91S-01	3	69	5	194	41
TCGA-VQ-A91U-01	54	108	0	9	18
TCGA-VQ-A91V-01	28	4	0	243	23
TCGA-VQ-A91W-01	7	31	0	8	3
TCGA-VQ-A91X-01	66	31	10	139	9
TCGA-VQ-A91Y-01	15	35	0	2	4
TCGA-VQ-A91Z-01	9	127	7	26	2
TCGA-VQ-A922-01	21	55	24	72	35
TCGA-VQ-A923-01	13	93	1	0	20
TCGA-VQ-A924-01	530	434	341	18	0
TCGA-VQ-A925-01	0	73	7	56	19
TCGA-VQ-A927-01	13	21	9	21	3
TCGA-VQ-A928-01	16	34	11	2	13
TCGA-VQ-A92D-01	23	84	26	10	20
TCGA-VQ-A94O-01	2	64	9	0	4
TCGA-VQ-A94P-01	7	20	0	72	1
TCGA-VQ-A94R-01	27	187	28	90	40
TCGA-VQ-A94T-01	32	44	1	0	23
TCGA-VQ-A94U-01	36	119	0	38	0
TCGA-VQ-AA64-01	4	160	39	79	27
TCGA-VQ-AA68-01	25	82	0	101	0
TCGA-VQ-AA69-01	31	50	0	0	0
TCGA-VQ-AA6A-01	12	66	7	31	6
TCGA-VQ-AA6B-01	42	51	0	6	1
TCGA-VQ-AA6D-01	726	0	60	100	24
TCGA-VQ-AA6F-01	24	16	1	1	20
TCGA-VQ-AA6G-01	33	88	5	29	11
TCGA-VQ-AA6I-01	52	43	0	18	13
TCGA-VQ-AA6J-01	39	48	0	89	0
TCGA-VQ-AA6K-01	20	56	8	2	6
TCGA-ZA-A8F6-01	5	42	0	1	10
TCGA-ZQ-A9CR-01	23	49	18	40	14
