Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-ER-A42H-01	5	21	47	5	0
TCGA-ER-A42K-06	224	29	9	6	5
TCGA-ER-A42L-06	1301	0	0	0	0
TCGA-FR-A2OS-01	1	0	12	0	3
TCGA-FR-A3R1-01	510	41	24	0	14
TCGA-FR-A3YN-06	706	25	19	0	38
TCGA-FR-A3YO-06	1128	0	28	0	33
TCGA-FR-A44A-06	351	39	30	0	0
TCGA-FR-A69P-06	273	0	14	2	16
TCGA-FR-A726-01	9783	363	0	0	0
TCGA-FR-A728-01	500	22	0	18	0
TCGA-FR-A729-06	1101	0	0	47	56
TCGA-FR-A7U8-06	4	5	31	4	0
TCGA-FR-A7U9-06	2349	0	15	57	59
TCGA-FR-A7UA-06	229	0	0	12	0
TCGA-FR-A8YC-06	3852	52	24	96	76
TCGA-FR-A8YD-06	31	59	14	17	11
TCGA-FR-A8YE-06	441	10	0	13	7
TCGA-FS-A1YW-06	190	0	19	6	4
TCGA-FS-A1YX-06	10	12	6	1	1
TCGA-FS-A1YY-06	246	13	15	0	0
TCGA-FS-A1Z0-06	279	13	23	19	17
TCGA-FS-A1Z3-06	1276	15	8	17	74
TCGA-FS-A1Z4-06	44	5	4	0	0
TCGA-FS-A1Z7-06	234	0	16	0	0
TCGA-FS-A1ZA-06	1445	6	25	63	85
TCGA-FS-A1ZB-06	298	10	2	0	6
TCGA-FS-A1ZC-06	935	2	8	5	28
TCGA-FS-A1ZD-06	297	23	15	0	6
TCGA-FS-A1ZE-06	138	11	16	14	11
TCGA-FS-A1ZF-06	221	17	23	4	14
TCGA-FS-A1ZG-06	0	5	30	7	3
TCGA-FS-A1ZH-06	12	10	14	2	6
TCGA-FS-A1ZJ-06	16	20	36	11	0
TCGA-FS-A1ZK-06	2032	173	7	0	0
TCGA-FS-A1ZM-06	268	37	12	0	14
TCGA-FS-A1ZN-01	119	8	10	0	0
TCGA-FS-A1ZP-06	491	0	17	40	32
TCGA-FS-A1ZQ-06	649	0	0	16	18
TCGA-FS-A1ZR-06	170	8	5	0	4
TCGA-FS-A1ZS-06	328	21	32	3	0
TCGA-FS-A1ZT-06	231	0	11	0	0
TCGA-FS-A1ZU-06	10	3	28	3	8
TCGA-FS-A1ZW-06	770	10	31	42	55
TCGA-FS-A1ZY-06	11	14	12	2	3
TCGA-FS-A1ZZ-06	2007	0	0	39	101
TCGA-FS-A4F0-06	697	53	20	0	0
TCGA-FS-A4F4-06	14	11	14	11	6
TCGA-FS-A4F5-06	982	0	0	0	43
TCGA-FS-A4F8-06	200	6	15	0	14
TCGA-FS-A4F9-06	568	9	9	4	0
TCGA-FS-A4FB-06	212	12	9	4	13
TCGA-FS-A4FC-06	941	16	11	9	22
TCGA-FS-A4FD-06	562	0	0	31	15
