Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-FS-A1ZA-06	1378	18	46	119	31	32
TCGA-FS-A1ZB-06	239	29	10	25	13	0
TCGA-FS-A1ZC-06	757	74	60	66	5	16
TCGA-FS-A1ZD-06	138	97	41	50	9	6
TCGA-FS-A1ZE-06	114	0	36	18	21	1
TCGA-FS-A1ZF-06	159	49	0	44	18	9
TCGA-FS-A1ZG-06	0	1	0	5	32	7
TCGA-FS-A1ZH-06	3	17	0	0	20	4
TCGA-FS-A1ZJ-06	0	9	12	6	52	4
TCGA-FS-A1ZK-06	1142	927	0	102	0	41
TCGA-FS-A1ZM-06	144	79	36	38	26	8
TCGA-FS-A1ZN-01	59	37	20	11	8	2
TCGA-FS-A1ZP-06	407	0	136	2	35	0
TCGA-FS-A1ZQ-06	211	124	331	0	1	16
TCGA-FS-A1ZR-06	148	9	0	21	9	0
TCGA-FS-A1ZS-06	178	72	63	37	34	0
TCGA-FS-A1ZT-06	52	51	110	22	7	0
TCGA-FS-A1ZU-06	5	0	7	6	33	1
TCGA-FS-A1ZW-06	748	75	0	0	48	37
TCGA-FS-A1ZY-06	2	14	0	0	22	4
TCGA-FS-A1ZZ-06	1530	0	474	143	0	0
TCGA-FS-A4F0-06	354	265	86	50	11	4
TCGA-FS-A4F4-06	13	0	9	0	28	6
TCGA-FS-A4F5-06	827	44	0	154	0	0
TCGA-FS-A4F8-06	81	47	67	18	15	7
TCGA-FS-A4F9-06	443	53	26	65	3	0
TCGA-FS-A4FB-06	193	30	0	9	12	6
TCGA-FS-A4FC-06	876	48	0	58	17	0
TCGA-FS-A4FD-06	331	77	184	3	3	10
TCGA-FW-A3I3-06	0	0	7	9	50	7
TCGA-FW-A3R5-06	23105	3281	0	0	716	367
TCGA-FW-A3TU-06	612	311	42	22	73	20
TCGA-FW-A3TV-06	404	8	0	0	23	23
TCGA-FW-A5DX-01	56	89	91	7	19	5
TCGA-FW-A5DY-06	171	12	22	36	0	0
TCGA-GF-A2C7-01	45	36	0	18	4	0
TCGA-GF-A3OT-06	543	172	0	9	51	9
TCGA-GF-A4EO-06	211	80	10	28	17	0
TCGA-GF-A6C8-06	349	77	0	87	10	4
TCGA-GF-A6C9-06	2851	0	835	160	0	8
TCGA-GF-A769-01	139	42	0	0	27	7
TCGA-GN-A262-06	219	216	0	43	17	0
