Samples	SBS1	SBS2	SBS5	SBS10a	SBS10b	SBS13	SBS15	SBS17a	SBS17b	SBS21	SBS40a	SBS54	SBS87
TCGA-CG-4443-01	16	0	25	0	0	0	0	0	0	0	76	0	0
TCGA-CG-4444-01	41	0	0	0	0	0	0	25	74	0	90	0	0
TCGA-CG-4449-01	11	4	45	0	13	11	27	0	0	0	0	0	0
TCGA-CG-4455-01	4	0	9	0	0	0	0	0	0	0	33	0	8
TCGA-CG-4460-01	1171	0	408	0	0	0	622	0	0	0	0	0	0
TCGA-CG-4462-01	50	0	28	0	9	0	0	0	10	0	0	0	0
TCGA-CG-4465-01	40	0	110	0	0	0	304	0	0	0	0	85	148
TCGA-CG-4466-01	52	0	22	0	0	0	0	11	75	0	88	0	0
TCGA-CG-4469-01	86	0	161	0	0	0	0	27	111	0	0	0	0
TCGA-CG-4474-01	48	0	41	0	0	0	18	0	0	0	0	0	0
TCGA-CG-4475-01	18	0	55	0	0	0	0	0	0	0	0	0	0
TCGA-CG-4476-01	36	0	22	0	0	0	0	0	0	0	88	0	0
TCGA-CG-4477-01	21	0	0	0	0	0	0	0	0	0	50	0	0
TCGA-CG-5716-01	11	0	8	0	5	0	0	0	0	0	0	0	0
TCGA-CG-5717-01	13	0	20	0	0	26	0	0	0	0	86	19	0
TCGA-CG-5718-01	10	0	8	0	0	0	15	0	0	0	48	0	26
TCGA-CG-5719-01	25	8	24	0	0	6	0	0	0	0	0	0	27
TCGA-CG-5720-01	32	0	71	0	0	0	0	0	0	0	0	0	0
TCGA-CG-5721-01	850	0	1123	0	0	0	583	0	0	2408	0	0	0
TCGA-CG-5722-01	42	0	62	0	0	0	0	0	0	0	0	0	0
TCGA-CG-5723-01	518	0	354	0	0	0	804	0	0	0	0	197	0
TCGA-CG-5724-01	46	0	37	0	0	0	0	7	20	0	33	0	0
TCGA-CG-5725-01	3	0	11	0	9	0	11	0	0	0	0	0	16
TCGA-CG-5726-01	337	0	406	0	0	0	685	0	0	0	0	0	0
TCGA-CG-5727-01	72	0	0	0	28	0	0	0	0	0	103	0	0
TCGA-CG-5728-01	534	0	320	0	0	0	480	0	0	0	0	201	0
TCGA-CG-5730-01	73	21	14	0	0	0	0	0	0	0	94	0	0
TCGA-CG-5732-01	23	0	19	0	0	0	0	0	0	0	37	0	0
TCGA-CG-5733-01	173	0	191	0	0	0	403	0	0	0	0	146	280
TCGA-CG-5734-01	32	0	58	0	0	0	22	0	0	0	0	0	0
TCGA-D7-5577-01	38	0	26	0	0	0	0	0	0	0	80	0	0
TCGA-D7-5578-01	36	0	71	0	0	0	48	0	48	0	0	0	90
TCGA-D7-5579-01	27	0	34	0	20	0	0	17	20	0	56	0	0
TCGA-D7-6518-01	31	0	10	0	0	0	21	0	0	0	42	0	0
TCGA-D7-6519-01	18	0	0	0	0	0	0	0	0	0	49	0	0
TCGA-D7-6520-01	11	3	21	0	0	8	13	0	0	0	0	0	20
TCGA-D7-6521-01	28	11	15	0	19	0	15	0	0	0	0	0	0
TCGA-D7-6522-01	31	0	11	0	0	0	0	0	0	0	24	0	0
TCGA-D7-6524-01	59	0	47	0	18	0	0	0	0	0	0	0	0
TCGA-D7-6525-01	43	0	17	0	0	0	0	21	28	0	92	0	0
TCGA-D7-6526-01	18	0	25	0	0	0	22	24	32	0	95	0	52
TCGA-D7-6527-01	50	0	21	0	0	0	0	35	80	0	81	0	0
TCGA-D7-6528-01	48	0	225	0	0	0	0	35	114	0	0	0	0
TCGA-D7-6815-01	8	0	26	0	0	0	51	0	0	0	0	0	86
TCGA-D7-6817-01	6	0	30	0	0	0	28	0	0	0	0	0	41
TCGA-D7-6818-01	19	0	46	0	0	0	23	37	67	0	0	0	0
TCGA-D7-6820-01	30	0	10	0	0	0	0	0	0	0	81	0	0
TCGA-D7-6822-01	45	0	51	0	0	0	0	41	82	0	88	0	0
TCGA-D7-8570-01	16	0	59	0	0	0	26	0	0	0	0	0	53
TCGA-D7-8572-01	47	0	32	0	18	0	0	0	0	0	125	0	0
TCGA-D7-8573-01	38	0	67	0	0	0	0	0	0	0	0	0	0
TCGA-D7-8574-01	25	0	24	0	0	0	0	0	0	0	0	0	0
TCGA-D7-8575-01	20	0	16	0	0	0	0	0	0	0	21	0	0
TCGA-D7-8576-01	12	0	17	0	0	0	20	0	0	0	0	0	22
