Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-86-6851-01	605	178	139	145	22	0	5
TCGA-86-7701-01	104	63	2	20	6	32	21
TCGA-86-7711-01	77	51	55	41	7	20	21
TCGA-86-7713-01	91	36	4	16	30	0	9
TCGA-86-7714-01	26	22	1	22	7	5	8
TCGA-86-7953-01	7	17	6	13	0	14	8
TCGA-86-7954-01	96	25	46	39	21	27	36
TCGA-86-7955-01	149	49	26	64	24	51	14
TCGA-86-8054-01	124	53	12	13	10	47	16
TCGA-86-8055-01	0	25	2	0	1	17	18
TCGA-86-8056-01	53	0	158	0	30	81	18
TCGA-86-8073-01	1278	166	101	106	67	103	24
TCGA-86-8074-01	11	7	3	10	10	26	12
TCGA-86-8075-01	0	27	5	5	4	2	19
TCGA-86-8076-01	13	17	25	2	7	0	20
TCGA-86-8278-01	0	0	98	0	2	28	16
TCGA-86-8279-01	426	0	23	130	11	13	33
TCGA-86-8280-01	3	19	0	7	15	0	11
TCGA-86-8281-01	187	2	44	49	17	0	38
TCGA-86-8358-01	777	340	31	80	72	26	50
TCGA-86-8359-01	97	34	7	0	14	33	15
TCGA-86-8585-01	318	150	130	84	15	0	13
TCGA-86-8668-01	0	10	1	0	1	15	18
TCGA-86-8669-01	43	65	9	16	18	0	19
TCGA-86-8671-01	0	9	11	7	7	3	10
TCGA-86-8672-01	165	62	37	0	31	59	22
TCGA-86-8673-01	284	128	39	52	38	52	12
TCGA-86-8674-01	247	0	38	0	11	70	16
TCGA-86-A456-01	270	0	29	63	38	34	18
TCGA-86-A4JF-01	272	0	139	603	99	17	516
TCGA-86-A4P7-01	0	38	27	3	3	0	13
TCGA-86-A4P8-01	0	1	0	0	1	0	0
TCGA-91-6828-01	186	71	31	2	11	13	22
TCGA-91-6829-01	346	199	48	118	51	29	14
TCGA-91-6830-01	11	0	229	15	19	33	8
TCGA-91-6831-01	124	106	7	51	33	0	19
TCGA-91-6835-01	24	19	20	32	4	2	12
TCGA-91-6836-01	330	108	24	29	37	21	30
TCGA-91-6840-01	0	30	84	11	1	0	16
TCGA-91-6847-01	0	40	16	7	6	5	31
TCGA-91-6848-01	308	169	108	114	31	1	10
TCGA-91-6849-01	53	42	2	0	10	30	4
TCGA-91-7771-01	78	36	18	51	27	33	8
TCGA-91-8496-01	0	22	3	0	4	0	12
TCGA-91-8497-01	5	25	1	0	15	0	10
TCGA-91-8499-01	125	42	104	34	21	41	28
TCGA-91-A4BC-01	352	78	28	39	18	12	36
TCGA-91-A4BD-01	0	0	2	6	0	7	12
TCGA-93-7347-01	74	19	11	19	9	1	10
TCGA-93-7348-01	39	0	14	21	10	24	25
TCGA-93-8067-01	28	0	458	0	34	135	19
TCGA-93-A4JN-01	2	31	10	0	5	31	19
TCGA-93-A4JO-01	4	10	14	20	7	0	10
TCGA-93-A4JP-01	6	0	21	0	4	36	15
TCGA-93-A4JQ-01	0	35	63	38	0	0	9
TCGA-95-7039-01	947	141	64	165	69	111	45
TCGA-95-7043-01	876	244	63	24	71	0	41
TCGA-95-7562-01	336	68	8	6	21	0	22
TCGA-95-7567-01	319	0	9	469	31	0	315
TCGA-95-7944-01	7	7	224	0	25	42	2
TCGA-95-7947-01	167	12	222	73	55	109	27
TCGA-95-7948-01	0	0	142	0	3	22	16
TCGA-95-8039-01	26	0	20	11	9	26	26
TCGA-95-8494-01	0	0	54	0	6	43	30
TCGA-95-A4VK-01	178	68	4	0	25	16	27
TCGA-95-A4VN-01	345	149	43	0	13	32	9
TCGA-95-A4VP-01	81	17	2	38	10	0	13
TCGA-97-7546-01	220	22	15	65	16	0	14
TCGA-97-7547-01	86	44	64	1	15	0	16
TCGA-97-7552-01	0	5	0	9	4	9	20
TCGA-97-7553-01	12	18	1	0	8	0	12
TCGA-97-7554-01	346	48	17	69	50	0	29
TCGA-97-7937-01	360	48	34	56	22	0	44
TCGA-97-7938-01	292	64	57	54	14	0	24
TCGA-97-7941-01	54	2	17	8	4	17	19
TCGA-97-8171-01	1	28	0	7	8	0	23
TCGA-97-8172-01	160	69	0	20	26	19	37
TCGA-97-8174-01	94	37	31	9	8	0	34
TCGA-97-8175-01	0	23	0	0	6	9	3
TCGA-97-8176-01	38	32	49	7	15	38	18
TCGA-97-8177-01	1	0	5	6	6	17	12
TCGA-97-8179-01	117	52	12	15	10	0	2
TCGA-97-8547-01	1	0	14	0	4	27	24
TCGA-97-8552-01	6	2	1	1	5	3	11
TCGA-97-A4LX-01	96	70	3	25	1	24	0
TCGA-97-A4M0-01	241	63	71	63	18	33	11
TCGA-97-A4M1-01	3	13	11	0	1	8	19
TCGA-97-A4M2-01	5	9	8	2	4	0	4
TCGA-97-A4M3-01	143	20	28	6	6	30	17
TCGA-97-A4M5-01	0	0	114	0	10	60	6
TCGA-97-A4M6-01	0	4	3	6	2	18	9
TCGA-97-A4M7-01	279	5	16	36	10	18	20
TCGA-99-7458-01	340	73	11	90	49	0	14
TCGA-99-8025-01	208	61	153	47	31	46	53
TCGA-99-8028-01	375	56	12	76	9	0	14
TCGA-99-8032-01	276	122	34	0	17	7	36
TCGA-99-8033-01	79	82	7	0	12	28	15
TCGA-99-AA5R-01	47	8	0	12	6	0	0
TCGA-J2-8192-01	0	39	6	1	15	5	24
TCGA-J2-8194-01	46	75	1	6	20	21	21
TCGA-J2-A4AD-01	65	104	167	63	0	0	18
TCGA-J2-A4AE-01	0	26	13	3	2	5	13
TCGA-J2-A4AG-01	46	29	8	3	5	0	23
TCGA-L4-A4E5-01	276	24	8	41	21	38	11
TCGA-L4-A4E6-01	6	9	5	0	0	0	0
TCGA-L9-A443-01	140	88	11	22	6	36	4
TCGA-L9-A444-01	467	123	15	7	37	39	13
TCGA-L9-A50W-01	0	5	3	0	5	20	3
TCGA-L9-A5IP-01	221	18	19	47	14	19	14
TCGA-L9-A743-01	58	0	68	33	1	0	8
TCGA-L9-A7SV-01	1582	199	63	85	36	18	36
TCGA-L9-A8F4-01	497	247	61	61	40	56	9
TCGA-MN-A4N1-01	318	141	35	23	28	2	41
TCGA-MN-A4N4-01	1053	91	399	60	88	148	33
TCGA-MN-A4N5-01	316	38	42	60	14	70	22
TCGA-MP-A4SV-01	132	60	141	33	42	14	18
TCGA-MP-A4SW-01	3	22	10	0	11	5	34
TCGA-MP-A4SY-01	39	98	24	21	21	0	14
TCGA-MP-A4T2-01	15	5	28	30	16	5	12
TCGA-MP-A4T4-01	290	31	29	54	20	41	20
TCGA-MP-A4T6-01	0	24	21	17	14	0	17
TCGA-MP-A4T7-01	99	30	4	0	6	9	11
TCGA-MP-A4T8-01	64	1	5	31	11	24	13
TCGA-MP-A4T9-01	11	8	10	8	7	0	2
TCGA-MP-A4TA-01	190	99	32	85	14	7	27
TCGA-MP-A4TC-01	200	26	26	24	11	25	15
TCGA-MP-A4TD-01	35	33	2	7	6	4	14
TCGA-MP-A4TE-01	57	53	0	0	10	9	44
TCGA-MP-A4TF-01	323	84	23	58	34	11	13
TCGA-MP-A4TH-01	32	45	0	21	13	9	19
TCGA-MP-A4TI-01	26	0	124	0	7	143	13
TCGA-MP-A4TJ-01	29	38	1	24	2	9	12
TCGA-MP-A4TK-01	250	14	61	33	23	54	7
TCGA-MP-A5C7-01	27	7	2	28	8	3	21
TCGA-NJ-A4YF-01	533	125	26	36	37	12	12
TCGA-NJ-A4YG-01	54	19	42	10	9	33	31
TCGA-NJ-A4YI-01	341	40	24	57	23	41	33
TCGA-NJ-A4YP-01	67	0	347	0	44	232	1
TCGA-NJ-A4YQ-01	928	161	26	206	51	0	19
TCGA-NJ-A55A-01	73	43	8	10	0	7	6
TCGA-NJ-A55O-01	118	15	11	1	9	0	11
TCGA-NJ-A55R-01	172	66	10	35	24	11	5
TCGA-NJ-A7XG-01	1	28	0	0	0	0	13
TCGA-O1-A52J-01	125	4	12	39	12	0	19
TCGA-S2-AA1A-01	85	27	2	4	7	10	9
TCGA-18-3406-01	38	83	80	44	17	0	15
TCGA-18-3407-01	0	16	0	21	7	26	22
TCGA-18-3408-01	13	21	0	37	13	0	14
TCGA-18-3409-01	0	0	19	0	4157	91	0
TCGA-18-3410-01	23	94	83	39	1	0	7
TCGA-18-3411-01	69	152	19	56	34	30	38
TCGA-18-3412-01	3	91	21	0	3	19	10
TCGA-18-3414-01	84	62	72	68	29	36	31
