Samples	SBS96A	SBS96B	SBS96C
TCGA-EE-A20B-06	4.12E+00	5.19E+00	1.34E+00
TCGA-EE-A20C-06	4.07E+01	4.43E+01	4.65E+00
TCGA-EE-A20F-06	4.88E+00	5.80E+00	1.30E+00
TCGA-EE-A20H-06	1.03E+01	1.17E+01	1.91E+00
TCGA-EE-A20I-06	3.24E-01	3.14E-01	2.69E-01
TCGA-EE-A29A-06	4.49E+00	5.26E+00	1.05E+00
TCGA-EE-A29B-06	7.60E+00	8.26E+00	1.36E+00
TCGA-EE-A29C-06	7.77E+00	8.72E+00	1.19E+00
TCGA-EE-A29D-06	5.47E+01	6.13E+01	7.30E+00
TCGA-EE-A29E-06	1.52E+01	1.49E+01	2.27E+00
TCGA-EE-A29G-06	6.06E+00	6.92E+00	1.51E+00
TCGA-EE-A29H-06	4.84E+00	5.51E+00	1.09E+00
TCGA-EE-A29L-06	1.47E+01	1.39E+01	2.07E+00
TCGA-EE-A29M-06	2.25E+01	2.41E+01	2.23E+00
TCGA-EE-A29N-06	1.28E+01	1.43E+01	1.92E+00
TCGA-EE-A29P-06	6.01E+00	6.72E+00	9.70E-01
TCGA-EE-A29Q-06	5.26E+00	6.40E+00	1.60E+00
TCGA-EE-A29R-06	1.10E+01	1.26E+01	1.87E+00
TCGA-EE-A29S-06	1.75E+01	2.00E+01	3.24E+00
TCGA-EE-A29T-06	3.31E+00	3.92E+00	1.52E+00
TCGA-EE-A29V-06	2.47E+01	2.77E+01	3.38E+00
TCGA-EE-A29W-06	1.45E+00	1.53E+00	5.40E-01
TCGA-EE-A29X-06	3.00E+00	3.35E+00	6.12E-01
TCGA-EE-A2A0-06	5.96E+00	6.64E+00	1.26E+00
TCGA-EE-A2A1-06	5.60E+00	6.06E+00	9.06E-01
TCGA-EE-A2A2-06	3.24E+01	3.61E+01	4.32E+00
TCGA-EE-A2A5-06	4.29E+00	4.68E+00	8.64E-01
TCGA-EE-A2A6-06	3.36E+00	3.75E+00	7.00E-01
TCGA-EE-A2GB-06	1.04E+01	1.15E+01	1.52E+00
TCGA-EE-A2GC-06	3.38E+01	3.67E+01	3.42E+00
TCGA-EE-A2GD-06	8.02E+00	9.14E+00	1.56E+00
TCGA-EE-A2GE-06	6.24E+00	7.10E+00	1.06E+00
TCGA-EE-A2GH-06	4.39E+00	4.74E+00	8.47E-01
TCGA-EE-A2GI-06	2.24E+01	2.51E+01	3.36E+00
TCGA-EE-A2GJ-06	1.86E+01	1.89E+01	1.58E+00
TCGA-EE-A2GK-06	0.00E+00	2.78E-02	2.78E-02
TCGA-EE-A2GL-06	7.33E+00	7.94E+00	1.14E+00
TCGA-EE-A2GM-06	1.15E+01	1.29E+01	1.79E+00
TCGA-EE-A2GN-06	7.49E+00	8.71E+00	1.59E+00
TCGA-EE-A2GO-06	3.25E+01	3.48E+01	3.17E+00
TCGA-EE-A2GP-06	8.01E+00	8.73E+00	1.36E+00
TCGA-EE-A2GR-06	2.94E+01	3.16E+01	2.89E+00
TCGA-EE-A2GS-06	6.00E+00	7.38E+00	1.61E+00
TCGA-EE-A2GT-06	4.06E+00	4.41E+00	1.22E+00
TCGA-EE-A2GU-06	6.68E+00	7.27E+00	1.24E+00
TCGA-EE-A2M5-06	3.57E+01	3.78E+01	2.92E+00
TCGA-EE-A2M6-06	9.13E+00	1.02E+01	1.75E+00
TCGA-EE-A2M7-06	6.08E-01	6.33E-01	6.02E-01
TCGA-EE-A2M8-06	1.79E+00	2.15E+00	6.77E-01
TCGA-EE-A2MC-06	1.14E+01	1.23E+01	1.75E+00
TCGA-EE-A2MD-06	1.56E+01	1.71E+01	2.09E+00
TCGA-EE-A2ME-06	9.67E-01	1.25E+00	4.76E-01
TCGA-EE-A2MF-06	8.47E+00	8.22E+00	1.92E+00
TCGA-EE-A2MG-06	3.48E+00	4.04E+00	8.80E-01
TCGA-EE-A2MH-06	3.43E+00	3.76E+00	7.42E-01
TCGA-EE-A2MI-06	1.41E+01	1.62E+01	2.50E+00
TCGA-EE-A2MJ-06	1.30E+01	1.31E+01	1.71E+00
TCGA-EE-A2MK-06	4.49E+00	5.10E+00	8.95E-01
TCGA-EE-A2ML-06	1.19E+01	1.36E+01	1.97E+00
TCGA-EE-A2MM-06	7.03E+00	8.12E+00	1.51E+00
TCGA-EE-A2MN-06	2.33E+00	2.70E+00	7.22E-01
TCGA-EE-A2MP-06	7.22E+00	8.62E+00	1.66E+00
TCGA-EE-A2MQ-06	4.75E+00	5.25E+00	1.16E+00
TCGA-EE-A2MR-06	5.30E+00	5.47E+00	3.14E+00
TCGA-EE-A2MS-06	3.52E+01	3.82E+01	3.50E+00
TCGA-EE-A2MT-06	1.67E+01	1.83E+01	2.05E+00
TCGA-EE-A2MU-06	5.16E+00	4.68E+00	2.00E+00
TCGA-EE-A3AA-06	1.14E+01	1.18E+01	1.38E+00
TCGA-EE-A3AB-06	1.32E+01	1.31E+01	6.75E+00
TCGA-EE-A3AC-06	1.52E+01	1.66E+01	1.91E+00
TCGA-EE-A3AD-06	6.53E+00	7.24E+00	1.19E+00
TCGA-EE-A3AE-06	8.78E+00	8.79E+00	1.28E+00
TCGA-EE-A3AF-06	2.44E+01	2.73E+01	3.32E+00
TCGA-EE-A3AG-06	2.63E+01	2.86E+01	2.59E+00
TCGA-EE-A3AH-06	4.68E+00	5.08E+00	8.76E-01
TCGA-EE-A3J3-06	3.11E+00	4.10E+00	1.41E+00
TCGA-EE-A3J4-06	3.75E+00	3.74E+00	1.31E+00
TCGA-EE-A3J5-06	3.86E+01	4.32E+01	5.55E+00
TCGA-EE-A3J7-06	1.75E+01	1.89E+01	2.30E+00
TCGA-EE-A3J8-06	3.51E+00	3.92E+00	1.05E+00
TCGA-EE-A3JA-06	8.99E+00	9.60E+00	1.22E+00
TCGA-EE-A3JB-06	1.28E+01	1.42E+01	2.07E+00
TCGA-EE-A3JD-06	2.57E+01	2.83E+01	3.46E+00
TCGA-EE-A3JE-06	5.89E+00	6.80E+00	1.27E+00
TCGA-EE-A3JH-06	3.66E+00	4.62E+00	1.24E+00
TCGA-EE-A3JI-06	2.08E+01	2.42E+01	4.09E+00
TCGA-ER-A193-06	2.75E+01	2.82E+01	2.36E+00
TCGA-ER-A194-01	2.05E+01	2.24E+01	2.47E+00
TCGA-ER-A195-06	4.35E+00	5.00E+00	8.29E-01
TCGA-ER-A196-01	2.42E-01	2.43E-01	2.66E-01
TCGA-ER-A197-06	1.13E-01	4.72E-01	4.60E-01
TCGA-ER-A198-06	9.50E+00	1.10E+01	1.88E+00
TCGA-ER-A199-06	4.24E+00	4.86E+00	9.75E-01
TCGA-ER-A19A-06	1.40E+00	1.51E+00	4.43E-01
TCGA-ER-A19B-06	1.12E+00	1.54E+00	1.26E+00
TCGA-ER-A19C-06	1.45E+00	1.61E+00	6.59E-01
TCGA-ER-A19D-06	8.16E+00	9.52E+00	1.73E+00
TCGA-ER-A19E-06	7.99E+00	9.85E+00	2.38E+00
TCGA-ER-A19F-06	1.70E+01	1.92E+01	2.63E+00
TCGA-ER-A19G-06	8.32E+00	8.74E+00	1.20E+00
TCGA-ER-A19H-06	5.94E+00	7.00E+00	1.43E+00
TCGA-ER-A19J-06	3.10E+00	3.46E+00	8.12E-01
TCGA-ER-A19K-01	5.57E+00	6.29E+00	1.23E+00
TCGA-ER-A19L-06	1.33E+00	1.62E+00	5.20E-01
TCGA-ER-A19M-06	8.22E+00	9.44E+00	1.50E+00
TCGA-ER-A19N-06	6.50E+00	7.19E+00	1.09E+00
TCGA-ER-A19O-06	2.23E+00	2.63E+00	8.82E-01
TCGA-ER-A19P-06	5.88E+00	8.10E+00	3.16E+00
TCGA-ER-A19Q-06	1.40E+00	1.62E+00	5.72E-01
TCGA-ER-A19S-06	3.70E+00	4.02E+00	9.17E-01
TCGA-ER-A19T-01	5.58E-01	9.47E-01	6.51E-01
TCGA-ER-A19W-06	5.52E+00	6.59E+00	1.55E+00
TCGA-ER-A1A1-06	2.83E+00	3.08E+00	4.19E-01
TCGA-ER-A2NB-01	4.65E-01	8.24E-01	6.76E-01
TCGA-ER-A2NC-06	6.06E+00	7.03E+00	1.26E+00
TCGA-ER-A2ND-06	1.78E+00	2.34E+00	1.11E+00
TCGA-ER-A2NE-06	2.02E+00	2.51E+00	8.50E-01
TCGA-ER-A2NF-01	8.67E-01	1.04E+00	4.39E-01
TCGA-ER-A2NG-06	3.59E+00	3.76E+00	1.12E+00
TCGA-ER-A2NH-06	4.41E+00	5.02E+00	8.69E-01
TCGA-ER-A3ES-06	2.52E-01	2.82E-01	2.92E-01
TCGA-ER-A3ET-06	7.97E-01	1.17E+00	7.92E-01
TCGA-ER-A3EV-06	5.73E-01	8.34E-01	6.78E-01
TCGA-ER-A3PL-06	8.12E+00	9.02E+00	1.10E+00
TCGA-ER-A42H-01	4.82E-01	5.06E-01	4.35E-01
TCGA-ER-A42K-06	4.66E+00	5.67E+00	1.37E+00
TCGA-ER-A42L-06	1.39E+01	1.61E+01	2.63E+00
TCGA-FR-A2OS-01	1.09E-01	2.37E-01	2.69E-01
TCGA-FR-A3R1-01	7.56E+00	8.60E+00	1.38E+00
TCGA-FR-A3YN-06	1.05E+01	1.21E+01	2.01E+00
TCGA-FR-A3YO-06	1.11E+01	1.28E+01	2.15E+00
TCGA-FR-A44A-06	6.23E+00	7.42E+00	1.53E+00
TCGA-FR-A69P-06	4.26E+00	4.61E+00	6.90E-01
TCGA-FR-A726-01	7.61E+01	7.98E+01	4.53E+00
TCGA-FR-A728-01	6.44E+00	7.43E+00	1.47E+00
TCGA-FR-A729-06	6.06E+00	5.53E+00	1.77E+00
TCGA-FR-A7U8-06	3.33E-01	6.15E-01	4.79E-01
TCGA-FR-A7U9-06	1.33E+01	1.35E+01	1.65E+00
TCGA-FR-A7UA-06	1.94E+00	2.20E+00	7.14E-01
TCGA-FR-A8YC-06	3.93E+01	4.29E+01	4.44E+00
TCGA-FR-A8YD-06	9.78E-01	1.16E+00	7.77E-01
TCGA-FR-A8YE-06	5.54E+00	6.02E+00	9.00E-01
TCGA-FS-A1YW-06	2.48E+00	2.93E+00	7.74E-01
TCGA-FS-A1YX-06	5.67E-01	7.12E-01	3.76E-01
TCGA-FS-A1YY-06	4.23E+00	5.01E+00	1.10E+00
TCGA-FS-A1Z0-06	4.02E+00	4.42E+00	1.01E+00
TCGA-FS-A1Z3-06	1.20E+01	1.26E+01	1.60E+00
TCGA-FS-A1Z4-06	1.01E+00	1.19E+00	4.83E-01
TCGA-FS-A1Z7-06	3.96E+00	4.58E+00	7.62E-01
TCGA-FS-A1ZA-06	1.41E+01	1.53E+01	1.98E+00
TCGA-FS-A1ZB-06	2.79E+00	3.24E+00	7.58E-01
TCGA-FS-A1ZC-06	7.80E+00	8.27E+00	1.31E+00
TCGA-FS-A1ZD-06	6.06E+00	7.03E+00	1.29E+00
TCGA-FS-A1ZE-06	2.77E+00	3.54E+00	1.17E+00
TCGA-FS-A1ZF-06	4.39E+00	5.57E+00	1.52E+00
TCGA-FS-A1ZG-06	1.13E-01	3.81E-01	3.72E-01
TCGA-FS-A1ZH-06	7.40E-01	9.21E-01	5.02E-01
TCGA-FS-A1ZJ-06	7.73E-01	9.41E-01	6.08E-01
TCGA-FS-A1ZK-06	3.36E+01	3.67E+01	3.77E+00
TCGA-FS-A1ZM-06	4.52E+00	5.12E+00	1.15E+00
TCGA-FS-A1ZN-01	2.18E+00	2.37E+00	4.68E-01
TCGA-FS-A1ZP-06	4.08E+00	4.66E+00	1.17E+00
TCGA-FS-A1ZQ-06	2.49E+00	2.54E+00	1.31E+00
TCGA-FS-A1ZR-06	2.12E+00	2.55E+00	7.08E-01
TCGA-FS-A1ZS-06	5.75E+00	7.11E+00	1.70E+00
TCGA-FS-A1ZT-06	2.90E+00	3.63E+00	1.18E+00
TCGA-FS-A1ZU-06	4.46E-01	4.24E-01	4.43E-01
TCGA-FS-A1ZW-06	7.70E+00	8.47E+00	1.40E+00
TCGA-FS-A1ZY-06	6.01E-01	6.25E-01	4.32E-01
TCGA-FS-A1ZZ-06	1.06E+01	1.09E+01	1.40E+00
TCGA-FS-A4F0-06	1.26E+01	1.49E+01	2.55E+00
TCGA-FS-A4F4-06	5.60E-01	5.10E-01	5.56E-01
TCGA-FS-A4F5-06	1.01E+01	1.12E+01	1.52E+00
TCGA-FS-A4F8-06	2.67E+00	2.73E+00	6.97E-01
TCGA-FS-A4F9-06	7.47E+00	8.43E+00	1.33E+00
TCGA-FS-A4FB-06	2.51E+00	2.66E+00	7.14E-01
TCGA-FS-A4FC-06	9.24E+00	1.07E+01	1.91E+00
TCGA-FS-A4FD-06	4.79E+00	5.10E+00	8.88E-01
TCGA-FW-A3I3-06	4.84E-01	6.34E-01	5.37E-01
TCGA-FW-A3R5-06	3.01E+01	3.03E+01	6.52E-01
TCGA-FW-A3TU-06	1.52E+01	1.79E+01	3.12E+00
TCGA-FW-A3TV-06	3.63E+00	3.86E+00	6.93E-01
TCGA-FW-A5DX-01	4.35E+00	4.99E+00	1.04E+00
TCGA-FW-A5DY-06	2.13E+00	2.31E+00	4.99E-01
TCGA-GF-A2C7-01	2.38E+00	2.86E+00	7.16E-01
TCGA-GF-A3OT-06	1.13E+01	1.32E+01	2.27E+00
TCGA-GF-A4EO-06	4.73E+00	5.26E+00	1.02E+00
