Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-VQ-A927-01	14	12	3	0	15	4	16	3
TCGA-VQ-A928-01	4	12	8	11	33	0	0	8
TCGA-VQ-A92D-01	20	21	12	30	55	8	4	13
TCGA-VQ-A94O-01	23	0	0	25	19	11	0	1
TCGA-VQ-A94P-01	13	0	1	13	8	0	65	0
TCGA-VQ-A94R-01	35	0	23	75	139	22	55	23
TCGA-VQ-A94T-01	22	3	15	6	35	2	0	17
TCGA-VQ-A94U-01	45	0	17	50	50	1	30	0
TCGA-VQ-AA64-01	9	17	16	4	220	7	21	15
TCGA-VQ-AA68-01	36	0	11	27	53	2	79	0
TCGA-VQ-AA69-01	27	0	13	11	26	4	0	0
TCGA-VQ-AA6A-01	32	0	4	23	21	11	28	3
TCGA-VQ-AA6B-01	27	0	19	11	37	3	3	0
TCGA-VQ-AA6D-01	21	90	447	30	137	83	62	40
TCGA-VQ-AA6F-01	5	0	12	6	22	4	0	13
TCGA-VQ-AA6G-01	55	5	12	22	26	10	28	8
TCGA-VQ-AA6I-01	23	0	25	15	43	0	11	9
TCGA-VQ-AA6J-01	32	0	18	15	40	0	71	0
TCGA-VQ-AA6K-01	26	16	6	0	39	0	0	5
TCGA-ZA-A8F6-01	14	0	3	0	32	2	0	7
TCGA-ZQ-A9CR-01	24	14	9	0	49	10	26	12
