Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-64-1680-01	9	35	32	0
TCGA-64-1681-01	16	32	42	16
TCGA-64-5774-01	122	43	7	4
TCGA-64-5775-01	472	62	22	33
TCGA-64-5778-01	448	59	47	25
TCGA-64-5779-01	338	71	16	12
TCGA-64-5781-01	1056	68	185	96
TCGA-64-5815-01	152	39	4	18
TCGA-67-3770-01	202	42	7	22
TCGA-67-3771-01	661	131	428	100
TCGA-67-3773-01	77	30	2	16
TCGA-67-3774-01	92	27	11	20
TCGA-67-4679-01	266	44	15	27
TCGA-67-6215-01	18	77	15	27
TCGA-67-6216-01	2	18	15	10
TCGA-67-6217-01	149	51	12	22
TCGA-69-7760-01	19	54	10	5
TCGA-69-7761-01	15	17	3	1
TCGA-69-7763-01	32	59	2	7
TCGA-69-7764-01	50	48	10	8
TCGA-69-7765-01	588	23	86	50
TCGA-69-7973-01	241	42	13	13
TCGA-69-7974-01	474	88	42	36
TCGA-69-7978-01	451	61	254	0
TCGA-69-7979-01	1552	78	111	59
TCGA-69-7980-01	632	72	238	29
TCGA-69-8253-01	131	32	38	8
TCGA-69-8254-01	36	45	0	16
TCGA-69-8255-01	191	88	60	26
TCGA-69-A59K-01	488	80	55	14
TCGA-71-6725-01	1	56	5	11
TCGA-71-8520-01	18	63	21	3
TCGA-73-4658-01	186	60	183	19
TCGA-73-4659-01	191	38	13	20
TCGA-73-4662-01	189	40	23	16
TCGA-73-4666-01	349	73	35	14
TCGA-73-4668-01	505	86	23	15
TCGA-73-4670-01	291	67	30	53
TCGA-73-4675-01	28	45	9	2
TCGA-73-4676-01	42	53	4	13
TCGA-73-4677-01	215	46	16	27
TCGA-73-7498-01	85	37	0	17
TCGA-73-7499-01	9	42	23	9
TCGA-73-A9RS-01	1008	33	88	43
TCGA-75-5122-01	57	56	33	21
TCGA-75-5125-01	87	53	59	11
TCGA-75-5126-01	477	49	243	12
TCGA-75-5146-01	200	13	14	12
TCGA-75-5147-01	1	32	14	0
TCGA-75-6203-01	1	17	0	1
TCGA-75-6205-01	13	26	14	7
TCGA-75-6206-01	60	18	21	10
TCGA-75-6207-01	16	40	18	10
TCGA-75-6211-01	331	66	29	16
TCGA-75-6212-01	0	12	1	8
TCGA-75-6214-01	528	77	229	65
TCGA-75-7025-01	0	28	6	4
TCGA-75-7027-01	228	37	9	29
TCGA-75-7030-01	3	14	0	1
TCGA-75-7031-01	137	68	31	23
TCGA-78-7145-01	163	35	20	19
TCGA-78-7146-01	234	64	138	28
TCGA-78-7147-01	227	95	66	39
TCGA-78-7148-01	175	56	10	33
TCGA-78-7149-01	45	30	109	16
TCGA-78-7150-01	185	80	198	46
TCGA-78-7152-01	93	26	113	23
TCGA-78-7153-01	41	69	33	13
TCGA-78-7154-01	61	107	141	19
TCGA-78-7155-01	1455	142	184	57
TCGA-78-7156-01	157	39	180	41
TCGA-78-7158-01	173	40	57	14
TCGA-78-7159-01	284	71	19	6
TCGA-78-7160-01	15	25	7	10
TCGA-78-7161-01	150	57	19	10
TCGA-78-7162-01	42	22	22	15
TCGA-78-7163-01	5	17	2	3
TCGA-78-7166-01	220	22	9	24
TCGA-78-7167-01	58	45	45	6
TCGA-78-7220-01	718	78	141	109
TCGA-78-7535-01	140	52	12	16
TCGA-78-7536-01	583	98	24	33
TCGA-78-7537-01	103	26	22	18
TCGA-78-7539-01	151	78	376	0
TCGA-78-7540-01	1	29	3	3
TCGA-78-7542-01	352	45	42	38
TCGA-78-7633-01	91	23	10	11
TCGA-78-8640-01	546	153	181	34
TCGA-78-8648-01	9	6	0	1
TCGA-78-8655-01	72	37	6	17
TCGA-78-8660-01	164	55	57	28
TCGA-78-8662-01	1088	145	120	87
TCGA-80-5607-01	7	12	139	0
TCGA-80-5608-01	141	41	15	2
TCGA-80-5611-01	119	77	18	33
TCGA-83-5908-01	143	35	117	0
TCGA-86-6562-01	13	30	29	2
TCGA-86-6851-01	842	65	168	19
TCGA-86-7701-01	167	63	10	8
TCGA-86-7711-01	129	65	72	6
TCGA-86-7713-01	123	23	4	36
TCGA-86-7714-01	48	29	4	10
TCGA-86-7953-01	24	29	12	0
TCGA-86-7954-01	132	79	57	22
TCGA-86-7955-01	236	66	44	31
TCGA-86-8054-01	188	50	24	13
TCGA-86-8055-01	9	45	7	2
TCGA-86-8056-01	82	33	196	29
TCGA-86-8073-01	1580	68	126	71
TCGA-86-8074-01	25	32	9	13
TCGA-86-8075-01	4	47	7	4
TCGA-86-8076-01	18	35	25	6
TCGA-86-8278-01	0	27	117	0
TCGA-86-8279-01	516	84	28	8
TCGA-86-8280-01	11	26	0	18
TCGA-86-8281-01	210	68	46	13
TCGA-86-8358-01	1077	166	47	86
TCGA-86-8359-01	137	33	13	17
TCGA-86-8585-01	469	72	158	11
TCGA-86-8668-01	3	36	4	2
TCGA-86-8669-01	81	54	13	22
TCGA-86-8671-01	5	22	13	7
TCGA-86-8672-01	235	52	52	37
TCGA-86-8673-01	429	67	60	49
TCGA-86-8674-01	296	24	51	11
TCGA-86-A456-01	332	39	38	43
TCGA-86-A4JF-01	334	1061	169	82
TCGA-86-A4P7-01	11	37	34	2
TCGA-86-A4P8-01	1	0	0	1
TCGA-91-6828-01	240	49	36	11
TCGA-91-6829-01	563	104	72	66
TCGA-91-6830-01	21	12	272	10
TCGA-91-6831-01	209	75	13	43
TCGA-91-6835-01	44	39	26	4
TCGA-91-6836-01	431	74	32	42
TCGA-91-6840-01	11	37	94	0
TCGA-91-6847-01	11	69	20	5
TCGA-91-6848-01	480	89	138	34
TCGA-91-6849-01	97	19	10	15
TCGA-91-7771-01	136	46	32	37
TCGA-91-8496-01	3	29	5	4
TCGA-91-8497-01	13	23	2	18
TCGA-91-8499-01	179	70	127	19
TCGA-91-A4BC-01	435	79	32	17
TCGA-91-A4BD-01	0	23	4	0
TCGA-93-7347-01	97	24	13	9
TCGA-93-7348-01	52	51	20	10
TCGA-93-8067-01	69	21	566	18
TCGA-93-A4JN-01	24	48	19	7
TCGA-93-A4JO-01	12	27	18	8
TCGA-93-A4JP-01	17	29	32	4
TCGA-93-A4JQ-01	19	44	82	0
TCGA-95-7039-01	1230	138	93	81
TCGA-95-7043-01	1085	91	68	75
TCGA-95-7562-01	394	40	7	20
TCGA-95-7567-01	405	692	24	22
TCGA-95-7944-01	21	0	268	18
TCGA-95-7947-01	251	77	278	59
TCGA-95-7948-01	0	21	162	0
TCGA-95-8039-01	35	49	25	9
TCGA-95-8494-01	4	52	73	4
TCGA-95-A4VK-01	228	55	7	28
TCGA-95-A4VN-01	481	38	57	15
TCGA-95-A4VP-01	109	36	4	12
TCGA-97-7546-01	276	41	17	18
TCGA-97-7547-01	112	31	70	13
TCGA-97-7552-01	3	40	0	4
TCGA-97-7553-01	17	25	1	8
TCGA-97-7554-01	418	66	19	56
TCGA-97-7937-01	426	84	35	19
TCGA-97-7938-01	371	59	64	11
TCGA-97-7941-01	61	35	21	4
TCGA-97-8171-01	11	47	1	8
TCGA-97-8172-01	216	82	2	31
TCGA-97-8174-01	113	62	32	6
TCGA-97-8175-01	13	14	3	11
TCGA-97-8176-01	71	46	64	16
TCGA-97-8177-01	6	26	8	7
TCGA-97-8179-01	164	16	16	12
TCGA-97-8547-01	6	41	19	4
TCGA-97-8552-01	6	18	1	4
TCGA-97-A4LX-01	176	27	13	3
TCGA-97-A4M0-01	340	49	92	19
TCGA-97-A4M1-01	9	32	14	0
TCGA-97-A4M2-01	9	10	9	4
TCGA-97-A4M3-01	178	32	35	5
TCGA-97-A4M5-01	15	12	155	8
TCGA-97-A4M6-01	5	26	8	3
TCGA-97-A4M7-01	320	36	19	9
TCGA-99-7458-01	450	53	14	60
TCGA-99-8025-01	278	115	179	27
TCGA-99-8028-01	475	44	15	8
TCGA-99-8032-01	357	79	40	16
TCGA-99-8033-01	141	50	16	16
TCGA-99-AA5R-01	64	1	1	7
TCGA-J2-8192-01	15	50	9	16
TCGA-J2-8194-01	94	61	8	27
TCGA-J2-A4AD-01	140	75	202	0
TCGA-J2-A4AE-01	7	35	18	2
TCGA-J2-A4AG-01	57	44	8	5
TCGA-L4-A4E5-01	347	32	15	25
TCGA-L4-A4E6-01	13	1	6	0
TCGA-L9-A443-01	237	37	23	10
TCGA-L9-A444-01	601	35	22	43
TCGA-L9-A50W-01	8	11	9	8
TCGA-L9-A5IP-01	276	35	26	15
TCGA-L9-A743-01	73	18	77	0
TCGA-L9-A7SV-01	1870	58	63	28
TCGA-L9-A8F4-01	753	79	89	50
TCGA-MN-A4N1-01	422	96	41	29
TCGA-MN-A4N4-01	1281	51	460	80
TCGA-MN-A4N5-01	423	63	61	15
TCGA-MP-A4SV-01	185	48	165	42
TCGA-MP-A4SW-01	8	56	11	10
TCGA-MP-A4SY-01	99	57	33	28
TCGA-MP-A4T2-01	26	32	34	19
TCGA-MP-A4T4-01	372	50	40	23
TCGA-MP-A4T6-01	7	44	26	16
TCGA-MP-A4T7-01	122	24	6	7
TCGA-MP-A4T8-01	89	35	11	14
TCGA-MP-A4T9-01	19	6	12	9
TCGA-MP-A4TA-01	296	98	44	16
TCGA-MP-A4TC-01	248	34	34	11
TCGA-MP-A4TD-01	55	36	4	6
TCGA-MP-A4TE-01	79	82	2	10
TCGA-MP-A4TF-01	426	50	30	40
TCGA-MP-A4TH-01	65	55	2	17
TCGA-MP-A4TI-01	84	32	189	8
