Samples	SBS96A
TCGA-GN-A267-06	0.00E+00
TCGA-GN-A268-06	0.00E+00
TCGA-GN-A269-01	0.00E+00
TCGA-GN-A26A-06	0.00E+00
TCGA-GN-A26C-01	0.00E+00
TCGA-GN-A26D-06	0.00E+00
TCGA-GN-A4U3-06	0.00E+00
TCGA-GN-A4U4-06	0.00E+00
TCGA-GN-A4U5-01	0.00E+00
TCGA-GN-A4U7-06	0.00E+00
TCGA-GN-A4U8-06	0.00E+00
TCGA-GN-A4U9-06	0.00E+00
TCGA-GN-A8LK-06	0.00E+00
TCGA-GN-A8LL-06	0.00E+00
TCGA-GN-A8LN-01	0.00E+00
TCGA-GN-A9SD-06	0.00E+00
TCGA-HR-A2OG-06	0.00E+00
TCGA-HR-A2OH-06	0.00E+00
TCGA-HR-A5NC-01	0.00E+00
TCGA-IH-A3EA-01	0.00E+00
TCGA-LH-A9QB-06	0.00E+00
TCGA-OD-A75X-06	0.00E+00
TCGA-QB-A6FS-06	0.00E+00
TCGA-QB-AA9O-06	0.00E+00
TCGA-RP-A690-06	0.00E+00
TCGA-RP-A693-06	0.00E+00
TCGA-RP-A694-06	0.00E+00
TCGA-RP-A695-06	0.00E+00
TCGA-RP-A6K9-06	0.00E+00
TCGA-W3-A824-06	0.00E+00
TCGA-W3-A825-06	0.00E+00
TCGA-W3-A828-06	0.00E+00
TCGA-W3-AA1O-06	0.00E+00
TCGA-W3-AA1Q-06	0.00E+00
TCGA-W3-AA1R-06	0.00E+00
TCGA-W3-AA1V-06	0.00E+00
TCGA-W3-AA1W-06	0.00E+00
TCGA-W3-AA21-06	0.00E+00
TCGA-WE-A8JZ-06	0.00E+00
TCGA-WE-A8K1-06	0.00E+00
TCGA-WE-A8K4-01	0.00E+00
TCGA-WE-A8K5-06	0.00E+00
TCGA-WE-A8K6-06	0.00E+00
TCGA-WE-A8ZM-06	0.00E+00
TCGA-WE-A8ZN-06	0.00E+00
TCGA-WE-A8ZO-06	0.00E+00
TCGA-WE-A8ZQ-06	0.00E+00
TCGA-WE-A8ZR-06	0.00E+00
TCGA-WE-A8ZT-06	0.00E+00
TCGA-WE-A8ZX-06	0.00E+00
TCGA-WE-A8ZY-06	0.00E+00
TCGA-WE-AA9Y-06	0.00E+00
TCGA-WE-AAA0-06	0.00E+00
TCGA-WE-AAA3-06	0.00E+00
TCGA-WE-AAA4-06	0.00E+00
TCGA-XV-A9VZ-01	0.00E+00
TCGA-XV-A9W2-01	0.00E+00
TCGA-XV-A9W5-01	0.00E+00
TCGA-XV-AAZV-01	0.00E+00
TCGA-XV-AAZW-01	0.00E+00
TCGA-XV-AAZY-01	0.00E+00
TCGA-YD-A89C-06	0.00E+00
TCGA-YD-A9TA-06	0.00E+00
TCGA-YD-A9TB-06	0.00E+00
TCGA-YG-AA3N-01	0.00E+00
TCGA-YG-AA3O-06	0.00E+00
TCGA-YG-AA3P-06	0.00E+00
TCGA-Z2-A8RT-06	0.00E+00
TCGA-Z2-AA3S-06	0.00E+00
TCGA-Z2-AA3V-06	0.00E+00
TCGA-3C-AAAU-01	0.00E+00
TCGA-3C-AALI-01	0.00E+00
TCGA-3C-AALJ-01	0.00E+00
TCGA-3C-AALK-01	0.00E+00
TCGA-4H-AAAK-01	0.00E+00
TCGA-5L-AAT0-01	0.00E+00
TCGA-5L-AAT1-01	0.00E+00
TCGA-5T-A9QA-01	0.00E+00
TCGA-A1-A0SB-01	0.00E+00
TCGA-A1-A0SD-01	0.00E+00
TCGA-A1-A0SE-01	0.00E+00
TCGA-A1-A0SF-01	0.00E+00
TCGA-A1-A0SG-01	0.00E+00
TCGA-A1-A0SH-01	0.00E+00
TCGA-A1-A0SI-01	0.00E+00
TCGA-A1-A0SJ-01	0.00E+00
TCGA-A1-A0SK-01	0.00E+00
TCGA-A1-A0SM-01	0.00E+00
TCGA-A1-A0SN-01	0.00E+00
TCGA-A1-A0SO-01	0.00E+00
TCGA-A1-A0SP-01	0.00E+00
TCGA-A2-A04N-01	0.00E+00
TCGA-A2-A04R-01	0.00E+00
TCGA-A2-A04U-01	0.00E+00
TCGA-A2-A04W-01	0.00E+00
TCGA-A2-A0CK-01	0.00E+00
TCGA-A2-A0CL-01	0.00E+00
TCGA-A2-A0CR-01	0.00E+00
TCGA-A2-A0CS-01	0.00E+00
TCGA-A2-A0CV-01	0.00E+00
TCGA-A2-A0CW-01	0.00E+00
TCGA-A2-A0D3-01	0.00E+00
TCGA-A2-A0EN-01	0.00E+00
TCGA-A2-A0EP-01	0.00E+00
TCGA-A2-A0ES-01	0.00E+00
TCGA-A2-A0EW-01	0.00E+00
TCGA-A2-A0ST-01	0.00E+00
TCGA-A2-A0SU-01	0.00E+00
TCGA-A2-A0SX-01	0.00E+00
TCGA-A2-A0SY-01	0.00E+00
TCGA-A2-A0T0-01	0.00E+00
TCGA-A2-A0T1-01	0.00E+00
TCGA-A2-A0T3-01	0.00E+00
TCGA-A2-A0T4-01	0.00E+00
TCGA-A2-A0T5-01	0.00E+00
TCGA-A2-A0T6-01	0.00E+00
TCGA-A2-A0T7-01	0.00E+00
TCGA-A2-A0YC-01	0.00E+00
TCGA-A2-A0YD-01	0.00E+00
TCGA-A2-A0YE-01	0.00E+00
TCGA-A2-A0YF-01	0.00E+00
TCGA-A2-A0YG-01	0.00E+00
TCGA-A2-A0YH-01	0.00E+00
TCGA-A2-A0YI-01	0.00E+00
TCGA-A2-A0YJ-01	0.00E+00
TCGA-A2-A0YK-01	0.00E+00
TCGA-A2-A0YL-01	0.00E+00
TCGA-A2-A0YM-01	0.00E+00
TCGA-A2-A0YT-01	0.00E+00
TCGA-A2-A1FV-01	0.00E+00
TCGA-A2-A1FW-01	0.00E+00
TCGA-A2-A1FX-01	0.00E+00
TCGA-A2-A1FZ-01	0.00E+00
