Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-BH-A0B6-01	611	533	14	0	132	0	0
TCGA-BH-A0B7-01	4	6	14	2	16	0	0
TCGA-BH-A0B8-01	5	0	1	5	12	1	10
TCGA-BH-A0BA-01	5	3	6	3	0	4	8
TCGA-BH-A0BC-01	10	3	14	0	1	0	17
TCGA-BH-A0BF-01	1	7	8	3	0	4	10
TCGA-BH-A0BG-01	5	4	6	21	0	4	5
TCGA-BH-A0BJ-01	0	0	1	0	5	1	10
TCGA-BH-A0BL-01	0	3	15	34	7	0	10
TCGA-BH-A0BM-01	3	0	1	4	2	1	8
TCGA-BH-A0BO-01	0	5	5	0	6	13	2
TCGA-BH-A0BP-01	19	31	36	26	65	2	17
TCGA-BH-A0BQ-01	4	0	12	4	0	0	10
TCGA-BH-A0BS-01	1	0	4	4	0	2	12
TCGA-BH-A0BT-01	6	0	16	6	13	7	0
TCGA-BH-A0BV-01	3	1	3	0	5	0	12
TCGA-BH-A0BW-01	10	7	10	24	0	19	33
TCGA-BH-A0BZ-01	10	32	17	150	24	31	32
TCGA-BH-A0C0-01	5	1	5	19	5	13	0
TCGA-BH-A0C1-01	9	0	18	1	0	8	14
TCGA-BH-A0C3-01	0	0	3	1	0	5	9
TCGA-BH-A0C7-01	1	3	15	0	0	3	36
TCGA-BH-A0DD-01	5	3	19	1	3	6	0
TCGA-BH-A0DE-01	2	0	2	2	12	0	15
TCGA-BH-A0DG-01	6	8	1	0	14	6	12
TCGA-BH-A0DH-01	13	3	19	0	0	5	12
TCGA-BH-A0DI-01	11	12	14	18	4	3	0
TCGA-BH-A0DK-01	2	3	9	15	17	7	0
TCGA-BH-A0DL-01	15	6	22	10	0	11	1
TCGA-BH-A0DO-01	4	3	9	7	0	3	4
TCGA-BH-A0DP-01	5	0	3	8	2	1	0
TCGA-BH-A0DQ-01	1	2	11	0	0	4	17
TCGA-BH-A0DT-01	3	0	6	2	0	0	4
TCGA-BH-A0DV-01	3	0	0	2	0	0	10
TCGA-BH-A0DX-01	32	16	12	0	0	0	17
TCGA-BH-A0DZ-01	83	101	1	0	32	0	0
TCGA-BH-A0E0-01	1	1	13	2	7	0	0
TCGA-BH-A0E1-01	2	4	9	0	0	0	4
TCGA-BH-A0E9-01	2	0	14	9	0	3	0
TCGA-BH-A0EA-01	3	1	6	0	0	2	20
TCGA-BH-A0EI-01	0	0	9	0	10	5	0
TCGA-BH-A0H3-01	1	0	2	0	0	0	14
TCGA-BH-A0H5-01	67	56	0	0	46	0	0
TCGA-BH-A0H7-01	1	4	5	0	1	4	2
TCGA-BH-A0H9-01	4	0	1	7	0	3	8
TCGA-BH-A0HA-01	25	18	132	0	0	197	10
TCGA-BH-A0HI-01	6	1	10	0	5	0	13
TCGA-BH-A0HK-01	26	8	13	2	14	0	0
TCGA-BH-A0HN-01	5	1	14	1	10	0	3
TCGA-BH-A0HP-01	147	146	0	0	64	0	0
TCGA-BH-A0RX-01	5	1	33	4	3	3	0
TCGA-BH-A0W3-01	2	2	5	8	0	1	5
TCGA-BH-A0W4-01	7	2	7	0	11	3	9
TCGA-BH-A0W5-01	0	1	10	4	2	5	7
TCGA-BH-A0W7-01	125	127	1	0	0	8	0
TCGA-BH-A0WA-01	12	6	5	49	24	14	3
TCGA-BH-A18F-01	18	0	15	0	29	1	4
TCGA-BH-A18G-01	11	10	505	69	0	1030	43
