Samples	SBS96A	SBS96B	SBS96C
TCGA-22-1000-01	42	41	39
TCGA-22-1002-01	214	69	14
TCGA-22-1005-01	240	61	45
TCGA-22-1011-01	17	7	109
TCGA-22-1012-01	196	98	54
TCGA-22-1016-01	328	67	54
TCGA-22-4591-01	106	147	16
TCGA-22-4593-01	89	104	38
TCGA-22-4594-01	327	91	21
TCGA-22-4595-01	222	74	106
TCGA-22-4596-01	81	82	11
TCGA-22-4599-01	281	144	24
TCGA-22-4601-01	114	67	53
TCGA-22-4604-01	123	150	33
TCGA-22-4605-01	56	45	12
TCGA-22-4607-01	15	25	44
TCGA-22-4609-01	165	67	19
TCGA-22-4613-01	561	166	55
TCGA-22-5471-01	152	95	51
TCGA-22-5472-01	502	0	4
TCGA-22-5473-01	446	147	416
TCGA-22-5474-01	25	26	58
TCGA-22-5477-01	37	29	156
TCGA-22-5478-01	127	96	1
TCGA-22-5479-01	202	182	259
TCGA-22-5480-01	112	66	24
TCGA-22-5481-01	219	114	37
TCGA-22-5482-01	121	64	25
TCGA-22-5483-01	173	87	40
TCGA-22-5485-01	159	88	8
TCGA-22-5489-01	187	68	52
TCGA-22-5491-01	124	57	238
TCGA-22-5492-01	177	93	20
TCGA-22-A5C4-01	247	157	33
TCGA-33-4532-01	237	151	109
TCGA-33-4533-01	210	85	79
TCGA-33-4538-01	80	110	36
TCGA-33-4547-01	25	26	198
TCGA-33-4566-01	1480	32	126
TCGA-33-4582-01	98	107	45
TCGA-33-4583-01	552	122	69
TCGA-33-4586-01	315	113	30
TCGA-33-4587-01	136	71	80
TCGA-33-4589-01	3	72	63
TCGA-33-6737-01	253	0	310
TCGA-33-6738-01	242	84	98
TCGA-33-A4WN-01	86	54	117
TCGA-33-A5GW-01	84	33	132
TCGA-33-AAS8-01	161	95	32
TCGA-33-AASB-01	374	32	51
TCGA-33-AASD-01	323	94	39
TCGA-33-AASI-01	306	63	131
TCGA-33-AASJ-01	48	50	130
TCGA-33-AASL-01	236	53	92
TCGA-34-2596-01	164	68	99
TCGA-34-2600-01	160	52	359
TCGA-34-2604-01	571	147	42
TCGA-34-2605-01	269	48	161
TCGA-34-2608-01	78	70	43
TCGA-34-2609-01	206	91	8
TCGA-34-5231-01	498	210	126
TCGA-34-5232-01	105	126	24
TCGA-34-5234-01	151	66	4
TCGA-34-5236-01	158	65	46
TCGA-34-5239-01	207	73	29
TCGA-34-5240-01	111	61	46
TCGA-34-5241-01	144	73	40
TCGA-34-5927-01	152	105	67
TCGA-34-5928-01	114	58	284
TCGA-34-5929-01	157	25	98
TCGA-34-7107-01	128	130	64
TCGA-34-8454-01	297	0	414
TCGA-34-8455-01	534	45	35
TCGA-34-8456-01	17	22	10
TCGA-34-A5IX-01	195	118	39
TCGA-37-3783-01	114	32	352
TCGA-37-3789-01	144	30	193
TCGA-37-3792-01	887	98	136
TCGA-37-4129-01	1	5	0
TCGA-37-4130-01	1201	168	50
TCGA-37-4132-01	271	79	35
TCGA-37-4133-01	138	188	37
TCGA-37-4135-01	245	113	32
TCGA-37-4141-01	277	102	26
TCGA-37-5819-01	701	162	63
TCGA-37-A5EL-01	328	113	90
TCGA-37-A5EM-01	260	112	60
TCGA-37-A5EN-01	146	117	36
TCGA-39-5011-01	671	16	106
TCGA-39-5016-01	253	187	41
TCGA-39-5019-01	117	86	23
TCGA-39-5021-01	117	51	29
TCGA-39-5022-01	47	0	206
