Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-BH-A5J0-01	55	47	0	0
TCGA-BH-A6R8-01	3	24	3	7
TCGA-BH-A6R9-01	0	11	14	0
TCGA-BH-A8FY-01	7	9	31	9
TCGA-BH-A8FZ-01	13	8	41	29
TCGA-BH-A8G0-01	0	11	0	6
TCGA-BH-AB28-01	4	20	1	18
TCGA-C8-A12K-01	59	0	88	26
TCGA-C8-A12L-01	4	18	56	11
TCGA-C8-A12M-01	0	41	23	18
TCGA-C8-A12N-01	2	8	6	11
TCGA-C8-A12O-01	0	39	7	3
TCGA-C8-A12P-01	114	44	29	15
TCGA-C8-A12Q-01	91	36	10	2
TCGA-C8-A12T-01	168	13	18	15
TCGA-C8-A12U-01	5	28	19	9
TCGA-C8-A12V-01	5	2	27	18
TCGA-C8-A12W-01	0	53	8	16
TCGA-C8-A12X-01	0	37	13	15
TCGA-C8-A12Y-01	1	16	0	29
TCGA-C8-A12Z-01	20	25	8	8
TCGA-C8-A130-01	3	37	0	14
TCGA-C8-A131-01	6	33	28	7
TCGA-C8-A132-01	32	8	30	14
TCGA-C8-A133-01	5	7	20	1
TCGA-C8-A134-01	5	5	89	18
TCGA-C8-A135-01	4	35	10	28
TCGA-C8-A137-01	28	30	4	0
TCGA-C8-A138-01	0	22	24	6
TCGA-C8-A1HE-01	31	20	3	0
TCGA-C8-A1HF-01	14	12	7	6
TCGA-C8-A1HG-01	3	38	12	16
TCGA-C8-A1HI-01	13	25	18	16
TCGA-C8-A1HJ-01	12	0	81	31
TCGA-C8-A1HK-01	27	8	22	16
TCGA-C8-A1HL-01	0	10	15	12
TCGA-C8-A1HM-01	333	0	77	38
TCGA-C8-A1HN-01	1	33	25	11
TCGA-C8-A1HO-01	12	17	16	4
TCGA-C8-A26V-01	52	12	16	16
TCGA-C8-A26W-01	32	27	8	2
TCGA-C8-A26X-01	2	35	31	7
TCGA-C8-A26Y-01	738	32	123	23
TCGA-C8-A26Z-01	0	29	16	4
TCGA-C8-A273-01	0	11	9	4
TCGA-C8-A274-01	222	32	4	23
TCGA-C8-A275-01	98	20	17	7
TCGA-C8-A278-01	13	22	13	5
TCGA-C8-A27A-01	7	18	15	0
TCGA-C8-A27B-01	69	0	77	16
TCGA-C8-A3M7-01	138	83	0	0
TCGA-C8-A3M8-01	12	12	16	22
TCGA-C8-A8HP-01	224	49	0	0
TCGA-C8-A8HQ-01	299	73	0	0
TCGA-C8-A8HR-01	3	19	22	16
TCGA-C8-A9FZ-01	2	13	3	11
TCGA-D8-A13Y-01	22	21	25	14
TCGA-D8-A13Z-01	11	27	54	11
TCGA-D8-A140-01	25	59	28	22
TCGA-D8-A141-01	0	12	9	0
TCGA-D8-A142-01	6	65	72	23
TCGA-D8-A143-01	0	20	33	8
TCGA-D8-A145-01	1	16	13	17
TCGA-D8-A146-01	4	26	0	11
TCGA-D8-A147-01	63	0	114	23
TCGA-D8-A1J8-01	560	135	39	227
TCGA-D8-A1J9-01	230	33	15	0
TCGA-D8-A1JB-01	6	11	39	7
TCGA-D8-A1JC-01	71	38	13	0
TCGA-D8-A1JD-01	24	6	68	24
TCGA-D8-A1JE-01	1	11	14	14
TCGA-D8-A1JF-01	4	14	10	21
TCGA-D8-A1JG-01	10	76	81	2
TCGA-D8-A1JH-01	2	7	8	7
TCGA-D8-A1JI-01	1	15	17	9
TCGA-D8-A1JJ-01	50	38	2	8
TCGA-D8-A1JK-01	30	22	147	50
