Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-BH-A0DT-01	4	0	3	7	1
TCGA-BH-A0DV-01	5	0	8	0	2
TCGA-BH-A0DX-01	40	21	0	16	0
TCGA-BH-A0DZ-01	95	122	0	0	0
TCGA-BH-A0E0-01	1	2	3	18	0
TCGA-BH-A0E1-01	2	5	0	12	0
TCGA-BH-A0E9-01	2	0	6	16	4
TCGA-BH-A0EA-01	6	2	6	11	7
TCGA-BH-A0EI-01	2	0	4	12	6
TCGA-BH-A0H3-01	2	0	7	8	0
TCGA-BH-A0H5-01	93	74	0	2	0
TCGA-BH-A0H7-01	1	5	0	5	6
TCGA-BH-A0H9-01	6	0	11	2	4
TCGA-BH-A0HA-01	24	20	0	122	216
TCGA-BH-A0HI-01	9	2	7	16	1
TCGA-BH-A0HK-01	36	11	0	15	1
TCGA-BH-A0HN-01	8	1	5	20	0
TCGA-BH-A0HP-01	180	177	0	0	0
TCGA-BH-A0RX-01	5	2	0	40	2
TCGA-BH-A0W3-01	2	2	12	6	1
TCGA-BH-A0W4-01	12	4	8	12	3
TCGA-BH-A0W5-01	0	1	8	14	6
TCGA-BH-A0W7-01	124	137	0	0	0
TCGA-BH-A0WA-01	21	6	63	7	16
TCGA-BH-A18F-01	31	2	10	23	1
TCGA-BH-A18G-01	0	11	8	455	1194
TCGA-BH-A18H-01	13	5	13	6	17
TCGA-BH-A18I-01	6	2	0	23	0
TCGA-BH-A18J-01	60	38	0	0	13
TCGA-BH-A18K-01	20	16	18	8	6
TCGA-BH-A18L-01	0	4	17	33	11
TCGA-BH-A18M-01	3	4	0	10	1
TCGA-BH-A18N-01	0	1	6	20	16
TCGA-BH-A18P-01	237	189	0	12	0
TCGA-BH-A18Q-01	3	8	78	8	10
TCGA-BH-A18R-01	8	2	24	3	5
TCGA-BH-A18S-01	0	4	17	4	12
TCGA-BH-A18T-01	5	14	58	10	15
TCGA-BH-A18U-01	70	39	18	30	21
TCGA-BH-A18V-01	27	82	125	0	16
TCGA-BH-A1EO-01	8	0	5	37	0
TCGA-BH-A1ET-01	1	0	13	11	8
TCGA-BH-A1EU-01	4	1	9	10	10
TCGA-BH-A1EV-01	42	43	8	30	6
TCGA-BH-A1EW-01	8	0	6	4	3
TCGA-BH-A1EX-01	3	0	10	16	6
TCGA-BH-A1EY-01	6	14	9	17	9
TCGA-BH-A1F0-01	2	22	48	21	2
TCGA-BH-A1F2-01	13	9	13	30	6
TCGA-BH-A1F5-01	9	0	15	20	0
TCGA-BH-A1F6-01	4	5	15	19	10
TCGA-BH-A1F8-01	109	64	0	15	4
TCGA-BH-A1FC-01	19	26	36	29	20
TCGA-BH-A1FE-01	8	1	11	5	1
TCGA-BH-A1FG-01	1	1	4	9	6
TCGA-BH-A1FH-01	6	1	8	17	1
TCGA-BH-A1FJ-01	6	0	14	25	0
TCGA-BH-A1FL-01	5	0	4	12	5
TCGA-BH-A1FM-01	17	11	6	28	0
TCGA-BH-A1FN-01	34	56	44	3	9
TCGA-BH-A1FR-01	0	1	6	7	3
TCGA-BH-A1FU-01	9	18	44	15	32
TCGA-BH-A201-01	6	0	7	2	12
TCGA-BH-A202-01	3	0	12	9	4
TCGA-BH-A203-01	17	16	4	53	9
TCGA-BH-A204-01	4	5	21	16	6
TCGA-BH-A208-01	22	27	12	21	0
TCGA-BH-A209-01	40	72	0	7	0
TCGA-BH-A28Q-01	1	2	3	16	4
TCGA-BH-A2L8-01	322	306	0	0	0
TCGA-BH-A42U-01	20	5	1	6	0
TCGA-BH-A42V-01	29	19	0	7	0
TCGA-BH-A5IZ-01	10	7	50	19	10
TCGA-BH-A5J0-01	60	17	0	17	8
TCGA-BH-A6R8-01	6	3	4	19	5
TCGA-BH-A6R9-01	1	0	15	9	0
TCGA-BH-A8FY-01	6	5	29	8	8
TCGA-BH-A8FZ-01	10	7	39	11	24
TCGA-BH-A8G0-01	2	0	0	10	5
TCGA-BH-AB28-01	8	0	2	19	14
TCGA-C8-A12K-01	8	58	78	10	19
TCGA-C8-A12L-01	3	5	56	19	6
TCGA-C8-A12M-01	3	2	26	39	12
TCGA-C8-A12N-01	0	4	5	12	6
TCGA-C8-A12O-01	5	1	8	35	0
TCGA-C8-A12P-01	71	72	14	30	15
TCGA-C8-A12Q-01	62	50	1	14	12
TCGA-C8-A12T-01	83	113	0	13	5
TCGA-C8-A12U-01	3	7	19	31	1
TCGA-C8-A12V-01	2	4	25	5	16
TCGA-C8-A12W-01	0	5	10	59	3
TCGA-C8-A12X-01	1	3	16	37	8
TCGA-C8-A12Y-01	1	2	0	22	21
TCGA-C8-A12Z-01	14	14	6	22	5
TCGA-C8-A130-01	4	6	0	37	7
TCGA-C8-A131-01	17	0	27	19	11
TCGA-C8-A132-01	8	29	25	16	6
TCGA-C8-A133-01	9	0	17	1	6
TCGA-C8-A134-01	0	8	84	11	14
TCGA-C8-A135-01	2	8	9	42	16
TCGA-C8-A137-01	20	20	2	20	0
TCGA-C8-A138-01	2	0	25	22	3
TCGA-C8-A1HE-01	28	12	2	9	3
TCGA-C8-A1HF-01	11	7	6	9	6
TCGA-C8-A1HG-01	7	4	13	35	10
TCGA-C8-A1HI-01	10	11	16	26	9
TCGA-C8-A1HJ-01	0	14	76	9	25
TCGA-C8-A1HK-01	4	29	15	17	8
TCGA-C8-A1HL-01	1	0	16	12	8
TCGA-C8-A1HM-01	118	270	24	30	6
TCGA-C8-A1HN-01	6	2	25	30	7
TCGA-C8-A1HO-01	13	5	15	11	5
TCGA-C8-A26V-01	21	41	7	18	9
TCGA-C8-A26W-01	26	17	6	13	7
TCGA-C8-A26X-01	5	3	31	33	3
TCGA-C8-A26Y-01	418	455	18	0	25
TCGA-C8-A26Z-01	3	0	19	27	0
TCGA-C8-A273-01	0	1	10	12	1
TCGA-C8-A274-01	144	109	0	3	25
TCGA-C8-A275-01	43	74	4	19	2
TCGA-C8-A278-01	10	9	11	20	3
TCGA-C8-A27A-01	10	4	13	13	0
TCGA-C8-A27B-01	0	77	63	8	14
TCGA-C8-A3M7-01	141	49	0	27	4
TCGA-C8-A3M8-01	4	11	15	17	15
TCGA-C8-A8HP-01	126	128	0	19	0
TCGA-C8-A8HQ-01	182	162	0	28	0
TCGA-C8-A8HR-01	3	3	23	18	13
TCGA-C8-A9FZ-01	0	4	3	16	6
TCGA-D8-A13Y-01	18	12	23	14	15
TCGA-D8-A13Z-01	0	17	51	34	1
TCGA-D8-A140-01	41	4	28	36	25
TCGA-D8-A141-01	0	0	9	12	0
TCGA-D8-A142-01	0	17	73	69	7
TCGA-D8-A143-01	2	2	33	21	3
TCGA-D8-A145-01	0	4	12	20	11
TCGA-D8-A146-01	11	0	1	17	12
TCGA-D8-A147-01	17	54	103	9	17
TCGA-D8-A1J8-01	330	332	0	103	196
TCGA-D8-A1J9-01	137	134	0	7	0
TCGA-D8-A1JB-01	6	4	36	9	8
TCGA-D8-A1JC-01	47	44	7	22	2
TCGA-D8-A1JD-01	12	17	64	10	19
TCGA-D8-A1JE-01	2	2	14	13	9
TCGA-D8-A1JF-01	4	3	9	17	16
TCGA-D8-A1JG-01	20	11	74	60	4
TCGA-D8-A1JH-01	3	0	8	6	7
TCGA-D8-A1JI-01	6	0	16	9	11
TCGA-D8-A1JJ-01	44	23	0	20	11
TCGA-D8-A1JK-01	35	11	135	11	57
TCGA-D8-A1JL-01	4	12	75	10	26
TCGA-D8-A1JM-01	3	2	25	23	0
TCGA-D8-A1JN-01	125	61	0	22	0
TCGA-D8-A1JP-01	7	12	94	0	22
TCGA-D8-A1JS-01	5	0	9	10	5
TCGA-D8-A1JT-01	0	0	19	20	2
TCGA-D8-A1JU-01	2	0	4	8	6
TCGA-D8-A1X5-01	4	6	19	24	13
TCGA-D8-A1X6-01	3	0	11	23	5
TCGA-D8-A1X7-01	5	1	13	12	1
TCGA-D8-A1X9-01	0	10	63	4	25
TCGA-D8-A1XA-01	3	0	8	11	6
TCGA-D8-A1XB-01	11	3	3	22	11
TCGA-D8-A1XC-01	3	0	8	17	6
TCGA-D8-A1XF-01	5	3	9	31	3
TCGA-D8-A1XG-01	3	0	9	1	14
TCGA-D8-A1XK-01	3	13	97	0	1187
TCGA-D8-A1XL-01	7	6	63	12	22
TCGA-D8-A1XM-01	30	8	2	24	0
TCGA-D8-A1XO-01	7	6	6	7	3
TCGA-D8-A1XQ-01	24	34	196	196	581
TCGA-D8-A1XR-01	5	0	0	9	18
TCGA-D8-A1XS-01	9	1	3	13	0
TCGA-D8-A1XT-01	6	3	14	20	2
TCGA-D8-A1XU-01	15	4	7	6	3
TCGA-D8-A1XV-01	0	5	9	20	2
TCGA-D8-A1XW-01	9	12	67	16	18
TCGA-D8-A1XY-01	10	2	6	35	6
TCGA-D8-A1XZ-01	0	13	18	60	5
TCGA-D8-A1Y0-01	5	13	40	12	11
TCGA-D8-A1Y1-01	14	5	0	179	35
TCGA-D8-A1Y2-01	9	4	0	8	1
TCGA-D8-A1Y3-01	1	1	15	47	3
TCGA-D8-A27E-01	2	0	6	3	0
TCGA-D8-A27F-01	0	13	43	5	9
TCGA-D8-A27G-01	608	568	0	0	0
TCGA-D8-A27H-01	5	56	76	10	13
TCGA-D8-A27I-01	6	5	8	12	5
TCGA-D8-A27K-01	0	2	5	12	2
TCGA-D8-A27L-01	28	8	1	16	0
TCGA-D8-A27M-01	2	14	54	15	5
TCGA-D8-A27N-01	4	2	14	33	7
TCGA-D8-A27P-01	3	0	6	11	10
TCGA-D8-A27R-01	3	4	17	9	2
TCGA-D8-A27T-01	7	0	0	18	6
TCGA-D8-A27V-01	95	116	4	20	0
TCGA-D8-A27W-01	1	4	1	43	6
TCGA-D8-A3Z6-01	7	2	5	13	10
TCGA-D8-A4Z1-01	33	9	0	4	0
TCGA-D8-A73U-01	143	51	0	2	11
TCGA-D8-A73W-01	2	3	7	28	12
TCGA-D8-A73X-01	11	0	3	25	13
TCGA-E2-A105-01	10	3	19	23	12
TCGA-E2-A107-01	12	0	3	14	7
TCGA-E2-A108-01	63	92	14	0	17
TCGA-E2-A109-01	5	0	39	26	14
TCGA-E2-A10A-01	9	3	7	3	6
TCGA-E2-A10B-01	25	17	6	10	15
TCGA-E2-A10C-01	299	220	0	0	0
TCGA-E2-A10F-01	6	2	0	19	3
TCGA-E2-A14N-01	9	18	62	15	5
TCGA-E2-A14O-01	4	0	6	26	0
TCGA-E2-A14P-01	33	12	16	39	12
TCGA-E2-A14Q-01	6	2	9	20	3
TCGA-E2-A14R-01	0	20	84	15	24
TCGA-E2-A14T-01	5	7	3	18	10
TCGA-E2-A14V-01	28	48	16	43	6
TCGA-E2-A14W-01	2	14	66	13	7
TCGA-E2-A14X-01	7	2	0	26	2
TCGA-E2-A14Y-01	17	19	1	7	6
TCGA-E2-A14Z-01	36	10	32	17	0
TCGA-E2-A150-01	5	5	37	27	17
TCGA-E2-A152-01	75	77	2	17	0
TCGA-E2-A153-01	9	1	0	15	1
TCGA-E2-A154-01	2	2	22	32	0
TCGA-E2-A155-01	17	6	22	25	11
TCGA-E2-A156-01	7	2	6	6	4
TCGA-E2-A158-01	0	7	64	15	11
TCGA-E2-A159-01	71	102	9	13	6
TCGA-E2-A15A-01	4	3	30	18	7
TCGA-E2-A15C-01	2	1	11	28	8
TCGA-E2-A15D-01	0	2	3	17	12
TCGA-E2-A15E-01	0	7	9	13	11
TCGA-E2-A15F-01	0	2	8	16	2
TCGA-E2-A15G-01	15	0	26	25	7
TCGA-E2-A15H-01	0	1	7	19	6
TCGA-E2-A15I-01	8	0	11	24	0
TCGA-E2-A15J-01	1	0	8	8	5
TCGA-E2-A15K-01	2	3	18	24	6
