Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-AR-A1AI-01	2	14	18	0	43	8	4
TCGA-AR-A1AJ-01	19	9	15	0	0	4	6
TCGA-AR-A1AK-01	18	20	15	0	15	0	14
TCGA-AR-A1AL-01	5	3	6	3	4	9	0
TCGA-AR-A1AN-01	1	4	16	0	0	2	8
TCGA-AR-A1AO-01	13	16	15	52	21	5	0
TCGA-AR-A1AP-01	4	5	20	0	20	2	0
TCGA-AR-A1AQ-01	2	2	11	17	1	8	0
TCGA-AR-A1AR-01	3	8	16	25	1	3	7
TCGA-AR-A1AS-01	14	2	7	8	0	7	3
TCGA-AR-A1AT-01	1	1	9	18	0	3	0
TCGA-AR-A1AU-01	0	1	10	2	9	4	0
TCGA-AR-A1AV-01	3	1	20	0	19	5	1
TCGA-AR-A1AW-01	2	1	11	12	4	11	0
TCGA-AR-A1AX-01	1	0	6	0	18	0	7
TCGA-AR-A1AY-01	8	5	17	8	13	9	12
TCGA-AR-A24H-01	7	22	12	73	11	6	21
TCGA-AR-A24K-01	0	0	6	11	0	4	13
TCGA-AR-A24L-01	1	6	4	32	4	5	1
TCGA-AR-A24M-01	1	0	5	5	0	11	3
TCGA-AR-A24N-01	6	0	20	10	4	7	0
TCGA-AR-A24O-01	0	2	5	0	0	2	13
TCGA-AR-A24P-01	0	0	6	0	7	1	5
TCGA-AR-A24Q-01	19	20	5	114	48	26	0
TCGA-AR-A24R-01	1	0	12	6	0	7	0
TCGA-AR-A24S-01	8	5	17	7	6	11	3
TCGA-AR-A24T-01	1	1	11	0	5	0	6
TCGA-AR-A24U-01	10	9	12	0	13	0	0
TCGA-AR-A24V-01	2	3	12	0	7	4	0
TCGA-AR-A24W-01	0	0	1	0	10	0	3
TCGA-AR-A24X-01	1	0	6	0	4	3	20
TCGA-AR-A24Z-01	4	3	12	11	0	1	25
TCGA-AR-A250-01	17	47	38	0	34	3	16
TCGA-AR-A251-01	6	34	10	116	10	17	12
TCGA-AR-A252-01	0	0	9	0	5	5	0
TCGA-AR-A254-01	4	1	15	0	14	0	8
TCGA-AR-A255-01	14	19	10	4	19	8	15
TCGA-AR-A256-01	16	16	10	116	36	17	13
TCGA-AR-A2LE-01	183	110	2	0	99	0	0
TCGA-AR-A2LH-01	24	13	5	0	29	0	0
TCGA-AR-A2LK-01	5	0	21	5	7	7	3
TCGA-AR-A2LL-01	0	0	13	0	0	0	24
TCGA-AR-A2LM-01	1	0	0	0	0	0	16
TCGA-AR-A2LN-01	15	2	7	0	28	2	0
TCGA-AR-A2LO-01	2	2	5	6	2	0	0
TCGA-AR-A2LQ-01	0	0	4	1	0	1	7
TCGA-AR-A2LR-01	2	2	13	13	6	3	31
TCGA-AR-A5QM-01	0	0	10	1	5	2	18
TCGA-AR-A5QN-01	6	0	22	0	12	9	0
TCGA-AR-A5QP-01	4	0	9	0	3	6	12
TCGA-AR-A5QQ-01	6	8	12	47	2	21	0
TCGA-B6-A0I1-01	6	1	14	0	0	0	59
TCGA-B6-A0IH-01	2	0	17	0	13	9	0
TCGA-B6-A0RH-01	11	7	6	0	0	0	21
TCGA-B6-A0RL-01	16	5	25	16	0	7	0
TCGA-B6-A0RM-01	7	0	13	2	0	5	9
TCGA-B6-A0RN-01	2	0	15	4	0	7	5
TCGA-B6-A0RO-01	4	1	3	8	2	7	18
TCGA-B6-A0RP-01	0	0	7	3	13	3	4
TCGA-B6-A0RQ-01	14	3	8	0	21	7	3
TCGA-B6-A0RT-01	1	19	8	32	9	3	0
TCGA-B6-A0RU-01	6	1	12	10	17	12	0
TCGA-B6-A0RV-01	30	24	8	0	0	0	5
TCGA-B6-A0WS-01	2	2	1	0	0	9	4
TCGA-B6-A0WT-01	1	0	7	0	9	5	0
TCGA-B6-A0WV-01	1	4	3	2	1	5	21
TCGA-B6-A0WW-01	9	4	12	12	4	5	1
TCGA-B6-A0WX-01	0	2	12	8	0	7	16
TCGA-B6-A0WY-01	6	3	9	7	0	9	1
TCGA-B6-A0WZ-01	55	22	4	9	3	2	0
TCGA-B6-A0X0-01	2	0	3	0	4	0	16
TCGA-B6-A0X1-01	5	14	4	23	25	15	6
TCGA-B6-A0X4-01	0	0	6	0	16	0	0
TCGA-B6-A0X5-01	5	1	3	0	25	9	5
TCGA-B6-A0X7-01	4	1	7	0	0	0	11
TCGA-B6-A1KN-01	0	3	10	9	28	12	10
TCGA-B6-A2IU-01	16	0	17	0	13	8	0
TCGA-B6-A401-01	0	1	10	2	3	2	10
TCGA-B6-A409-01	3	3	17	7	10	3	13
TCGA-B6-A40B-01	13	4	11	11	19	8	0
TCGA-B6-A40C-01	4	2	22	0	0	1	25
TCGA-BH-A0AU-01	1	2	7	2	1	2	8
TCGA-BH-A0AV-01	4	11	1	33	13	13	12
TCGA-BH-A0AY-01	6	1	9	0	7	0	23
TCGA-BH-A0AZ-01	12	9	0	28	8	8	5
TCGA-BH-A0B0-01	58	23	11	0	7	0	0
TCGA-BH-A0B3-01	2	1	7	8	0	0	0
TCGA-BH-A0B6-01	596	514	17	0	163	0	0
TCGA-BH-A0B7-01	4	7	15	7	9	0	0
TCGA-BH-A0B8-01	5	0	1	4	10	1	13
TCGA-BH-A0BA-01	6	3	5	4	0	5	6
TCGA-BH-A0BC-01	10	3	12	0	0	0	20
TCGA-BH-A0BF-01	1	7	8	3	0	4	10
TCGA-BH-A0BG-01	5	4	7	25	0	4	0
TCGA-BH-A0BJ-01	0	0	0	0	2	1	14
TCGA-BH-A0BL-01	0	3	14	35	1	0	16
TCGA-BH-A0BM-01	3	0	2	5	7	1	1
TCGA-BH-A0BO-01	0	4	5	0	6	13	3
TCGA-BH-A0BP-01	20	32	38	30	56	2	18
TCGA-BH-A0BQ-01	4	0	10	4	0	1	11
TCGA-BH-A0BS-01	1	0	4	8	0	3	7
TCGA-BH-A0BT-01	5	1	16	7	12	7	0
TCGA-BH-A0BV-01	3	1	4	0	8	0	8
TCGA-BH-A0BW-01	10	7	9	30	0	20	27
TCGA-BH-A0BZ-01	11	33	18	153	25	31	25
TCGA-BH-A0C0-01	4	1	5	16	9	13	0
TCGA-BH-A0C1-01	9	0	18	4	0	9	10
TCGA-BH-A0C3-01	0	0	2	0	0	4	12
TCGA-BH-A0C7-01	1	3	12	0	0	3	39
TCGA-BH-A0DD-01	5	3	19	3	1	6	0
TCGA-BH-A0DE-01	2	0	2	4	8	0	17
TCGA-BH-A0DG-01	6	8	0	0	10	5	18
TCGA-BH-A0DH-01	14	3	19	1	0	6	9
TCGA-BH-A0DI-01	11	12	14	12	10	3	0
TCGA-BH-A0DK-01	2	4	9	12	16	6	4
TCGA-BH-A0DL-01	14	6	23	11	0	11	0
TCGA-BH-A0DO-01	4	3	8	10	0	3	2
TCGA-BH-A0DP-01	5	0	3	10	0	1	0
TCGA-BH-A0DQ-01	1	2	11	1	0	5	15
TCGA-BH-A0DT-01	3	0	6	3	0	0	3
TCGA-BH-A0DV-01	4	0	0	5	0	1	5
TCGA-BH-A0DX-01	31	15	9	0	0	0	22
TCGA-BH-A0DZ-01	84	101	3	0	29	0	0
TCGA-BH-A0E0-01	1	1	14	4	4	0	0
TCGA-BH-A0E1-01	2	4	6	0	0	0	7
TCGA-BH-A0E9-01	2	0	13	8	2	3	0
TCGA-BH-A0EA-01	4	1	5	0	0	3	19
TCGA-BH-A0EI-01	1	0	10	2	6	5	0
TCGA-BH-A0H3-01	1	0	2	0	0	0	14
TCGA-BH-A0H5-01	68	57	0	0	44	0	0
TCGA-BH-A0H7-01	1	3	4	0	0	4	5
TCGA-BH-A0H9-01	4	0	1	8	0	4	6
TCGA-BH-A0HA-01	24	17	129	0	0	194	18
TCGA-BH-A0HI-01	6	2	9	0	3	1	14
TCGA-BH-A0HK-01	27	8	14	2	12	0	0
TCGA-BH-A0HN-01	5	1	15	2	4	0	7
TCGA-BH-A0HP-01	148	145	2	0	62	0	0
TCGA-BH-A0RX-01	5	2	32	3	0	3	4
TCGA-BH-A0W3-01	2	2	5	10	0	1	3
TCGA-BH-A0W4-01	7	2	6	0	10	3	11
TCGA-BH-A0W5-01	0	1	12	7	1	5	3
TCGA-BH-A0W7-01	124	124	2	0	0	8	3
