Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-BH-A1F5-01	7	0	15	6	0	16
TCGA-BH-A1F6-01	4	4	17	20	8	0
TCGA-BH-A1F8-01	95	58	16	20	3	0
TCGA-BH-A1FC-01	18	25	26	27	17	17
TCGA-BH-A1FE-01	6	1	4	5	1	9
TCGA-BH-A1FG-01	1	1	8	2	5	4
TCGA-BH-A1FH-01	4	1	12	0	0	16
TCGA-BH-A1FJ-01	3	0	17	0	0	25
TCGA-BH-A1FL-01	4	0	10	2	4	6
TCGA-BH-A1FM-01	15	10	25	10	0	2
TCGA-BH-A1FN-01	35	51	4	47	9	0
TCGA-BH-A1FR-01	1	1	6	6	3	0
TCGA-BH-A1FU-01	7	18	11	22	29	31
TCGA-BH-A201-01	5	0	3	9	10	0
TCGA-BH-A202-01	3	0	9	12	4	0
TCGA-BH-A203-01	17	14	45	6	8	9
TCGA-BH-A204-01	3	5	12	4	5	23
TCGA-BH-A208-01	20	25	15	6	0	16
TCGA-BH-A209-01	40	66	5	0	0	8
TCGA-BH-A28Q-01	2	2	14	5	3	0
TCGA-BH-A2L8-01	325	303	0	0	0	0
TCGA-BH-A42U-01	14	4	3	0	0	11
TCGA-BH-A42V-01	29	19	7	0	0	0
TCGA-BH-A5IZ-01	7	7	13	25	7	37
TCGA-BH-A5J0-01	54	16	17	0	9	6
TCGA-BH-A6R8-01	5	3	15	0	3	11
TCGA-BH-A6R9-01	1	0	7	17	0	0
TCGA-BH-A8FY-01	4	5	5	16	6	20
TCGA-BH-A8FZ-01	10	6	13	41	21	0
TCGA-BH-A8G0-01	2	0	8	2	5	0
TCGA-BH-AB28-01	8	0	17	6	12	0
TCGA-C8-A12K-01	12	54	10	74	16	7
TCGA-C8-A12L-01	2	5	14	39	5	24
TCGA-C8-A12M-01	3	2	30	11	11	25
TCGA-C8-A12N-01	0	4	11	7	5	0
TCGA-C8-A12O-01	4	1	28	2	0	14
TCGA-C8-A12P-01	64	66	28	28	14	2
TCGA-C8-A12Q-01	53	44	9	0	11	22
TCGA-C8-A12T-01	81	106	12	0	4	11
TCGA-C8-A12U-01	4	7	27	21	1	1
TCGA-C8-A12V-01	1	4	3	11	13	20
TCGA-C8-A12W-01	2	5	49	9	2	10
TCGA-C8-A12X-01	2	3	30	10	7	13
TCGA-C8-A12Y-01	2	2	22	0	20	0
TCGA-C8-A12Z-01	13	13	18	2	4	11
TCGA-C8-A130-01	4	5	33	0	7	5
TCGA-C8-A131-01	13	0	14	13	10	24
TCGA-C8-A132-01	8	29	10	6	4	27
TCGA-C8-A133-01	6	0	0	3	4	20
TCGA-C8-A134-01	0	8	8	75	12	14
TCGA-C8-A135-01	3	8	38	7	14	7
TCGA-C8-A137-01	14	15	12	0	0	21
TCGA-C8-A138-01	0	1	14	1	3	33
TCGA-C8-A1HE-01	25	11	8	7	3	0
TCGA-C8-A1HF-01	10	7	8	6	5	3
TCGA-C8-A1HG-01	7	4	31	17	10	0
TCGA-C8-A1HI-01	7	10	19	0	5	31
TCGA-C8-A1HJ-01	0	14	11	78	21	0
TCGA-C8-A1HK-01	6	28	14	11	7	7
TCGA-C8-A1HL-01	0	0	10	8	7	12
TCGA-C8-A1HM-01	121	249	21	10	5	42
TCGA-C8-A1HN-01	4	2	23	10	6	25
TCGA-C8-A1HO-01	11	5	8	9	4	12
TCGA-C8-A26V-01	22	38	16	11	9	0
TCGA-C8-A26W-01	24	15	9	1	6	14
TCGA-C8-A26X-01	6	3	27	34	4	1
TCGA-C8-A26Y-01	387	418	0	37	29	45
TCGA-C8-A26Z-01	3	0	24	22	0	0
TCGA-C8-A273-01	0	1	9	5	1	8
TCGA-C8-A274-01	138	104	10	6	23	0
TCGA-C8-A275-01	41	66	13	0	2	20
TCGA-C8-A278-01	9	8	15	5	2	14
TCGA-C8-A27A-01	8	4	10	12	0	6
TCGA-C8-A27B-01	5	74	8	63	12	0
TCGA-C8-A3M7-01	129	47	29	10	6	0
TCGA-C8-A3M8-01	4	11	15	10	13	9
TCGA-C8-A8HP-01	125	124	21	0	3	0
TCGA-C8-A8HQ-01	182	159	31	0	0	0
TCGA-C8-A8HR-01	4	3	17	24	12	0
TCGA-C8-A9FZ-01	1	4	15	5	4	0
TCGA-D8-A13Y-01	15	11	10	9	13	24
TCGA-D8-A13Z-01	2	16	29	56	0	0
TCGA-D8-A140-01	31	5	27	0	20	51
TCGA-D8-A141-01	0	0	8	3	0	10
TCGA-D8-A142-01	0	17	52	38	5	54
TCGA-D8-A143-01	2	2	18	32	2	5
TCGA-D8-A145-01	0	4	19	14	10	0
TCGA-D8-A146-01	9	0	13	0	11	8
TCGA-D8-A147-01	18	50	5	84	15	28
TCGA-D8-A1J8-01	313	312	115	31	183	7
TCGA-D8-A1J9-01	130	126	8	12	2	0
TCGA-D8-A1JB-01	5	4	5	22	7	20
TCGA-D8-A1JC-01	41	39	16	0	1	25
TCGA-D8-A1JD-01	11	17	9	54	16	15
TCGA-D8-A1JE-01	1	2	11	3	7	16
TCGA-D8-A1JF-01	4	3	16	7	13	6
TCGA-D8-A1JG-01	13	11	40	30	1	74
TCGA-D8-A1JH-01	2	0	4	0	6	12
TCGA-D8-A1JI-01	3	0	3	0	8	28
TCGA-D8-A1JJ-01	39	21	19	8	11	0
TCGA-D8-A1JK-01	23	13	1	63	50	99
TCGA-D8-A1JL-01	2	13	4	35	23	50
TCGA-D8-A1JM-01	2	3	14	3	0	31
TCGA-D8-A1JN-01	115	59	22	4	0	8
TCGA-D8-A1JP-01	4	13	0	59	18	41
TCGA-D8-A1JS-01	3	0	6	0	4	16
TCGA-D8-A1JT-01	0	0	14	3	1	23
TCGA-D8-A1JU-01	2	0	6	3	6	3
TCGA-D8-A1X5-01	3	6	18	4	11	24
TCGA-D8-A1X6-01	3	0	20	15	4	0
TCGA-D8-A1X7-01	3	2	6	0	0	21
TCGA-D8-A1X9-01	0	10	0	23	20	49
TCGA-D8-A1XA-01	2	0	10	3	5	8
TCGA-D8-A1XB-01	10	2	21	4	10	3
TCGA-D8-A1XC-01	3	0	15	11	5	0
TCGA-D8-A1XF-01	5	3	26	12	2	3
TCGA-D8-A1XG-01	2	0	1	4	13	7
TCGA-D8-A1XK-01	3	14	0	0	1166	117
TCGA-D8-A1XL-01	6	7	10	49	20	18
TCGA-D8-A1XM-01	22	7	17	0	0	18
TCGA-D8-A1XO-01	6	6	7	4	2	4
TCGA-D8-A1XQ-01	21	34	206	141	533	96
TCGA-D8-A1XR-01	4	0	10	2	16	0
TCGA-D8-A1XS-01	7	1	10	0	0	8
TCGA-D8-A1XT-01	5	2	18	17	3	0
TCGA-D8-A1XU-01	13	3	6	10	3	0
TCGA-D8-A1XV-01	0	5	16	0	1	14
TCGA-D8-A1XW-01	8	12	13	57	15	17
TCGA-D8-A1XY-01	9	1	32	7	5	5
TCGA-D8-A1XZ-01	0	13	51	18	3	11
TCGA-D8-A1Y0-01	4	12	6	17	10	32
TCGA-D8-A1Y1-01	19	4	179	0	31	0
TCGA-D8-A1Y2-01	8	4	9	0	1	0
TCGA-D8-A1Y3-01	3	1	41	19	3	0
TCGA-D8-A27E-01	2	0	2	7	0	0
