Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
TCGA-EB-A5SG-06	135	95	0	0	50	28	0	0	0	4	47	0	7	2	1
TCGA-EB-A5SH-06	15	1	2	38	3	0	8	6	7	9	11	16	0	2	4
TCGA-EB-A5UL-06	174	182	0	19	58	75	4	5	0	0	0	13	81	11	10
TCGA-EB-A5UM-01	242	222	0	1	68	105	8	6	0	0	58	0	32	0	10
TCGA-EB-A5UN-06	290	284	0	0	99	106	0	13	0	0	99	0	105	0	2
TCGA-EB-A5VU-01	5	7	4	7	0	3	2	12	4	0	0	1	20	0	0
TCGA-EB-A6L9-06	1	1	4	1	1	2	5	5	3	3	0	0	0	0	2
TCGA-EB-A6QY-01	263	237	0	0	113	121	1	1	0	0	132	0	0	4	0
TCGA-EB-A6QZ-01	113	114	0	1	29	42	0	5	4	0	17	0	59	2	1
TCGA-EB-A6R0-01	138	170	0	0	64	55	5	8	4	0	0	0	83	1	0
TCGA-EB-A82B-01	1	10	0	5	2	0	0	28	1	3	6	8	0	0	1
TCGA-EB-A82C-01	5	1	5	3	3	13	2	5	0	1	5	3	2	0	0
TCGA-EB-A85I-01	87	66	0	14	32	43	8	0	0	0	29	0	27	0	0
TCGA-EB-A85J-01	203	135	0	0	73	97	9	0	0	0	47	0	0	0	0
TCGA-EB-A97M-01	141	106	0	0	45	61	3	15	3	0	36	0	19	0	0
TCGA-EE-A17X-06	365	327	0	12	169	127	1	18	0	0	26	0	41	4	0
TCGA-EE-A17Y-06	72	68	0	0	30	10	3	5	2	6	0	0	33	0	3
TCGA-EE-A17Z-06	0	0	1	4	0	2	1	2	0	1	9	6	0	0	0
TCGA-EE-A180-06	226	219	0	4	86	111	16	5	0	0	42	2	13	1	0
TCGA-EE-A181-06	1340	1128	0	0	525	478	3	0	0	0	377	0	116	14	23
TCGA-EE-A182-06	660	489	0	0	303	278	9	0	0	0	190	0	90	0	21
TCGA-EE-A183-06	350	274	0	4	136	164	7	0	0	0	13	0	61	3	4
TCGA-EE-A184-06	12	5	0	357	4	12	5	9	0	0	0	0	0	6	0
