Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS7a	SBS7b	SBS13	SBS15	SBS54
TCGA-55-8087-01	7	0	0	0	12	10	0	0	8	0
TCGA-55-8089-01	48	208	0	871	211	0	0	208	0	0
TCGA-55-8090-01	9	0	0	55	49	0	0	0	0	0
TCGA-55-8091-01	13	0	0	0	13	0	0	0	9	0
TCGA-55-8092-01	52	73	0	400	99	61	0	40	0	0
TCGA-55-8094-01	21	0	0	412	124	0	0	0	0	0
TCGA-55-8096-01	19	0	0	110	37	13	0	0	0	0
TCGA-55-8097-01	28	0	0	59	52	0	0	0	0	0
TCGA-55-8203-01	38	0	0	418	74	0	0	0	0	0
TCGA-55-8204-01	16	20	0	79	75	37	0	43	0	0
TCGA-55-8205-01	19	74	0	294	143	0	0	118	0	0
TCGA-55-8206-01	9	5	0	0	24	0	0	0	0	0
TCGA-55-8207-01	16	0	0	263	82	0	0	0	26	0
TCGA-55-8208-01	11	87	0	90	158	0	0	98	0	0
TCGA-55-8299-01	5	0	0	175	93	0	0	0	0	0
TCGA-55-8301-01	15	0	0	212	135	0	0	0	0	0
TCGA-55-8302-01	24	0	0	645	176	0	0	0	0	0
TCGA-55-8505-01	10	6	17	0	9	0	0	6	0	0
TCGA-55-8506-01	330	0	0	1199	358	0	0	0	220	0
TCGA-55-8507-01	36	0	0	936	241	0	0	0	0	0
TCGA-55-8508-01	20	12	0	140	55	0	0	0	0	0
TCGA-55-8510-01	10	0	0	302	80	0	0	0	0	0
TCGA-55-8511-01	31	53	0	483	122	0	0	24	0	0
TCGA-55-8512-01	2	0	0	22	27	0	0	0	0	0
TCGA-55-8513-01	6	0	0	0	0	2	0	0	0	0
TCGA-55-8514-01	28	0	0	258	31	0	34	0	0	0
TCGA-55-8614-01	35	0	0	81	182	0	0	0	0	0
TCGA-55-8615-01	12	0	0	76	74	0	0	0	0	0
TCGA-55-8616-01	22	0	0	499	51	0	0	0	31	0
TCGA-55-8619-01	18	0	0	0	9	0	0	0	0	0
TCGA-55-8620-01	38	0	0	402	175	0	0	0	0	0
TCGA-55-8621-01	0	0	0	44	33	0	0	0	12	0
TCGA-55-A48X-01	12	0	0	410	0	0	61	0	0	0
TCGA-55-A48Y-01	35	178	0	0	66	0	0	165	0	0
TCGA-55-A48Z-01	3	0	0	16	19	0	9	0	21	0
TCGA-55-A490-01	39	0	0	1352	252	0	0	0	0	0
TCGA-55-A491-01	15	0	0	315	136	0	0	0	0	0
TCGA-55-A492-01	21	0	0	223	111	0	0	0	0	0
TCGA-55-A493-01	21	51	0	174	62	0	0	32	0	0
TCGA-55-A494-01	39	0	0	194	62	0	0	0	0	0
TCGA-55-A4DF-01	49	234	0	0	226	128	0	346	0	0
TCGA-55-A4DG-01	28	0	0	679	137	0	0	0	0	0
TCGA-55-A57B-01	13	6	0	0	30	0	0	0	0	0
TCGA-62-8394-01	19	16	106	0	6	0	0	26	0	0
TCGA-62-8395-01	10	0	0	0	38	12	0	10	16	0
TCGA-62-8397-01	8	0	0	0	24	0	0	0	0	0
TCGA-62-8398-01	13	7	0	52	31	0	0	0	0	0
TCGA-62-8399-01	43	94	0	274	114	0	0	136	0	0
TCGA-62-8402-01	20	0	42	0	0	11	0	0	0	0
TCGA-62-A46O-01	43	76	0	712	187	0	0	74	0	0
TCGA-62-A46P-01	16	0	0	278	35	0	0	0	24	0
TCGA-62-A46R-01	26	22	0	96	65	0	0	0	0	0
TCGA-62-A46S-01	23	0	0	84	31	21	0	0	0	0
