Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-BH-A203-01	21	6	58	14
TCGA-BH-A204-01	5	22	18	7
TCGA-BH-A208-01	39	18	25	0
TCGA-BH-A209-01	102	9	7	1
TCGA-BH-A28Q-01	1	3	15	7
TCGA-BH-A2L8-01	611	0	17	0
TCGA-BH-A42U-01	19	0	13	0
TCGA-BH-A42V-01	41	0	14	0
TCGA-BH-A5IZ-01	11	52	22	11
TCGA-BH-A5J0-01	60	0	42	0
TCGA-BH-A6R8-01	4	3	24	6
TCGA-BH-A6R9-01	0	14	11	0
TCGA-BH-A8FY-01	8	30	10	8
TCGA-BH-A8FZ-01	13	42	9	27
TCGA-BH-A8G0-01	0	0	12	5
TCGA-BH-AB28-01	5	1	20	17
TCGA-C8-A12K-01	58	90	0	25
TCGA-C8-A12L-01	4	58	18	9
TCGA-C8-A12M-01	0	24	43	15
TCGA-C8-A12N-01	2	6	10	9
TCGA-C8-A12O-01	0	7	42	0
TCGA-C8-A12P-01	116	30	40	16
TCGA-C8-A12Q-01	94	10	29	6
TCGA-C8-A12T-01	169	20	12	13
TCGA-C8-A12U-01	6	19	30	6
TCGA-C8-A12V-01	5	27	3	17
TCGA-C8-A12W-01	0	9	58	10
TCGA-C8-A12X-01	0	14	39	12
TCGA-C8-A12Y-01	1	0	19	26
TCGA-C8-A12Z-01	21	8	25	7
TCGA-C8-A130-01	4	0	39	11
TCGA-C8-A131-01	8	27	31	8
TCGA-C8-A132-01	32	31	10	11
TCGA-C8-A133-01	6	19	5	3
TCGA-C8-A134-01	5	88	7	17
TCGA-C8-A135-01	5	9	39	24
TCGA-C8-A137-01	29	5	28	0
TCGA-C8-A138-01	0	24	24	4
TCGA-C8-A1HE-01	32	4	18	0
TCGA-C8-A1HF-01	14	7	12	6
TCGA-C8-A1HG-01	5	12	39	13
TCGA-C8-A1HI-01	14	19	26	13
TCGA-C8-A1HJ-01	12	81	0	31
TCGA-C8-A1HK-01	27	22	10	14
TCGA-C8-A1HL-01	0	15	12	10
TCGA-C8-A1HM-01	331	82	2	33
TCGA-C8-A1HN-01	2	25	34	9
TCGA-C8-A1HO-01	13	17	15	4
TCGA-C8-A26V-01	53	16	13	14
TCGA-C8-A26W-01	36	7	23	3
