Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-EE-A29L-06	1219	964	0	0	0	373	29	0	165	10
TCGA-EE-A29M-06	1642	1052	0	0	0	354	49	0	150	0
TCGA-EE-A29N-06	329	393	0	0	0	50	10	0	61	4
TCGA-EE-A29P-06	218	167	0	1	0	5	3	6	10	0
TCGA-EE-A29Q-06	157	149	0	0	0	45	7	6	45	0
TCGA-EE-A29R-06	430	328	0	0	0	101	12	0	63	0
TCGA-EE-A29S-06	694	530	0	0	0	128	18	15	113	0
TCGA-EE-A29T-06	228	114	28	17	0	69	8	1	48	0
TCGA-EE-A29V-06	589	693	0	0	0	56	15	12	47	0
TCGA-EE-A29W-06	25	41	3	0	0	14	0	0	8	2
TCGA-EE-A29X-06	88	86	0	0	0	16	3	3	8	1
TCGA-EE-A2A0-06	318	131	0	0	7	42	8	7	20	0
TCGA-EE-A2A1-06	248	182	0	0	0	41	4	0	54	0
TCGA-EE-A2A2-06	950	925	0	0	0	129	11	1	37	21
TCGA-EE-A2A5-06	157	192	0	0	0	58	6	0	25	0
TCGA-EE-A2A6-06	145	146	0	0	0	65	5	0	56	0
TCGA-EE-A2GB-06	412	349	0	0	0	67	9	0	74	0
TCGA-EE-A2GC-06	1433	1243	0	0	0	299	39	0	220	0
TCGA-EE-A2GD-06	379	212	0	0	0	84	9	4	56	0
TCGA-EE-A2GE-06	133	158	0	0	0	18	6	3	8	0
TCGA-EE-A2GH-06	193	152	0	0	0	50	8	0	23	0
TCGA-EE-A2GI-06	966	793	0	0	0	218	21	0	144	0
TCGA-EE-A2GJ-06	772	556	0	0	0	118	19	20	115	10
TCGA-EE-A2GK-06	0	0	3	0	0	0	0	0	1	0
TCGA-EE-A2GL-06	219	220	0	0	0	4	7	1	40	6
TCGA-EE-A2GM-06	430	388	0	0	0	93	9	0	54	0
TCGA-EE-A2GN-06	233	246	0	0	0	53	12	0	25	0
TCGA-EE-A2GO-06	1276	1164	0	0	0	110	23	0	207	1
TCGA-EE-A2GP-06	426	287	0	0	0	80	4	0	67	0
TCGA-EE-A2GR-06	867	1016	0	0	0	187	23	0	122	0
TCGA-EE-A2GS-06	202	171	0	0	0	64	2	0	29	0
TCGA-EE-A2GT-06	248	133	0	9	14	19	8	0	30	1
TCGA-EE-A2GU-06	449	264	0	0	0	74	8	0	32	1
TCGA-EE-A2M5-06	1071	1276	0	0	0	168	39	0	197	14
TCGA-EE-A2M6-06	363	275	0	0	0	44	11	9	38	6
TCGA-EE-A2M7-06	14	14	27	2	0	12	4	3	9	1
TCGA-EE-A2M8-06	63	25	0	0	0	32	4	4	23	0
TCGA-EE-A2MC-06	497	314	0	0	0	52	12	7	148	0
TCGA-EE-A2MD-06	1039	749	0	0	0	254	31	0	258	0
TCGA-EE-A2ME-06	16	12	0	1	4	3	0	0	6	0
TCGA-EE-A2MF-06	547	240	0	0	0	135	15	22	56	17
TCGA-EE-A2MG-06	156	95	2	0	0	15	1	0	8	0
TCGA-EE-A2MH-06	75	100	0	0	0	7	1	1	17	0
TCGA-EE-A2MI-06	777	470	0	0	0	139	15	9	78	0
TCGA-EE-A2MJ-06	1295	807	0	0	0	277	37	0	236	0
TCGA-EE-A2MK-06	170	118	0	0	0	79	7	7	23	0
TCGA-EE-A2ML-06	278	361	0	0	0	53	9	0	57	0
TCGA-EE-A2MM-06	379	253	0	0	0	41	2	0	86	0
TCGA-EE-A2MN-06	74	79	0	0	0	34	4	0	14	0
TCGA-EE-A2MP-06	147	174	0	0	0	23	3	6	40	0
TCGA-EE-A2MQ-06	134	154	1	0	0	19	10	0	46	1
TCGA-EE-A2MR-06	1935	1357	0	0	0	829	55	0	885	0
TCGA-EE-A2MS-06	1568	1726	0	0	0	362	60	0	266	0
TCGA-EE-A2MT-06	575	509	0	0	0	79	12	0	84	0
TCGA-EE-A2MU-06	387	308	0	0	0	105	14	0	68	28
TCGA-EE-A3AA-06	902	663	0	0	0	292	29	0	164	0
TCGA-EE-A3AB-06	271	252	0	0	0	0	11	344	4	27
TCGA-EE-A3AC-06	634	507	0	0	0	158	14	4	68	0
TCGA-EE-A3AD-06	246	242	0	0	0	50	6	7	45	0
TCGA-EE-A3AE-06	941	627	0	0	0	293	24	0	128	0
TCGA-EE-A3AF-06	606	679	0	0	0	13	17	4	42	0
TCGA-EE-A3AG-06	1021	975	0	0	0	145	28	0	143	0
TCGA-EE-A3AH-06	235	199	0	0	0	31	6	0	37	0
TCGA-EE-A3J3-06	65	95	0	10	0	18	8	0	31	0
TCGA-EE-A3J4-06	152	144	0	5	0	83	3	7	8	16
TCGA-EE-A3J5-06	1492	1052	0	0	0	167	28	39	162	0
TCGA-EE-A3J7-06	449	674	0	0	0	117	11	10	89	0
TCGA-EE-A3J8-06	190	96	0	0	0	51	8	4	22	0
TCGA-EE-A3JA-06	745	428	0	0	0	164	16	0	82	0
TCGA-EE-A3JB-06	314	393	0	0	0	82	16	7	39	8
TCGA-EE-A3JD-06	1326	1050	0	0	0	263	38	0	425	0
TCGA-EE-A3JE-06	134	168	0	0	0	18	6	1	42	0
TCGA-EE-A3JH-06	86	101	0	2	1	41	0	0	14	0
TCGA-EE-A3JI-06	623	649	1	0	0	167	27	14	55	0
TCGA-ER-A193-06	1254	902	0	0	0	236	23	2	193	9
TCGA-ER-A194-01	844	780	0	0	0	106	21	0	115	0
TCGA-ER-A195-06	163	118	0	0	0	35	3	0	29	0
TCGA-ER-A196-01	0	2	1	11	3	0	1	4	3	0
TCGA-ER-A197-06	1	1	1	6	28	4	0	10	0	1
TCGA-ER-A198-06	259	294	0	0	0	56	5	0	38	0
TCGA-ER-A199-06	163	137	0	0	0	32	7	0	33	0
TCGA-ER-A19A-06	121	63	0	0	0	22	2	0	40	0
TCGA-ER-A19B-06	16	18	0	0	20	13	2	49	13	0
TCGA-ER-A19C-06	48	41	3	0	0	24	3	1	0	2
TCGA-ER-A19D-06	266	251	0	0	0	44	8	0	73	0
TCGA-ER-A19E-06	240	199	3	0	0	75	14	19	67	0
TCGA-ER-A19F-06	610	508	0	0	0	79	11	4	101	0
TCGA-ER-A19G-06	290	301	0	0	0	37	6	6	53	5
TCGA-ER-A19H-06	146	150	4	0	0	15	2	3	53	0
TCGA-ER-A19J-06	151	77	0	0	0	38	3	0	22	0
TCGA-ER-A19K-01	329	147	0	15	0	1	6	1	0	3
TCGA-ER-A19L-06	34	25	0	0	5	2	4	0	2	2
TCGA-ER-A19M-06	281	291	0	0	0	49	6	0	50	0
TCGA-ER-A19N-06	292	256	0	0	0	67	9	0	36	2
TCGA-ER-A19O-06	115	67	0	0	0	22	1	10	29	0
TCGA-ER-A19P-06	156	132	246	0	54	12	15	0	25	0
TCGA-ER-A19Q-06	55	62	0	0	0	11	1	0	34	0
TCGA-ER-A19S-06	141	89	1	3	0	19	3	17	0	2
TCGA-ER-A19T-01	4	17	5	13	15	2	6	3	1	4
TCGA-ER-A19W-06	181	180	0	0	0	73	11	14	29	0
TCGA-ER-A1A1-06	46	45	1	0	0	0	0	1	0	1
TCGA-ER-A2NB-01	2	14	13	15	20	1	2	6	7	5
TCGA-ER-A2NC-06	269	208	0	0	0	28	12	0	35	0
TCGA-ER-A2ND-06	42	27	1	9	18	11	0	20	16	1
TCGA-ER-A2NE-06	62	60	1	0	0	24	10	6	16	0
TCGA-ER-A2NF-01	21	9	0	7	4	0	0	0	0	0
TCGA-ER-A2NG-06	162	125	0	0	0	5	33	0	11	11
TCGA-ER-A2NH-06	205	132	0	0	0	36	7	0	35	0
TCGA-ER-A3ES-06	2	0	0	14	6	0	1	0	4	2
