Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-AO-A128-01	16	16	415	0	0	15	567	181	0	0
TCGA-AO-A129-01	13	19	8	11	31	0	18	0	33	11
TCGA-AO-A12A-01	5	0	11	0	0	0	1	0	0	2
TCGA-AO-A12B-01	1	0	9	0	7	0	2	0	4	0
TCGA-AO-A12D-01	19	6	7	18	0	20	0	0	3	0
TCGA-AO-A12E-01	1	0	13	9	5	2	1	1	1	0
TCGA-AO-A12F-01	0	0	16	0	6	2	1	11	0	4
TCGA-AO-A12G-01	4	4	8	1	0	1	3	0	21	0
TCGA-AO-A12H-01	0	0	5	2	0	4	2	0	17	0
TCGA-AO-A1KO-01	0	0	0	0	3	3	4	0	0	0
TCGA-AO-A1KR-01	6	8	8	0	34	5	9	3	14	2
TCGA-AO-A1KT-01	3	0	12	0	11	6	13	0	5	1
TCGA-AQ-A04H-01	3	5	35	0	2	5	7	1	14	9
TCGA-AQ-A0Y5-01	9	10	21	0	14	11	5	0	0	0
TCGA-AQ-A1H2-01	2	0	10	0	3	5	4	0	9	1
TCGA-AQ-A1H3-01	0	0	17	0	2	0	0	0	8	0
TCGA-AQ-A54O-01	4	0	8	0	5	0	2	2	0	4
TCGA-AQ-A7U7-01	31	27	7	0	0	13	3	12	3	0
TCGA-AR-A0TP-01	4	4	0	0	30	1	11	3	15	3
TCGA-AR-A0TQ-01	11	1	8	5	2	3	0	9	0	10
TCGA-AR-A0TR-01	1	0	11	8	1	6	9	6	0	0
TCGA-AR-A0TS-01	6	7	16	10	24	0	6	7	0	14
TCGA-AR-A0TT-01	9	6	15	0	11	8	8	18	0	0
TCGA-AR-A0TU-01	4	8	10	1	30	0	5	3	15	14
TCGA-AR-A0TV-01	4	2	13	10	3	1	0	12	33	1
TCGA-AR-A0TW-01	1	2	17	2	10	7	4	0	11	13
TCGA-AR-A0TX-01	147	152	1	60	0	47	0	0	0	0
TCGA-AR-A0TZ-01	10	13	11	0	0	15	3	0	0	15
TCGA-AR-A0U0-01	2	6	4	6	2	5	0	14	2	9
TCGA-AR-A0U1-01	0	13	2	3	36	7	22	1	5	20
TCGA-AR-A0U2-01	0	0	18	0	0	2	2	29	0	5
TCGA-AR-A0U3-01	0	0	10	7	0	6	2	10	0	5
TCGA-AR-A0U4-01	14	41	8	4	55	11	11	9	0	48
TCGA-AR-A1AH-01	3	7	11	0	15	0	20	16	2	46
TCGA-AR-A1AI-01	2	10	12	22	4	16	6	16	1	0
TCGA-AR-A1AJ-01	16	8	10	0	0	3	2	0	14	0
TCGA-AR-A1AK-01	14	19	11	0	0	13	2	0	8	15
TCGA-AR-A1AL-01	4	3	5	0	1	3	10	0	2	2
TCGA-AR-A1AN-01	0	3	11	2	0	3	1	0	11	0
TCGA-AR-A1AO-01	10	13	11	14	46	15	7	0	0	6
TCGA-AR-A1AP-01	3	2	18	18	0	7	3	0	0	0
TCGA-AR-A1AQ-01	1	2	8	2	12	1	5	10	0	0
TCGA-AR-A1AR-01	3	7	13	0	10	0	2	8	6	14
TCGA-AR-A1AS-01	11	2	4	0	2	4	0	18	0	0
TCGA-AR-A1AT-01	1	1	7	0	15	1	2	5	0	0
TCGA-AR-A1AU-01	0	0	8	10	2	0	3	0	3	0
TCGA-AR-A1AV-01	2	0	17	6	1	7	4	2	4	6
TCGA-AR-A1AW-01	2	2	7	0	2	0	3	23	0	2
TCGA-AR-A1AX-01	0	0	3	7	0	11	1	2	8	0
TCGA-AR-A1AY-01	7	4	14	7	6	4	6	7	9	8
TCGA-AR-A24H-01	7	18	9	8	44	0	2	14	21	29
TCGA-AR-A24K-01	0	0	3	0	9	5	4	0	13	0
TCGA-AR-A24L-01	1	5	2	5	20	0	2	11	2	5
TCGA-AR-A24M-01	1	0	5	0	2	0	8	0	1	8
TCGA-AR-A24N-01	5	0	15	9	2	0	4	7	3	2
TCGA-AR-A24O-01	0	1	4	0	0	0	0	3	13	1
TCGA-AR-A24P-01	0	0	4	0	1	8	2	2	2	0
TCGA-AR-A24Q-01	18	13	4	35	78	2	14	34	0	34
TCGA-AR-A24R-01	2	0	9	0	6	0	7	2	0	0
TCGA-AR-A24S-01	7	3	14	10	3	0	9	0	10	1
TCGA-AR-A24T-01	1	0	9	5	0	2	0	0	4	3
TCGA-AR-A24U-01	9	8	11	8	2	6	0	0	0	0
TCGA-AR-A24V-01	1	3	10	0	0	7	4	0	0	3
TCGA-AR-A24W-01	0	0	0	3	0	3	0	8	0	0
TCGA-AR-A24X-01	0	0	5	1	0	9	5	0	13	1
TCGA-AR-A24Z-01	4	3	10	0	11	3	0	9	13	3
TCGA-AR-A250-01	14	43	28	12	0	28	4	11	9	6
TCGA-AR-A251-01	7	30	6	8	77	0	15	16	22	24
TCGA-AR-A252-01	0	0	7	5	0	0	4	3	0	0
TCGA-AR-A254-01	3	0	11	8	0	9	0	0	8	3
TCGA-AR-A255-01	13	15	9	7	0	10	8	0	0	27
TCGA-AR-A256-01	13	12	5	21	85	14	13	25	19	17
TCGA-AR-A2LE-01	152	98	0	70	0	70	0	0	0	4
TCGA-AR-A2LH-01	19	9	4	27	0	11	1	0	0	0
TCGA-AR-A2LK-01	4	0	16	6	3	3	6	0	10	0
TCGA-AR-A2LL-01	0	0	9	0	0	2	0	0	22	4
TCGA-AR-A2LM-01	0	0	0	0	3	5	1	0	8	0
TCGA-AR-A2LN-01	12	1	5	20	0	12	4	0	0	0
TCGA-AR-A2LO-01	1	1	4	5	5	1	0	0	0	0
TCGA-AR-A2LQ-01	0	0	3	0	1	0	1	1	7	0
TCGA-AR-A2LR-01	1	2	10	0	6	6	0	18	17	10
TCGA-AR-A5QM-01	0	0	8	4	2	4	2	1	14	1
TCGA-AR-A5QN-01	4	0	15	3	0	6	3	18	0	0
TCGA-AR-A5QP-01	3	0	6	2	0	3	4	3	12	1
TCGA-AR-A5QQ-01	5	7	7	0	29	1	12	25	5	5
TCGA-B6-A0I1-01	5	1	10	0	8	8	0	0	48	0
TCGA-B6-A0IH-01	1	0	12	4	0	5	2	17	0	0
TCGA-B6-A0RH-01	8	6	3	0	0	3	0	0	25	0
TCGA-B6-A0RL-01	13	5	18	0	3	4	1	20	0	5
TCGA-B6-A0RM-01	6	0	12	1	0	0	2	8	6	1
TCGA-B6-A0RN-01	2	0	12	0	4	2	4	4	5	0
TCGA-B6-A0RO-01	2	1	0	0	7	12	4	16	1	0
TCGA-B6-A0RP-01	0	0	6	8	0	0	1	12	0	3
TCGA-B6-A0RQ-01	10	3	6	8	0	9	6	5	5	4
TCGA-B6-A0RT-01	2	14	7	16	24	1	4	0	0	4
TCGA-B6-A0RU-01	4	1	9	0	9	13	12	0	0	10
TCGA-B6-A0RV-01	25	20	5	0	0	1	0	0	16	0
TCGA-B6-A0WS-01	2	1	2	0	0	0	7	1	1	4
TCGA-B6-A0WT-01	0	0	5	0	0	7	6	0	0	4
TCGA-B6-A0WV-01	0	4	0	0	0	1	0	15	17	0
TCGA-B6-A0WW-01	7	3	9	0	6	6	5	0	0	11
TCGA-B6-A0WX-01	0	2	9	0	7	5	6	0	8	8
TCGA-B6-A0WY-01	5	2	6	0	4	4	5	9	0	0
TCGA-B6-A0WZ-01	44	16	3	23	1	5	0	3	0	0
TCGA-B6-A0X0-01	1	0	2	0	0	5	0	0	8	9
TCGA-B6-A0X1-01	3	13	0	5	22	17	11	16	5	0
TCGA-B6-A0X4-01	0	0	3	0	0	14	0	0	0	5
TCGA-B6-A0X5-01	2	1	1	0	0	16	8	0	0	20
TCGA-B6-A0X7-01	3	1	4	0	0	4	0	4	7	0
TCGA-B6-A1KN-01	2	1	10	9	0	0	6	14	5	25
TCGA-B6-A2IU-01	12	0	9	4	0	16	5	8	0	0
TCGA-B6-A401-01	0	1	7	0	0	4	0	14	2	0
TCGA-B6-A409-01	3	2	12	10	4	4	3	1	13	4
TCGA-B6-A40B-01	11	1	9	23	5	0	4	12	0	1
TCGA-B6-A40C-01	4	1	16	1	0	0	0	0	24	8
TCGA-BH-A0AU-01	1	1	6	6	0	0	0	4	4	1
TCGA-BH-A0AV-01	3	10	0	8	24	5	7	24	6	0
TCGA-BH-A0AY-01	4	1	7	0	0	11	0	0	12	11
TCGA-BH-A0AZ-01	11	5	1	15	13	0	6	3	3	13
TCGA-BH-A0B0-01	43	22	4	0	0	30	0	0	0	0
TCGA-BH-A0B3-01	2	1	5	0	5	1	0	0	0	4
TCGA-BH-A0B6-01	477	404	2	297	0	110	0	0	0	0
TCGA-BH-A0B7-01	2	7	10	0	7	13	1	2	0	0
TCGA-BH-A0B8-01	4	0	0	1	0	4	0	17	5	3
TCGA-BH-A0BA-01	5	3	4	0	3	0	2	7	5	0
TCGA-BH-A0BC-01	7	3	9	0	0	5	0	2	19	0
TCGA-BH-A0BF-01	1	6	5	0	2	4	3	6	6	0
TCGA-BH-A0BG-01	6	4	6	0	19	0	3	4	3	0
TCGA-BH-A0BJ-01	0	0	0	0	0	3	1	2	7	4
TCGA-BH-A0BL-01	0	3	10	0	22	6	0	0	14	14
TCGA-BH-A0BM-01	3	0	2	1	0	0	0	3	0	10
TCGA-BH-A0BO-01	0	3	4	7	0	3	12	0	2	0
TCGA-BH-A0BP-01	16	30	25	9	23	35	0	27	6	25
TCGA-BH-A0BQ-01	3	0	8	0	0	3	0	8	2	6
TCGA-BH-A0BS-01	1	0	3	2	5	0	2	4	6	0
