Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-50-5942-01	7.30E-01	7.86E-01	1.27E-01	9.49E-01	8.62E-01	3.20E-01	4.56E-01	7.48E-01
TCGA-50-5944-01	7.39E-01	9.33E-01	4.15E-01	1.02E+00	7.33E-01	4.61E-01	5.80E-01	5.14E-01
TCGA-50-5946-01	7.30E+00	7.10E+00	2.66E+00	3.46E+00	2.76E+00	1.23E+00	1.12E+00	3.04E+00
TCGA-50-6590-01	8.56E+00	9.15E+00	3.58E+00	4.73E+00	3.33E+00	1.24E+00	8.04E-01	3.47E+00
TCGA-50-6591-01	3.30E-01	7.97E-01	3.11E-01	8.96E-01	7.72E-01	4.03E-01	5.14E-01	5.90E-01
TCGA-50-6592-01	2.05E+00	2.35E+00	1.38E+00	2.47E+00	2.13E+00	8.83E-01	6.54E-01	1.53E+00
TCGA-50-6593-01	3.84E+00	3.65E+00	6.38E-01	2.25E+00	1.92E+00	7.98E-01	6.27E-01	1.23E+00
TCGA-50-6594-01	6.23E+00	6.73E+00	1.33E+00	2.49E+00	2.63E+00	1.07E+00	8.64E-01	1.59E+00
TCGA-50-6595-01	7.38E-01	7.78E-01	8.13E-01	1.15E+00	7.64E-01	7.46E-01	5.50E-01	8.24E-01
TCGA-50-6597-01	7.96E-02	5.95E-01	6.93E-01	8.80E-01	4.59E-01	6.69E-01	6.15E-01	9.78E-01
TCGA-50-6673-01	9.47E-02	6.07E-01	3.50E-01	8.24E-01	8.18E-01	3.96E-01	5.59E-01	6.68E-01
TCGA-50-7109-01	2.73E+00	2.84E+00	5.86E-01	2.16E+00	1.58E+00	7.16E-01	9.05E-01	7.18E-01
TCGA-50-8457-01	7.34E-01	7.23E-01	3.31E-01	5.64E-01	6.58E-01	4.36E-01	3.75E-01	4.23E-01
TCGA-50-8459-01	1.42E+00	1.53E+00	3.23E-01	8.90E-01	8.31E-01	3.97E-01	5.98E-01	5.17E-01
TCGA-50-8460-01	2.64E-01	3.97E-01	3.47E-01	5.09E-01	4.58E-01	3.83E-01	3.80E-01	6.90E-01
TCGA-53-7624-01	8.31E+00	8.70E+00	3.04E+00	3.81E+00	3.12E+00	1.43E+00	1.11E+00	3.73E+00
TCGA-53-7626-01	5.77E+00	5.93E+00	8.69E-01	2.15E+00	1.71E+00	6.54E-01	4.65E-01	1.09E+00
TCGA-53-7813-01	1.66E+00	1.79E+00	1.71E-01	1.51E+00	1.12E+00	5.07E-01	6.78E-01	6.36E-01
TCGA-53-A4EZ-01	5.95E+00	6.56E+00	9.98E-01	3.51E+00	1.92E+00	1.09E+00	9.16E-01	1.11E+00
TCGA-55-1592-01	4.03E+00	3.79E+00	1.41E+00	4.00E+00	3.34E+00	1.17E+00	1.08E+00	2.00E+00
TCGA-55-1594-01	1.34E+00	1.25E+00	1.45E+00	1.54E+00	1.02E+00	6.98E-01	6.77E-01	1.34E+00
TCGA-55-1595-01	3.91E+00	3.92E+00	5.95E-01	2.42E+00	1.98E+00	7.10E-01	8.01E-01	1.21E+00
TCGA-55-1596-01	1.68E+00	1.75E+00	3.92E-01	1.74E+00	1.64E+00	6.87E-01	5.44E-01	1.07E+00
TCGA-55-5899-01	4.13E+00	4.75E+00	2.62E+00	2.49E+00	1.95E+00	1.13E+00	7.81E-01	2.94E+00
TCGA-55-6543-01	6.47E-02	2.11E-01	2.35E-01	3.00E-01	3.34E-01	1.11E-01	3.43E-01	3.02E-01
TCGA-55-6642-01	1.56E+00	1.70E+00	3.48E-01	1.13E+00	7.72E-01	5.48E-01	5.57E-01	5.38E-01
TCGA-55-6712-01	9.49E-01	1.07E+00	1.72E+00	1.03E+00	8.33E-01	5.38E-01	6.53E-01	1.71E+00
TCGA-55-6968-01	2.30E+00	2.65E+00	7.21E+00	1.97E+00	1.58E+00	1.09E+00	5.92E-01	7.99E+00
TCGA-55-6969-01	4.74E+00	4.47E+00	8.22E-01	3.31E+00	2.53E+00	8.65E-01	3.47E-01	1.91E+00
TCGA-55-6970-01	2.26E+00	2.30E+00	4.95E-01	1.69E+00	1.27E+00	5.71E-01	5.41E-01	7.70E-01
TCGA-55-6971-01	1.24E+00	1.45E+00	4.09E-01	1.25E+00	1.21E+00	4.94E-01	2.84E-01	4.98E-01
TCGA-55-6972-01	2.25E+00	2.07E+00	3.43E+00	1.47E+00	1.21E+00	1.19E+00	6.92E-01	3.90E+00
