Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-EE-A3AE-06	1289	0	492	0	14	0	218	0
TCGA-EE-A3AF-06	748	0	543	14	0	0	56	0
TCGA-EE-A3AG-06	1312	0	808	0	0	0	192	0
TCGA-EE-A3AH-06	308	0	152	0	0	0	48	0
TCGA-EE-A3J3-06	78	0	105	14	0	0	30	0
TCGA-EE-A3J4-06	197	0	153	23	6	0	22	17
TCGA-EE-A3J5-06	2015	0	619	0	0	53	252	1
TCGA-EE-A3J7-06	544	0	693	17	0	0	96	0
TCGA-EE-A3J8-06	263	0	51	0	8	9	40	0
TCGA-EE-A3JA-06	1052	0	232	0	0	0	151	0
TCGA-EE-A3JB-06	393	0	406	0	0	0	54	6
TCGA-EE-A3JD-06	1722	0	885	0	0	0	495	0
TCGA-EE-A3JE-06	159	0	168	0	0	0	42	0
TCGA-EE-A3JH-06	103	0	112	11	0	0	19	0
TCGA-EE-A3JI-06	790	0	645	5	0	0	96	0
TCGA-ER-A193-06	1665	0	666	0	0	3	278	7
TCGA-ER-A194-01	1092	0	619	0	0	0	155	0
TCGA-ER-A195-06	222	0	85	0	0	0	41	0
TCGA-ER-A196-01	0	2	5	9	0	6	3	0
TCGA-ER-A197-06	0	6	15	12	0	17	0	2
TCGA-ER-A198-06	315	0	284	5	0	0	48	0
TCGA-ER-A199-06	205	0	126	0	0	0	41	0
TCGA-ER-A19A-06	174	0	23	0	0	0	51	0
TCGA-ER-A19B-06	18	0	40	1	3	53	15	1
TCGA-ER-A19C-06	65	0	46	0	5	0	4	2
TCGA-ER-A19D-06	334	0	220	6	0	0	82	0
TCGA-ER-A19E-06	310	1	199	5	2	18	82	0
TCGA-ER-A19F-06	793	0	388	0	0	2	130	0
TCGA-ER-A19G-06	364	0	266	2	0	0	62	4
TCGA-ER-A19H-06	182	3	131	0	0	2	55	0
TCGA-ER-A19J-06	210	0	36	10	0	0	35	0
TCGA-ER-A19K-01	449	3	0	26	0	2	18	4
TCGA-ER-A19L-06	44	0	24	0	0	0	4	2
TCGA-ER-A19M-06	358	0	257	0	0	0	62	0
TCGA-ER-A19N-06	381	0	225	0	0	0	56	0
TCGA-ER-A19O-06	158	0	33	0	0	14	39	0
TCGA-ER-A19P-06	206	289	111	0	0	0	34	0
TCGA-ER-A19Q-06	66	0	63	2	0	0	32	0
TCGA-ER-A19S-06	192	1	46	12	0	16	6	2
TCGA-ER-A19T-01	4	7	31	15	4	3	0	6
TCGA-ER-A19W-06	234	0	186	11	6	9	42	0
TCGA-ER-A1A1-06	64	0	27	0	0	1	1	1
TCGA-ER-A2NB-01	0	18	29	18	0	8	6	6
TCGA-ER-A2NC-06	350	0	153	0	0	0	49	0
TCGA-ER-A2ND-06	55	6	26	15	0	24	18	1
TCGA-ER-A2NE-06	79	0	66	0	8	5	21	0
TCGA-ER-A2NF-01	29	1	0	10	0	0	1	0
TCGA-ER-A2NG-06	215	0	86	0	15	0	19	12
TCGA-ER-A2NH-06	281	0	83	0	0	0	51	0
TCGA-ER-A3ES-06	1	2	0	18	1	0	4	3
TCGA-ER-A3ET-06	20	26	16	24	12	11	0	7
TCGA-ER-A3EV-06	8	23	19	24	15	3	0	7
TCGA-ER-A3PL-06	283	0	218	0	0	0	18	0
TCGA-ER-A42H-01	3	17	11	38	4	0	2	3
TCGA-ER-A42K-06	107	0	143	0	0	0	23	0
TCGA-ER-A42L-06	1079	0	132	0	0	21	69	0
TCGA-FR-A2OS-01	0	0	2	8	0	3	3	0
TCGA-FR-A3R1-01	288	0	232	0	0	0	69	0
TCGA-FR-A3YN-06	441	0	243	0	0	1	103	0
TCGA-FR-A3YO-06	786	0	232	0	0	4	167	0
TCGA-FR-A44A-06	213	0	162	11	0	0	34	0
TCGA-FR-A69P-06	183	0	75	4	0	0	43	0
TCGA-FR-A726-01	5450	0	4048	0	0	0	648	0
TCGA-FR-A728-01	314	0	177	0	2	0	47	0
TCGA-FR-A729-06	722	0	325	0	8	0	146	3
TCGA-FR-A7U8-06	0	2	12	25	4	0	1	0
TCGA-FR-A7U9-06	1667	0	518	0	0	0	295	0
TCGA-FR-A7UA-06	200	0	17	1	8	0	15	0
TCGA-FR-A8YC-06	2568	0	1086	0	0	3	443	0
TCGA-FR-A8YD-06	21	32	28	7	14	20	2	8
TCGA-FR-A8YE-06	297	0	125	0	1	4	44	0
TCGA-FS-A1YW-06	133	0	51	10	0	0	25	0
TCGA-FS-A1YX-06	5	8	11	4	0	0	2	0
TCGA-FS-A1YY-06	195	3	50	14	0	0	12	0
TCGA-FS-A1Z0-06	152	0	157	1	4	0	37	0
TCGA-FS-A1Z3-06	828	0	378	0	0	0	184	0
TCGA-FS-A1Z4-06	38	3	0	3	0	7	0	2
TCGA-FS-A1Z7-06	147	0	81	7	0	0	15	0
TCGA-FS-A1ZA-06	933	0	463	0	8	0	220	0
TCGA-FS-A1ZB-06	204	0	72	0	0	0	40	0
TCGA-FS-A1ZC-06	603	0	267	0	0	0	108	0
TCGA-FS-A1ZD-06	180	0	127	2	0	5	24	3
TCGA-FS-A1ZE-06	90	0	58	5	6	5	26	0
TCGA-FS-A1ZF-06	124	0	108	4	0	11	32	0
TCGA-FS-A1ZG-06	0	2	2	22	8	7	0	4
TCGA-FS-A1ZH-06	0	3	26	7	0	0	8	0
TCGA-FS-A1ZJ-06	9	8	28	25	7	5	0	1
TCGA-FS-A1ZK-06	1035	0	1048	0	0	0	129	0
TCGA-FS-A1ZM-06	175	12	105	2	0	0	34	3
TCGA-FS-A1ZN-01	83	0	41	7	0	3	3	0
TCGA-FS-A1ZP-06	354	0	104	0	17	0	105	0
TCGA-FS-A1ZQ-06	514	0	81	3	4	0	64	17
TCGA-FS-A1ZR-06	117	3	37	0	0	3	27	0
TCGA-FS-A1ZS-06	212	0	127	15	0	0	30	0
TCGA-FS-A1ZT-06	197	1	5	11	0	5	23	0
TCGA-FS-A1ZU-06	7	7	0	22	2	1	12	1
TCGA-FS-A1ZW-06	443	0	334	0	5	0	126	0
TCGA-FS-A1ZY-06	0	4	28	6	0	0	2	2
TCGA-FS-A1ZZ-06	1596	0	199	0	0	0	352	0
TCGA-FS-A4F0-06	383	0	338	0	0	0	49	0
TCGA-FS-A4F4-06	10	9	8	10	9	1	6	3
TCGA-FS-A4F5-06	676	0	196	0	0	0	153	0
TCGA-FS-A4F8-06	141	0	55	8	0	0	25	6
TCGA-FS-A4F9-06	381	0	146	0	0	8	55	0
TCGA-FS-A4FB-06	114	0	104	0	0	0	32	0
TCGA-FS-A4FC-06	575	0	304	0	0	0	120	0
TCGA-FS-A4FD-06	413	0	106	0	15	1	73	0
TCGA-FW-A3I3-06	9	9	0	31	7	7	2	8
TCGA-FW-A3R5-06	11131	0	12197	0	46	0	4095	0
TCGA-FW-A3TU-06	491	0	498	6	0	0	85	0
TCGA-FW-A3TV-06	221	0	164	0	12	0	61	0
TCGA-FW-A5DX-01	152	4	83	9	0	0	16	3
TCGA-FW-A5DY-06	180	0	32	5	0	0	24	0
TCGA-GF-A2C7-01	52	2	44	1	0	2	2	0
