Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-EE-A2MG-06	108	77	0	31	4	0	11	18	0	0	3	25	0	0
TCGA-EE-A2MH-06	57	78	0	18	1	5	3	19	0	1	3	14	0	2
TCGA-EE-A2MI-06	551	417	0	211	0	0	10	131	2	4	0	162	0	0
TCGA-EE-A2MJ-06	982	800	0	419	0	0	0	328	6	0	11	102	0	4
TCGA-EE-A2MK-06	119	101	0	74	0	1	0	36	0	0	0	73	0	0
TCGA-EE-A2ML-06	206	273	0	83	0	0	2	70	1	0	0	123	0	0
TCGA-EE-A2MM-06	276	231	0	91	9	7	6	102	0	0	0	39	0	0
TCGA-EE-A2MN-06	56	72	0	35	0	1	2	20	1	3	14	1	0	0
TCGA-EE-A2MP-06	109	133	0	38	0	6	5	41	0	4	10	29	18	0
TCGA-EE-A2MQ-06	100	121	0	35	6	0	7	45	6	0	14	6	21	4
TCGA-EE-A2MR-06	1530	1454	0	926	0	0	0	1031	0	0	54	66	0	0
TCGA-EE-A2MS-06	1263	1569	2	572	0	0	0	390	7	0	0	179	0	0
TCGA-EE-A2MT-06	424	423	0	148	0	0	20	115	3	0	0	121	5	0
TCGA-EE-A2MU-06	296	290	4	141	0	0	1	98	3	0	0	41	0	36
TCGA-EE-A3AA-06	702	647	0	355	0	0	0	227	0	0	3	0	116	0
TCGA-EE-A3AB-06	192	189	0	40	0	0	6	21	9	311	25	77	16	23
TCGA-EE-A3AC-06	477	457	0	209	0	0	17	114	0	20	22	50	13	6
TCGA-EE-A3AD-06	179	194	0	72	3	3	4	58	1	5	0	77	0	0
TCGA-EE-A3AE-06	726	636	0	361	0	0	14	214	0	0	11	49	0	2
TCGA-EE-A3AF-06	452	528	0	118	9	10	32	75	11	3	0	120	0	3
TCGA-EE-A3AG-06	784	854	0	294	0	0	3	211	3	0	12	151	0	0
TCGA-EE-A3AH-06	172	168	0	64	0	4	0	49	0	0	0	49	0	2
TCGA-EE-A3J3-06	50	74	4	21	0	10	13	30	6	1	8	10	0	0
TCGA-EE-A3J4-06	112	109	0	61	0	9	28	19	1	1	9	27	28	14
TCGA-EE-A3J5-06	1082	908	0	355	0	0	37	245	6	42	0	217	42	6
TCGA-EE-A3J7-06	352	517	0	143	14	24	33	101	0	11	12	65	72	6
TCGA-EE-A3J8-06	134	95	0	63	3	4	0	36	3	4	7	22	0	0
TCGA-EE-A3JA-06	565	427	0	233	0	0	26	141	3	0	4	32	4	0
TCGA-EE-A3JB-06	241	307	0	104	3	9	11	53	5	5	7	40	65	9
TCGA-EE-A3JD-06	959	907	0	413	0	0	0	468	1	0	0	354	0	0
TCGA-EE-A3JE-06	97	125	0	35	0	2	0	40	0	0	17	27	26	0
