Samples	SBS96A	SBS96B
TCGA-78-7166-01	249	26
TCGA-78-7167-01	83	71
TCGA-78-7220-01	813	233
TCGA-78-7535-01	187	33
TCGA-78-7536-01	684	54
TCGA-78-7537-01	128	41
TCGA-78-7539-01	157	448
TCGA-78-7540-01	18	18
TCGA-78-7542-01	402	75
TCGA-78-7633-01	113	22
TCGA-78-8640-01	662	252
TCGA-78-8648-01	14	2
TCGA-78-8655-01	104	28
TCGA-78-8660-01	209	95
TCGA-78-8662-01	1245	195
TCGA-80-5607-01	0	158
TCGA-80-5608-01	176	23
TCGA-80-5611-01	187	60
TCGA-83-5908-01	159	136
TCGA-86-6562-01	26	48
TCGA-86-6851-01	905	189
TCGA-86-7701-01	221	27
TCGA-86-7711-01	171	101
TCGA-86-7713-01	154	32
TCGA-86-7714-01	73	18
TCGA-86-7953-01	43	22
TCGA-86-7954-01	187	103
TCGA-86-7955-01	296	81
TCGA-86-8054-01	233	42
TCGA-86-8055-01	37	26
TCGA-86-8056-01	88	252
TCGA-86-8073-01	1686	159
TCGA-86-8074-01	49	30
TCGA-86-8075-01	32	30
TCGA-86-8076-01	37	47
TCGA-86-8278-01	0	144
TCGA-86-8279-01	596	40
TCGA-86-8280-01	32	23
TCGA-86-8281-01	262	75
TCGA-86-8358-01	1261	115
TCGA-86-8359-01	169	31
TCGA-86-8585-01	521	189
TCGA-86-8668-01	25	20
TCGA-86-8669-01	127	43
TCGA-86-8671-01	17	30
TCGA-86-8672-01	284	92
TCGA-86-8673-01	501	104
TCGA-86-8674-01	320	62
TCGA-86-A456-01	380	72
TCGA-86-A4JF-01	1022	624
TCGA-86-A4P7-01	27	57
TCGA-86-A4P8-01	1	1
TCGA-91-6828-01	282	54
TCGA-91-6829-01	671	134
TCGA-91-6830-01	3	312
TCGA-91-6831-01	283	57
TCGA-91-6835-01	69	44
TCGA-91-6836-01	510	69
TCGA-91-6840-01	18	124
TCGA-91-6847-01	49	56
TCGA-91-6848-01	556	185
TCGA-91-6849-01	118	23
TCGA-91-7771-01	181	70
