Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-EB-A24C-01	1	2	0	7	2	6	10	2	0	3	0	2	0
TCGA-EB-A24D-01	271	254	37	0	97	0	28	60	2	0	0	4	62
TCGA-EB-A299-01	76	79	1	0	22	0	8	15	1	0	5	0	0
TCGA-EB-A3HV-01	12	15	0	12	10	5	0	4	0	0	0	0	5
TCGA-EB-A3XB-01	245	197	44	0	87	0	24	70	0	23	2	0	4
TCGA-EB-A3XC-01	190	195	0	17	56	0	18	49	6	1	22	14	0
TCGA-EB-A3XD-01	179	178	5	0	72	0	5	80	1	0	0	0	0
TCGA-EB-A3XE-01	7	0	3	2	0	5	0	0	0	0	0	0	5
TCGA-EB-A3XF-01	211	157	13	6	84	1	0	53	3	8	0	0	0
TCGA-EB-A3Y6-01	259	290	25	17	119	5	29	86	3	3	0	5	0
TCGA-EB-A3Y7-01	524	443	35	0	263	2	33	139	7	29	27	16	0
TCGA-EB-A41A-01	1016	738	119	0	434	0	10	251	4	13	0	0	35
TCGA-EB-A41B-01	219	155	0	0	101	0	8	72	0	0	0	0	0
TCGA-EB-A42Y-01	11	7	0	4	6	9	9	4	3	3	16	9	0
TCGA-EB-A42Z-01	41	47	19	6	9	6	2	27	0	0	0	0	0
TCGA-EB-A430-01	175	200	8	0	49	0	7	62	0	4	22	2	0
TCGA-EB-A431-01	890	930	0	18	320	0	34	171	13	0	0	21	0
TCGA-EB-A44N-01	63	69	8	3	19	0	4	25	0	0	0	0	17
TCGA-EB-A44O-01	221	262	46	0	61	0	24	70	0	3	0	4	1
TCGA-EB-A44P-01	155	184	4	0	55	1	0	44	2	13	20	0	0
TCGA-EB-A44Q-06	9	1	13	0	3	8	5	0	0	6	9	0	3
TCGA-EB-A44R-06	1	1	0	9	1	13	17	5	1	10	8	5	0
TCGA-EB-A4IQ-01	3	2	0	2	0	5	1	3	0	5	1	0	0
TCGA-EB-A4IS-01	265	276	41	3	81	0	2	33	3	0	12	0	57
TCGA-EB-A4OY-01	3	4	0	1	0	11	12	1	6	14	15	3	2
TCGA-EB-A4OZ-01	1	2	0	6	0	0	1	0	1	4	0	1	0
TCGA-EB-A4P0-01	79	95	0	7	32	7	12	9	1	10	6	0	0
TCGA-EB-A4XL-01	232	238	33	0	88	9	4	32	0	0	0	9	21
TCGA-EB-A51B-01	214	191	0	7	68	3	29	15	0	2	10	0	28
TCGA-EB-A550-01	65	69	0	3	18	8	4	28	1	0	7	0	0
TCGA-EB-A551-01	147	130	28	0	68	0	17	64	1	13	0	6	0
TCGA-EB-A553-01	114	140	14	17	33	1	21	34	8	5	36	7	5
TCGA-EB-A57M-01	0	0	7	4	7	13	7	0	3	2	14	0	2
TCGA-EB-A5FP-01	177	221	0	0	95	5	8	48	0	0	3	0	0
TCGA-EB-A5KH-06	1	3	0	7	0	5	9	1	3	0	11	2	12
TCGA-EB-A5SE-01	125	143	2	0	50	0	3	38	4	1	19	1	12
TCGA-EB-A5SF-01	5	5	0	3	9	0	2	1	1	3	10	0	3
TCGA-EB-A5SG-06	147	116	13	0	54	0	0	19	1	10	6	3	0
TCGA-EB-A5SH-06	16	3	0	44	3	10	5	0	7	11	19	2	2
TCGA-EB-A5UL-06	189	206	22	19	63	0	12	59	1	6	25	11	19
TCGA-EB-A5UM-01	268	262	24	5	75	4	18	86	3	7	0	0	0
TCGA-EB-A5UN-06	325	347	47	0	110	0	34	80	4	0	16	0	35
TCGA-EB-A5VU-01	6	8	13	7	0	2	16	2	4	1	0	0	6
TCGA-EB-A6L9-06	1	0	3	2	1	6	5	2	3	3	2	0	0
TCGA-EB-A6QY-01	293	290	31	0	125	0	11	96	0	0	20	6	0
TCGA-EB-A6QZ-01	123	133	39	0	30	0	10	31	5	1	3	2	10
TCGA-EB-A6R0-01	156	201	21	0	72	3	18	43	7	0	0	1	6
TCGA-EB-A82B-01	1	10	0	5	2	0	36	0	1	3	7	0	0
TCGA-EB-A82C-01	6	2	5	4	4	1	8	9	0	1	8	0	0
TCGA-EB-A85I-01	98	84	10	18	37	7	4	33	0	0	1	0	14
TCGA-EB-A85J-01	227	162	0	0	81	7	0	77	1	0	9	0	0
TCGA-EB-A97M-01	157	128	5	0	49	0	27	48	5	0	10	0	0
TCGA-EE-A17X-06	392	363	0	18	183	0	33	94	0	0	5	2	0
TCGA-EE-A17Y-06	79	77	5	0	33	3	8	5	3	8	0	0	11
TCGA-EE-A17Z-06	0	2	1	5	0	1	3	1	0	3	10	0	0
TCGA-EE-A180-06	240	244	0	5	91	14	8	88	1	2	32	0	0
TCGA-EE-A181-06	1478	1349	87	0	580	0	0	374	14	32	71	19	0
TCGA-EE-A182-06	744	609	71	0	346	0	0	228	0	19	9	0	14
TCGA-EE-A183-06	381	308	17	6	148	1	7	129	0	6	12	1	0
TCGA-EE-A184-06	12	4	0	368	5	8	5	3	0	0	0	5	0
TCGA-EE-A185-06	81	96	12	2	37	0	10	23	5	0	2	0	0
TCGA-EE-A20B-06	79	93	7	0	29	0	0	20	0	5	11	0	0
TCGA-EE-A20C-06	970	1061	134	0	342	0	74	229	9	25	0	27	0
TCGA-EE-A20F-06	231	215	11	1	109	2	0	64	1	0	17	0	0
TCGA-EE-A20H-06	287	223	61	0	92	0	13	71	0	18	11	7	30
TCGA-EE-A20I-06	0	3	0	8	2	1	7	3	3	1	1	0	1
TCGA-EE-A29A-06	126	133	0	4	42	0	5	16	6	0	13	0	9
TCGA-EE-A29B-06	282	241	5	1	137	2	1	45	1	13	19	2	0
TCGA-EE-A29C-06	175	218	18	0	62	2	6	68	1	0	15	0	8
TCGA-EE-A29D-06	2025	1951	58	0	669	0	0	516	3	0	22	0	0
TCGA-EE-A29E-06	1845	1584	45	0	907	0	4	438	6	0	54	6	0
TCGA-EE-A29G-06	152	128	20	0	70	0	0	48	0	22	19	1	14
TCGA-EE-A29H-06	154	127	12	3	57	0	7	40	0	1	0	1	16
TCGA-EE-A29L-06	980	945	47	0	455	4	34	253	0	0	9	33	0
TCGA-EE-A29M-06	1292	1043	76	0	526	0	0	256	4	0	21	0	29
TCGA-EE-A29N-06	263	321	20	0	85	0	39	69	5	0	17	8	20
TCGA-EE-A29P-06	166	143	9	0	38	6	8	20	2	3	0	1	14
TCGA-EE-A29Q-06	123	131	24	0	55	4	3	48	2	7	9	0	3
TCGA-EE-A29R-06	333	301	46	0	138	1	2	85	0	0	0	0	28
TCGA-EE-A29S-06	535	490	51	0	202	0	10	148	2	26	34	0	0
TCGA-EE-A29T-06	166	112	19	24	72	25	20	56	5	0	14	0	0
TCGA-EE-A29V-06	475	585	37	0	141	3	33	71	4	16	1	0	46
TCGA-EE-A29W-06	21	28	6	3	10	1	8	8	0	0	0	2	6
TCGA-EE-A29X-06	71	78	3	3	28	2	0	12	0	3	2	2	1
TCGA-EE-A2A0-06	230	125	12	0	72	4	8	34	3	1	25	1	18
TCGA-EE-A2A1-06	188	156	28	0	63	0	18	60	0	0	2	0	14
TCGA-EE-A2A2-06	733	760	88	3	224	0	77	81	0	0	10	22	76
TCGA-EE-A2A5-06	125	165	30	0	63	0	3	34	0	2	1	0	15
TCGA-EE-A2A6-06	120	144	15	0	72	1	0	65	0	0	0	0	0
TCGA-EE-A2GB-06	330	333	18	0	122	0	0	94	0	6	4	4	0
TCGA-EE-A2GC-06	1155	1175	110	0	459	0	25	305	4	0	0	1	0
TCGA-EE-A2GD-06	287	212	25	0	115	0	9	77	2	7	9	1	0
TCGA-EE-A2GE-06	105	129	9	0	37	3	0	13	1	0	5	0	24
TCGA-EE-A2GH-06	154	146	1	7	66	6	4	35	3	0	4	0	0
TCGA-EE-A2GI-06	758	723	101	0	302	0	38	195	0	17	0	0	8
TCGA-EE-A2GJ-06	589	504	22	0	206	0	15	148	3	21	63	18	21
TCGA-EE-A2GK-06	0	0	0	2	0	0	0	0	0	0	0	0	2
TCGA-EE-A2GL-06	172	194	19	0	45	0	1	47	3	4	3	9	0
TCGA-EE-A2GM-06	338	340	41	0	130	0	21	74	0	0	0	0	30
TCGA-EE-A2GN-06	178	198	24	1	73	1	0	32	3	0	10	0	49
TCGA-EE-A2GO-06	1014	1050	87	0	300	0	46	260	4	0	0	20	0
TCGA-EE-A2GP-06	335	278	0	6	120	0	29	90	0	2	4	0	0
TCGA-EE-A2GR-06	713	892	71	0	277	0	60	165	2	0	0	9	26
TCGA-EE-A2GS-06	155	154	27	0	70	0	12	42	0	0	8	0	0
TCGA-EE-A2GT-06	186	118	0	3	46	0	41	38	9	1	18	2	0
TCGA-EE-A2GU-06	346	260	18	0	122	6	1	59	0	0	11	5	0
TCGA-EE-A2M5-06	866	1092	113	0	314	0	23	233	6	0	0	29	89
TCGA-EE-A2M6-06	274	240	32	1	87	9	3	53	3	6	16	8	14
TCGA-EE-A2M7-06	11	12	0	23	8	1	9	9	4	2	5	2	0
TCGA-EE-A2M8-06	49	28	1	0	29	0	8	26	2	6	2	0	0
TCGA-EE-A2MC-06	368	282	78	0	114	0	9	154	5	12	0	2	6
TCGA-EE-A2MD-06	839	758	37	0	365	0	4	317	3	0	8	0	0
TCGA-EE-A2ME-06	12	10	1	1	3	0	4	6	0	0	4	0	1
TCGA-EE-A2MF-06	404	247	57	0	169	0	5	89	3	20	12	19	7
TCGA-EE-A2MG-06	116	82	4	5	31	0	14	15	0	0	8	0	2
TCGA-EE-A2MH-06	60	85	1	0	17	6	2	19	0	2	7	2	0
TCGA-EE-A2MI-06	593	449	67	0	214	0	18	122	2	15	0	0	8
TCGA-EE-A2MJ-06	1032	828	22	0	418	0	7	313	5	0	23	4	0
TCGA-EE-A2MK-06	131	113	10	0	79	0	0	33	0	5	7	1	25
TCGA-EE-A2ML-06	222	294	50	0	84	0	6	66	0	0	0	0	36
TCGA-EE-A2MM-06	296	246	4	10	91	7	6	101	0	0	0	0	0
TCGA-EE-A2MN-06	58	72	0	0	34	1	2	19	1	1	17	0	0
TCGA-EE-A2MP-06	116	143	17	0	39	5	8	41	0	6	11	0	7
TCGA-EE-A2MQ-06	105	129	4	9	36	0	9	46	6	0	17	4	0
TCGA-EE-A2MR-06	1587	1471	0	0	923	0	0	1014	0	0	66	0	0
TCGA-EE-A2MS-06	1311	1625	107	0	566	0	0	367	6	0	0	0	0
TCGA-EE-A2MT-06	454	454	54	0	149	0	30	109	3	0	0	0	6
TCGA-EE-A2MU-06	311	302	21	0	141	0	2	94	3	0	0	36	0
TCGA-EE-A3AA-06	738	687	0	0	367	0	0	226	0	0	31	1	0
TCGA-EE-A3AB-06	206	206	5	0	40	0	9	17	9	330	39	24	24
TCGA-EE-A3AC-06	505	480	0	0	210	0	23	106	0	16	39	6	0
TCGA-EE-A3AD-06	193	207	28	0	73	1	8	55	1	10	1	0	19
TCGA-EE-A3AE-06	760	654	0	0	360	0	18	200	0	0	20	1	0
TCGA-EE-A3AF-06	483	565	33	5	114	7	44	65	11	6	0	4	24
TCGA-EE-A3AG-06	828	903	53	0	292	0	9	199	3	0	25	0	0
TCGA-EE-A3AH-06	184	179	21	0	64	3	0	46	0	0	0	3	8
TCGA-EE-A3J3-06	52	76	8	0	21	11	14	30	6	0	9	0	0
TCGA-EE-A3J4-06	118	115	8	1	63	9	36	16	1	2	15	15	19
TCGA-EE-A3J5-06	1151	969	104	0	358	0	57	231	6	54	0	10	0
TCGA-EE-A3J7-06	370	551	38	13	147	25	42	99	0	15	9	7	34
TCGA-EE-A3J8-06	144	100	2	2	64	4	0	33	3	4	15	0	0
TCGA-EE-A3JA-06	584	430	28	0	228	0	35	128	2	0	0	0	0
TCGA-EE-A3JB-06	253	330	27	6	107	9	16	51	5	7	9	10	29
TCGA-EE-A3JD-06	1042	996	146	0	428	0	0	475	0	8	7	0	0
TCGA-EE-A3JE-06	104	138	11	0	37	3	0	41	0	0	26	1	8
TCGA-EE-A3JH-06	68	82	2	0	33	4	22	17	0	0	14	0	3
TCGA-EE-A3JI-06	481	522	46	10	197	2	50	77	8	3	42	3	95
TCGA-ER-A193-06	961	814	140	0	347	0	64	248	2	18	0	21	4
TCGA-ER-A194-01	683	727	19	3	229	0	20	160	4	0	21	0	0
TCGA-ER-A195-06	130	117	0	0	52	0	4	38	0	0	7	0	0
TCGA-ER-A196-01	0	2	0	1	1	9	0	3	0	3	6	0	0
TCGA-ER-A197-06	1	0	0	2	0	0	17	0	1	11	16	1	3
TCGA-ER-A198-06	210	253	10	7	76	0	33	52	2	0	9	0	0
TCGA-ER-A199-06	125	123	15	0	51	0	0	41	2	0	14	1	0
TCGA-ER-A19A-06	94	64	7	0	35	1	2	43	0	0	2	0	0
TCGA-ER-A19B-06	13	16	0	0	10	0	6	13	2	50	20	1	0
TCGA-ER-A19C-06	35	35	0	4	23	4	0	1	0	0	6	2	12
TCGA-ER-A19D-06	209	210	25	0	69	0	31	78	5	0	9	0	6
TCGA-ER-A19E-06	180	169	45	3	80	7	16	71	7	16	23	0	0
TCGA-ER-A19F-06	468	446	70	0	158	0	0	122	0	7	0	0	42
TCGA-ER-A19G-06	231	265	1	4	76	6	11	64	1	12	18	9	0
TCGA-ER-A19H-06	107	107	31	0	30	0	7	46	0	0	0	0	45
TCGA-ER-A19J-06	115	73	1	0	43	0	19	29	2	0	9	0	0
TCGA-ER-A19K-01	244	143	0	4	53	11	19	17	4	1	2	4	0
TCGA-ER-A19L-06	26	22	0	1	7	0	1	4	3	0	8	2	0
TCGA-ER-A19M-06	230	264	7	2	84	3	13	64	0	0	10	0	0
TCGA-ER-A19N-06	227	226	27	0	94	0	0	50	0	0	0	5	33
TCGA-ER-A19O-06	88	69	0	3	34	2	0	34	0	12	2	0	0
TCGA-ER-A19P-06	112	106	19	188	36	0	0	27	9	0	112	0	31
TCGA-ER-A19Q-06	44	55	0	0	16	4	2	33	0	0	9	0	0
TCGA-ER-A19S-06	105	79	6	2	32	5	12	6	2	15	9	2	0
TCGA-ER-A19T-01	4	13	0	6	3	10	6	0	4	2	18	3	1
TCGA-ER-A19W-06	143	162	5	0	77	23	0	38	4	12	24	0	0
TCGA-ER-A1A1-06	35	32	0	0	5	0	3	0	0	0	1	0	18
TCGA-ER-A2NB-01	3	11	0	13	0	8	13	6	3	7	16	5	0
TCGA-ER-A2NC-06	204	183	31	2	63	0	12	47	8	0	0	0	2
TCGA-ER-A2ND-06	31	22	12	2	11	6	16	16	0	20	8	1	0
TCGA-ER-A2NE-06	49	56	4	6	29	0	0	19	6	7	3	0	0
TCGA-ER-A2NF-01	17	9	1	0	1	4	7	1	0	0	1	0	0
TCGA-ER-A2NG-06	118	109	0	0	38	0	0	18	23	0	31	10	0
TCGA-ER-A2NH-06	158	133	0	0	63	0	0	46	1	0	14	0	0
TCGA-ER-A3ES-06	1	0	6	0	0	11	4	3	1	0	1	2	0
TCGA-ER-A3ET-06	13	6	9	12	4	9	18	0	10	7	24	4	0
TCGA-ER-A3EV-06	7	8	0	13	1	12	10	0	13	0	29	4	2
TCGA-ER-A3PL-06	182	221	16	0	55	1	2	20	0	0	0	0	22
TCGA-ER-A42H-01	3	1	0	12	3	16	26	1	3	0	11	2	0
TCGA-ER-A42K-06	71	99	23	0	38	1	0	22	0	1	4	1	13
TCGA-ER-A42L-06	580	402	14	4	191	0	0	58	0	8	38	0	6
TCGA-FR-A2OS-01	0	0	0	0	0	1	9	3	0	3	0	0	0
TCGA-FR-A3R1-01	191	227	43	0	41	0	11	74	0	0	0	0	2
