Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-B6-A0RO-01	8	1	17	8	9
TCGA-B6-A0RP-01	2	0	14	10	4
TCGA-B6-A0RQ-01	26	5	6	11	8
TCGA-B6-A0RT-01	0	21	38	10	3
TCGA-B6-A0RU-01	13	1	16	15	13
TCGA-B6-A0RV-01	33	28	0	6	0
TCGA-B6-A0WS-01	4	2	1	0	11
TCGA-B6-A0WT-01	4	0	0	11	7
TCGA-B6-A0WV-01	1	5	14	8	9
TCGA-B6-A0WW-01	13	5	10	15	4
TCGA-B6-A0WX-01	0	2	17	17	9
TCGA-B6-A0WY-01	8	4	3	9	11
TCGA-B6-A0WZ-01	68	27	0	0	0
TCGA-B6-A0X0-01	5	0	11	9	0
TCGA-B6-A0X1-01	9	16	42	9	16
TCGA-B6-A0X4-01	4	0	5	13	0
TCGA-B6-A0X5-01	14	2	15	8	9
TCGA-B6-A0X7-01	7	2	0	13	1
TCGA-B6-A1KN-01	6	2	35	15	14
TCGA-B6-A2IU-01	26	2	0	19	7
TCGA-B6-A401-01	0	1	8	15	4
TCGA-B6-A409-01	5	4	18	24	5
TCGA-B6-A40B-01	22	6	17	13	8
TCGA-B6-A40C-01	5	2	12	31	4
TCGA-BH-A0AU-01	0	3	7	9	4
TCGA-BH-A0AV-01	5	13	48	5	16
TCGA-BH-A0AY-01	11	2	14	19	0
TCGA-BH-A0AZ-01	17	11	33	0	9
TCGA-BH-A0B0-01	68	25	0	6	0
TCGA-BH-A0B3-01	2	1	7	8	0
TCGA-BH-A0B6-01	677	613	0	0	0
TCGA-BH-A0B7-01	5	8	9	20	0
TCGA-BH-A0B8-01	11	0	16	4	3
TCGA-BH-A0BA-01	7	4	4	7	7
TCGA-BH-A0BC-01	15	5	3	19	3
TCGA-BH-A0BF-01	0	8	9	10	6
TCGA-BH-A0BG-01	5	5	22	7	6
TCGA-BH-A0BJ-01	2	0	8	4	3
TCGA-BH-A0BL-01	0	2	46	21	0
TCGA-BH-A0BM-01	5	0	10	3	1
TCGA-BH-A0BO-01	0	6	1	8	16
TCGA-BH-A0BP-01	29	39	69	58	1
TCGA-BH-A0BQ-01	5	0	9	14	2
TCGA-BH-A0BS-01	2	0	11	6	4
TCGA-BH-A0BT-01	11	1	9	19	8
TCGA-BH-A0BV-01	7	2	6	8	1
TCGA-BH-A0BW-01	14	9	40	14	26
TCGA-BH-A0BZ-01	11	34	189	23	39
TCGA-BH-A0C0-01	8	1	21	4	14
TCGA-BH-A0C1-01	13	1	2	20	14
TCGA-BH-A0C3-01	0	0	6	6	6
TCGA-BH-A0C7-01	1	4	14	29	10
TCGA-BH-A0DD-01	6	4	0	20	7
TCGA-BH-A0DE-01	7	0	17	8	1
TCGA-BH-A0DG-01	11	11	11	7	7
TCGA-BH-A0DH-01	17	5	0	23	7
TCGA-BH-A0DI-01	13	15	13	16	5
TCGA-BH-A0DK-01	5	4	26	12	6
TCGA-BH-A0DL-01	17	9	3	21	15
TCGA-BH-A0DO-01	5	4	7	10	4
TCGA-BH-A0DP-01	9	0	6	3	1
TCGA-BH-A0DQ-01	0	2	11	16	6
TCGA-BH-A0DT-01	5	0	2	6	2
TCGA-BH-A0DV-01	6	0	7	0	2
TCGA-BH-A0DX-01	42	21	0	14	0
TCGA-BH-A0DZ-01	93	124	0	0	0
TCGA-BH-A0E0-01	1	2	4	17	0
TCGA-BH-A0E1-01	2	6	0	11	0
TCGA-BH-A0E9-01	2	0	6	16	4
TCGA-BH-A0EA-01	6	2	5	12	7
TCGA-BH-A0EI-01	2	0	4	12	6
TCGA-BH-A0H3-01	3	0	6	8	0
TCGA-BH-A0H5-01	94	74	0	1	0
TCGA-BH-A0H7-01	0	5	0	6	6
TCGA-BH-A0H9-01	6	0	11	2	4
TCGA-BH-A0HA-01	23	22	0	121	216
TCGA-BH-A0HI-01	11	2	6	15	1
TCGA-BH-A0HK-01	37	11	0	14	1
TCGA-BH-A0HN-01	8	2	4	20	0
TCGA-BH-A0HP-01	179	178	0	0	0
TCGA-BH-A0RX-01	4	2	0	41	2
TCGA-BH-A0W3-01	2	2	12	6	1
TCGA-BH-A0W4-01	12	4	7	13	3
TCGA-BH-A0W5-01	0	1	8	14	6
TCGA-BH-A0W7-01	121	140	0	0	0
TCGA-BH-A0WA-01	24	6	60	7	16
TCGA-BH-A18F-01	35	2	7	23	0
TCGA-BH-A18G-01	0	9	23	445	1191
TCGA-BH-A18H-01	16	6	11	6	15
TCGA-BH-A18I-01	6	3	0	22	0
TCGA-BH-A18J-01	61	39	0	0	11
TCGA-BH-A18K-01	22	17	15	8	6
TCGA-BH-A18L-01	0	4	17	33	11
TCGA-BH-A18M-01	3	4	0	10	1
TCGA-BH-A18N-01	0	1	6	20	16
TCGA-BH-A18P-01	238	190	0	10	0
TCGA-BH-A18Q-01	3	7	79	8	10
TCGA-BH-A18R-01	10	2	22	3	5
TCGA-BH-A18S-01	0	3	18	4	12
TCGA-BH-A18T-01	5	14	59	10	14
TCGA-BH-A18U-01	77	42	9	29	21
TCGA-BH-A18V-01	24	85	125	0	16
TCGA-BH-A1EO-01	9	0	5	36	0
TCGA-BH-A1ET-01	1	0	13	11	8
TCGA-BH-A1EU-01	5	1	8	10	10
