Samples	SBS96A	SBS96B	SBS96C
TCGA-EE-A2GT-06	425	0	37
TCGA-EE-A2GU-06	828	0	0
TCGA-EE-A2M5-06	2664	14	87
TCGA-EE-A2M6-06	720	3	23
TCGA-EE-A2M7-06	34	35	17
TCGA-EE-A2M8-06	133	5	13
TCGA-EE-A2MC-06	988	0	42
TCGA-EE-A2MD-06	2282	0	49
TCGA-EE-A2ME-06	34	0	8
TCGA-EE-A2MF-06	1027	2	3
TCGA-EE-A2MG-06	271	0	6
TCGA-EE-A2MH-06	179	0	22
TCGA-EE-A2MI-06	1488	0	0
TCGA-EE-A2MJ-06	2652	0	0
TCGA-EE-A2MK-06	378	25	1
TCGA-EE-A2ML-06	705	23	30
TCGA-EE-A2MM-06	729	0	32
TCGA-EE-A2MN-06	182	14	9
TCGA-EE-A2MP-06	353	2	38
TCGA-EE-A2MQ-06	318	20	27
TCGA-EE-A2MR-06	4780	13	268
TCGA-EE-A2MS-06	3884	55	43
TCGA-EE-A2MT-06	1225	0	34
TCGA-EE-A2MU-06	881	8	21
TCGA-EE-A3AA-06	2040	0	10
TCGA-EE-A3AB-06	715	66	128
TCGA-EE-A3AC-06	1358	0	27
TCGA-EE-A3AD-06	557	11	28
TCGA-EE-A3AE-06	2009	4	0
TCGA-EE-A3AF-06	1296	0	65
TCGA-EE-A3AG-06	2286	0	26
TCGA-EE-A3AH-06	503	0	5
TCGA-EE-A3J3-06	165	14	48
TCGA-EE-A3J4-06	331	30	57
TCGA-EE-A3J5-06	2905	0	35
TCGA-EE-A3J7-06	1155	53	142
TCGA-EE-A3J8-06	359	8	4
TCGA-EE-A3JA-06	1435	0	0
TCGA-EE-A3JB-06	754	52	53
TCGA-EE-A3JD-06	3021	0	81
TCGA-EE-A3JE-06	335	8	26
TCGA-EE-A3JH-06	203	7	35
TCGA-EE-A3JI-06	1369	95	72
TCGA-ER-A193-06	2551	0	68
TCGA-ER-A194-01	1832	0	34
TCGA-ER-A195-06	342	0	6
TCGA-ER-A196-01	3	4	18
TCGA-ER-A197-06	3	18	31
TCGA-ER-A198-06	597	8	47
TCGA-ER-A199-06	357	12	3
TCGA-ER-A19A-06	238	0	10
TCGA-ER-A19B-06	62	28	41
TCGA-ER-A19C-06	102	18	2
TCGA-ER-A19D-06	588	0	54
TCGA-ER-A19E-06	516	47	54
TCGA-ER-A19F-06	1303	0	10
TCGA-ER-A19G-06	651	0	47
TCGA-ER-A19H-06	333	6	34
TCGA-ER-A19J-06	273	0	18
TCGA-ER-A19K-01	494	0	8
TCGA-ER-A19L-06	67	6	1
TCGA-ER-A19M-06	646	0	31
TCGA-ER-A19N-06	648	10	4
TCGA-ER-A19O-06	231	0	13
TCGA-ER-A19P-06	302	317	21
TCGA-ER-A19Q-06	139	0	24
TCGA-ER-A19S-06	257	2	16
TCGA-ER-A19T-01	15	24	31
TCGA-ER-A19W-06	413	30	45
TCGA-ER-A1A1-06	94	0	0
TCGA-ER-A2NB-01	13	29	43
TCGA-ER-A2NC-06	539	2	11
TCGA-ER-A2ND-06	92	10	43
TCGA-ER-A2NE-06	146	29	4
TCGA-ER-A2NF-01	30	0	11
TCGA-ER-A2NG-06	314	33	0
TCGA-ER-A2NH-06	415	0	0
TCGA-ER-A3ES-06	2	2	25
TCGA-ER-A3ET-06	27	50	39
TCGA-ER-A3EV-06	15	49	35
TCGA-ER-A3PL-06	517	0	2
TCGA-ER-A42H-01	5	21	52
TCGA-ER-A42K-06	234	26	13
TCGA-ER-A42L-06	1301	0	0
TCGA-FR-A2OS-01	1	0	15
TCGA-FR-A3R1-01	550	0	39
TCGA-FR-A3YN-06	752	0	36
TCGA-FR-A3YO-06	1150	0	39
TCGA-FR-A44A-06	361	21	38
TCGA-FR-A69P-06	284	0	21
TCGA-FR-A726-01	10079	67	0
