Samples	SBS96A	SBS96B
TCGA-VQ-A8P8-01	103	27
TCGA-VQ-A8PB-01	832	57
TCGA-VQ-A8PC-01	41	119
TCGA-VQ-A8PD-01	75	29
TCGA-VQ-A8PE-01	86	67
TCGA-VQ-A8PF-01	60	75
TCGA-VQ-A8PH-01	91	150
TCGA-VQ-A8PJ-01	24	162
TCGA-VQ-A8PK-01	3	113
TCGA-VQ-A8PM-01	24	42
TCGA-VQ-A8PO-01	799	103
TCGA-VQ-A8PP-01	1492	76
TCGA-VQ-A8PQ-01	13	4
TCGA-VQ-A8PS-01	32	27
TCGA-VQ-A8PT-01	1405	28
TCGA-VQ-A8PU-01	76	80
TCGA-VQ-A8PX-01	608	82
TCGA-VQ-A8PY-01	53	61
TCGA-VQ-A8PZ-01	86	21
TCGA-VQ-A91A-01	104	53
TCGA-VQ-A91D-01	2621	0
TCGA-VQ-A91E-01	746	114
TCGA-VQ-A91K-01	1291	178
TCGA-VQ-A91N-01	89	66
TCGA-VQ-A91Q-01	59	78
TCGA-VQ-A91S-01	3	309
TCGA-VQ-A91U-01	130	59
TCGA-VQ-A91V-01	0	298
TCGA-VQ-A91W-01	26	23
TCGA-VQ-A91X-01	70	185
TCGA-VQ-A91Y-01	41	15
TCGA-VQ-A91Z-01	87	84
TCGA-VQ-A922-01	53	154
TCGA-VQ-A923-01	81	46
TCGA-VQ-A924-01	1211	112
TCGA-VQ-A925-01	27	128
TCGA-VQ-A927-01	29	38
TCGA-VQ-A928-01	42	34
TCGA-VQ-A92D-01	91	72
TCGA-VQ-A94O-01	54	25
TCGA-VQ-A94P-01	6	94
TCGA-VQ-A94R-01	134	238
TCGA-VQ-A94T-01	66	34
TCGA-VQ-A94U-01	109	84
TCGA-VQ-AA64-01	70	239
TCGA-VQ-AA68-01	58	150
TCGA-VQ-AA69-01	68	13
TCGA-VQ-AA6A-01	56	66
TCGA-VQ-AA6B-01	78	22
TCGA-VQ-AA6D-01	853	57
TCGA-VQ-AA6F-01	36	26
TCGA-VQ-AA6G-01	96	70
TCGA-VQ-AA6I-01	79	47
TCGA-VQ-AA6J-01	55	121
TCGA-VQ-AA6K-01	63	29
TCGA-ZA-A8F6-01	31	27
TCGA-ZQ-A9CR-01	57	87
