Samples	SBS96A	SBS96B
TCGA-EQ-8122-01	1.12E+00	1.12E+00
TCGA-EQ-A4SO-01	9.87E-01	9.87E-01
TCGA-F1-6177-01	1.32E+00	1.33E+00
TCGA-F1-6874-01	1.69E+00	1.69E+00
TCGA-F1-6875-01	7.82E-01	7.82E-01
TCGA-F1-A448-01	9.67E-01	9.67E-01
TCGA-F1-A72C-01	6.32E-01	6.32E-01
TCGA-FP-7735-01	6.89E-01	6.92E-01
TCGA-FP-7829-01	1.26E+00	1.26E+00
TCGA-FP-7916-01	8.15E-01	8.14E-01
TCGA-FP-7998-01	6.61E-01	6.62E-01
TCGA-FP-8099-01	9.17E-01	9.19E-01
TCGA-FP-8209-01	0.00E+00	0.00E+00
TCGA-FP-8210-01	1.48E-01	1.48E-01
TCGA-FP-8211-01	7.64E-01	7.64E-01
TCGA-FP-8631-01	7.25E-01	7.25E-01
TCGA-FP-A4BE-01	1.19E+00	1.19E+00
TCGA-FP-A4BF-01	9.93E-01	9.95E-01
TCGA-FP-A8CX-01	7.56E-01	7.56E-01
TCGA-FP-A9TM-01	1.15E+00	1.15E+00
TCGA-HF-7131-01	6.14E-01	6.14E-01
TCGA-HF-7132-01	1.60E+00	1.60E+00
TCGA-HF-7133-01	6.89E-01	6.89E-01
TCGA-HF-7134-01	1.24E+00	1.24E+00
TCGA-HF-7136-01	6.68E-01	6.66E-01
TCGA-HF-A5NB-01	1.44E+00	1.44E+00
TCGA-HJ-7597-01	4.63E-01	4.63E-01
TCGA-HU-8238-01	8.69E-01	8.69E-01
TCGA-HU-8243-01	9.29E-01	9.29E-01
TCGA-HU-8244-01	9.17E-01	9.17E-01
TCGA-HU-8245-01	6.08E-01	6.07E-01
TCGA-HU-8249-01	1.02E+00	1.02E+00
TCGA-HU-8602-01	1.57E+00	1.57E+00
TCGA-HU-8604-01	1.11E+00	1.11E+00
TCGA-HU-8608-01	7.62E-01	7.61E-01
TCGA-HU-8610-01	6.28E-01	6.28E-01
TCGA-HU-A4G2-01	6.00E-01	6.00E-01
TCGA-HU-A4G3-01	8.69E-01	8.70E-01
TCGA-HU-A4G6-01	6.96E-01	6.97E-01
TCGA-HU-A4G8-01	1.41E+00	1.41E+00
TCGA-HU-A4G9-01	1.25E+00	1.25E+00
TCGA-HU-A4GC-01	9.57E-01	9.57E-01
TCGA-HU-A4GD-01	8.75E-01	8.76E-01
TCGA-HU-A4GF-01	8.11E-01	8.11E-01
TCGA-HU-A4GH-01	8.85E-01	8.85E-01
TCGA-HU-A4GJ-01	1.13E-01	1.14E-01
TCGA-HU-A4GN-01	1.57E+00	1.57E+00
TCGA-HU-A4GP-01	1.34E+00	1.34E+00
TCGA-HU-A4GQ-01	1.79E+00	1.79E+00
