Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-DA-A3F5-06	214	137	31	67	8
TCGA-DA-A3F8-06	1017	335	292	0	0
TCGA-DA-A95V-06	170	106	40	47	9
TCGA-DA-A95W-06	88	71	47	10	0
TCGA-DA-A95X-06	492	79	58	41	14
TCGA-DA-A95Y-06	286	95	154	14	12
TCGA-DA-A95Z-06	1853	279	419	105	0
TCGA-DA-A960-01	875	174	55	68	15
TCGA-EB-A1NK-01	116	39	14	23	4
TCGA-EB-A24C-01	3	2	0	27	3
TCGA-EB-A24D-01	406	236	126	24	23
TCGA-EB-A299-01	107	66	27	7	0
TCGA-EB-A3HV-01	36	4	0	22	1
TCGA-EB-A3XB-01	385	130	158	23	0
TCGA-EB-A3XC-01	266	170	76	28	28
TCGA-EB-A3XD-01	379	97	27	14	3
TCGA-EB-A3XE-01	0	1	14	7	0
TCGA-EB-A3XF-01	336	77	121	2	0
TCGA-EB-A3Y6-01	519	214	0	73	35
TCGA-EB-A3Y7-01	1029	199	160	47	83
TCGA-EB-A41A-01	1794	324	502	0	0
TCGA-EB-A41B-01	497	18	27	13	0
TCGA-EB-A42Y-01	18	1	9	35	18
TCGA-EB-A42Z-01	75	34	13	35	0
TCGA-EB-A430-01	281	167	45	25	11
TCGA-EB-A431-01	1408	776	158	0	55
TCGA-EB-A44N-01	97	63	29	19	0
TCGA-EB-A44O-01	338	253	52	36	13
TCGA-EB-A44P-01	254	164	45	10	5
TCGA-EB-A44Q-06	5	3	18	27	4
TCGA-EB-A44R-06	0	0	10	52	9
TCGA-EB-A4IQ-01	4	2	2	12	2
TCGA-EB-A4IS-01	344	297	114	11	7
TCGA-EB-A4OY-01	0	9	0	43	20
TCGA-EB-A4OZ-01	0	2	2	6	6
TCGA-EB-A4P0-01	109	92	23	27	7
TCGA-EB-A4XL-01	327	223	92	6	18
TCGA-EB-A51B-01	242	183	129	13	0
TCGA-EB-A550-01	122	51	0	30	0
TCGA-EB-A551-01	329	56	39	28	22
TCGA-EB-A553-01	164	146	37	64	24
TCGA-EB-A57M-01	5	0	0	49	5
TCGA-EB-A5FP-01	352	168	0	20	17
TCGA-EB-A5KH-06	0	10	0	41	3
TCGA-EB-A5SE-01	242	129	0	16	11
TCGA-EB-A5SF-01	23	0	0	14	5
TCGA-EB-A5SG-06	209	77	77	0	6
TCGA-EB-A5SH-06	1	4	39	71	7
TCGA-EB-A5UL-06	307	186	65	46	28
TCGA-EB-A5UM-01	393	215	111	33	0
TCGA-EB-A5UN-06	487	334	140	35	2
TCGA-EB-A5VU-01	2	20	4	38	1
TCGA-EB-A6L9-06	3	0	2	23	0
TCGA-EB-A6QY-01	631	173	6	31	31
TCGA-EB-A6QZ-01	160	136	69	18	4
TCGA-EB-A6R0-01	294	185	0	37	12
TCGA-EB-A82B-01	0	16	0	42	7
TCGA-EB-A82C-01	16	0	7	24	1
TCGA-EB-A85I-01	177	54	25	48	2
TCGA-EB-A85J-01	405	59	91	9	0
TCGA-EB-A97M-01	260	83	56	30	0
TCGA-EE-A17X-06	742	209	79	42	18
TCGA-EE-A17Y-06	102	74	41	13	2
TCGA-EE-A17Z-06	0	3	0	20	3
TCGA-EE-A180-06	467	150	37	68	3
TCGA-EE-A181-06	2515	887	521	0	81
TCGA-EE-A182-06	1481	260	225	30	44
TCGA-EE-A183-06	697	133	153	30	3
TCGA-EE-A184-06	19	0	0	391	0
TCGA-EE-A185-06	169	73	0	26	0
TCGA-EE-A20B-06	128	81	29	2	4
TCGA-EE-A20C-06	1363	953	407	57	91
TCGA-EE-A20F-06	490	124	6	12	19
TCGA-EE-A20H-06	378	160	241	13	21
TCGA-EE-A20I-06	3	3	0	21	3
TCGA-EE-A29A-06	184	135	23	9	3
TCGA-EE-A29B-06	495	139	88	0	27
TCGA-EE-A29C-06	329	200	11	24	9
TCGA-EE-A29D-06	3027	1460	757	0	0
TCGA-EE-A29E-06	3983	701	97	0	108
TCGA-EE-A29G-06	300	69	77	7	21
TCGA-EE-A29H-06	227	89	88	12	2
TCGA-EE-A29L-06	2021	537	52	55	95
TCGA-EE-A29M-06	2199	621	427	0	0
TCGA-EE-A29N-06	387	335	55	37	33
TCGA-EE-A29P-06	160	133	117	0	0
TCGA-EE-A29Q-06	266	91	10	28	14
TCGA-EE-A29R-06	614	204	104	7	5
TCGA-EE-A29S-06	915	321	230	17	15
TCGA-EE-A29T-06	344	12	51	106	0
TCGA-EE-A29V-06	548	642	187	24	11
TCGA-EE-A29W-06	39	29	0	20	5
