Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-GF-A6C8-06	245	214	0	0	0	0	16	52	0
TCGA-GF-A6C9-06	2195	1120	0	0	0	52	0	487	0
TCGA-GF-A769-01	81	103	7	0	0	0	0	23	1
TCGA-GN-A262-06	199	269	3	0	0	0	1	23	0
TCGA-GN-A263-01	293	274	0	0	0	0	0	36	0
TCGA-GN-A264-06	2	13	8	3	7	8	5	10	5
TCGA-GN-A265-06	158	104	7	0	0	0	10	25	6
TCGA-GN-A266-06	2718	1873	0	0	0	100	0	656	0
TCGA-GN-A267-06	256	301	0	0	0	0	0	40	3
TCGA-GN-A268-06	235	156	0	0	0	9	16	35	0
TCGA-GN-A269-01	534	386	0	0	0	0	2	74	2
TCGA-GN-A26A-06	207	222	0	0	0	0	0	22	1
TCGA-GN-A26C-01	1345	882	0	0	0	24	0	256	0
TCGA-GN-A26D-06	12	0	15	6	13	2	8	2	0
TCGA-GN-A4U3-06	198	215	0	0	0	0	0	48	0
TCGA-GN-A4U4-06	543	345	0	0	0	0	14	73	0
TCGA-GN-A4U5-01	231	222	0	0	0	0	0	0	0
TCGA-GN-A4U7-06	120	200	3	0	0	0	4	18	2
TCGA-GN-A4U8-06	290	220	0	0	0	6	0	27	3
TCGA-GN-A4U9-06	4	0	9	16	17	0	13	3	15
TCGA-GN-A8LK-06	1467	1087	0	0	0	0	32	206	0
TCGA-GN-A8LL-06	6	11	5	6	28	2	12	0	0
TCGA-GN-A8LN-01	177	112	2	0	0	6	0	63	0
TCGA-GN-A9SD-06	78	85	11	0	9	3	0	18	0
TCGA-HR-A2OG-06	125	101	0	4	0	0	4	16	4
TCGA-HR-A2OH-06	58	68	0	0	0	0	6	24	1
TCGA-HR-A5NC-01	18	52	9	10	0	0	4	0	0
TCGA-IH-A3EA-01	1262	590	0	0	0	19	8	136	0
TCGA-LH-A9QB-06	164	137	9	0	0	0	0	49	0
