Samples	SBS96A	SBS96B	SBS96C
TCGA-E2-A1B0-01	12	38	10
TCGA-E2-A1B1-01	36	17	13
TCGA-E2-A1B4-01	10	15	17
TCGA-E2-A1B5-01	25	21	0
TCGA-E2-A1B6-01	2	18	36
TCGA-E2-A1BC-01	2	16	23
TCGA-E2-A1BD-01	1	30	12
TCGA-E2-A1IE-01	0	14	16
TCGA-E2-A1IF-01	0	12	12
TCGA-E2-A1IG-01	12	28	17
TCGA-E2-A1IH-01	39	21	25
TCGA-E2-A1II-01	0	16	18
TCGA-E2-A1IJ-01	0	12	6
TCGA-E2-A1IK-01	3	11	3
TCGA-E2-A1IL-01	1	16	14
TCGA-E2-A1IN-01	202	21	25
TCGA-E2-A1IO-01	2	14	0
TCGA-E2-A1IU-01	10	13	8
TCGA-E2-A1L6-01	4	16	8
TCGA-E2-A1L7-01	5	14	62
TCGA-E2-A1L8-01	7	14	17
TCGA-E2-A1L9-01	4	15	9
TCGA-E2-A1LA-01	10	22	75
TCGA-E2-A1LB-01	29	13	13
TCGA-E2-A1LG-01	179	13	27
TCGA-E2-A1LH-01	63	17	151
TCGA-E2-A1LI-01	13	4	20
TCGA-E2-A1LK-01	0	54	0
TCGA-E2-A1LL-01	4	21	36
TCGA-E2-A2P6-01	138	48	0
TCGA-E2-A56Z-01	3	36	21
TCGA-E2-A570-01	2	15	13
TCGA-E2-A572-01	3	20	6
TCGA-E2-A573-01	7	28	37
TCGA-E2-A574-01	72	51	33
TCGA-E2-A576-01	2	44	24
TCGA-E2-A9RU-01	24	70	13
TCGA-E9-A1N3-01	3	8	20
TCGA-E9-A1N4-01	13	16	5
TCGA-E9-A1N5-01	18	11	10
TCGA-E9-A1N8-01	14	9	13
TCGA-E9-A1N9-01	9	29	28
TCGA-E9-A1NA-01	24	20	73
TCGA-E9-A1NE-01	6	8	48
TCGA-E9-A1NF-01	27	20	14
TCGA-E9-A1NG-01	1	11	9
TCGA-E9-A1NH-01	3	21	13
TCGA-E9-A1QZ-01	0	9	14
TCGA-E9-A1R0-01	10	25	0
TCGA-E9-A1R2-01	14	13	39
TCGA-E9-A1R3-01	4	16	5
TCGA-E9-A1R4-01	101	25	27
TCGA-E9-A1R5-01	6	28	17
TCGA-E9-A1R6-01	3	26	7
TCGA-E9-A1R7-01	13	18	32
TCGA-E9-A1RA-01	6	10	9
TCGA-E9-A1RB-01	0	20	18
TCGA-E9-A1RC-01	2	37	16
TCGA-E9-A1RD-01	8	11	4
TCGA-E9-A1RE-01	4	50	12
TCGA-E9-A1RF-01	21	43	106
TCGA-E9-A1RG-01	9	13	19
TCGA-E9-A1RH-01	17	38	56
TCGA-E9-A1RI-01	6	13	10
TCGA-E9-A226-01	50	25	4
TCGA-E9-A227-01	5	4	10
TCGA-E9-A228-01	12	34	6
TCGA-E9-A229-01	6	16	8
TCGA-E9-A22A-01	10	9	17
TCGA-E9-A22B-01	16	38	22
TCGA-E9-A22D-01	7	33	0
TCGA-E9-A22E-01	37	18	89
TCGA-E9-A22G-01	8	16	93
TCGA-E9-A22H-01	3	23	0
TCGA-E9-A243-01	20	17	52
TCGA-E9-A244-01	5	41	75
TCGA-E9-A245-01	1	3	19
TCGA-E9-A247-01	0	47	0
TCGA-E9-A248-01	7	21	0
TCGA-E9-A249-01	1	21	3
TCGA-E9-A24A-01	0	11	11
TCGA-E9-A295-01	5	51	53
TCGA-E9-A2JS-01	3	62	24
TCGA-E9-A2JT-01	28	0	0
TCGA-E9-A3HO-01	9	6	57
TCGA-E9-A3QA-01	24	3	35
TCGA-E9-A3X8-01	7	12	18
TCGA-E9-A54Y-01	22	32	4
TCGA-E9-A5FK-01	3	17	19
TCGA-E9-A5FL-01	27	28	78
TCGA-E9-A5UO-01	1	22	15
TCGA-E9-A6HE-01	2	19	1
TCGA-EW-A1IW-01	76	30	21
TCGA-EW-A1IX-01	30	0	12
TCGA-EW-A1IY-01	24	14	0
TCGA-EW-A1IZ-01	3	428	4
TCGA-EW-A1J1-01	0	15	8
TCGA-EW-A1J3-01	3	11	16
TCGA-EW-A1J5-01	540	0	0
TCGA-EW-A1J6-01	2	17	25
TCGA-EW-A1OV-01	120	20	0
TCGA-EW-A1OX-01	7	8	6
TCGA-EW-A1OZ-01	12	44	20
TCGA-EW-A1P0-01	0	8	20
