Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-B6-A0X7-01	1	4	7	3	0	0	0	8
TCGA-B6-A1KN-01	2	2	11	3	0	9	39	6
TCGA-B6-A2IU-01	1	13	11	21	0	8	0	0
TCGA-B6-A401-01	1	0	8	5	1	1	0	12
TCGA-B6-A409-01	3	3	15	7	4	3	8	13
TCGA-B6-A40B-01	4	14	8	1	5	5	10	19
TCGA-B6-A40C-01	1	4	24	0	0	0	16	9
TCGA-BH-A0AU-01	2	1	8	0	0	1	9	2
TCGA-BH-A0AV-01	11	3	0	11	30	11	0	21
TCGA-BH-A0AY-01	1	5	10	12	0	0	13	5
TCGA-BH-A0AZ-01	8	13	0	0	13	6	22	8
TCGA-BH-A0B0-01	21	46	2	30	0	0	0	0
TCGA-BH-A0B3-01	1	2	6	0	5	0	4	0
TCGA-BH-A0B6-01	524	574	0	192	0	0	0	0
TCGA-BH-A0B7-01	7	2	10	16	7	0	0	0
TCGA-BH-A0B8-01	0	4	1	8	5	1	7	8
TCGA-BH-A0BA-01	3	5	6	0	4	4	0	7
TCGA-BH-A0BC-01	3	9	12	5	0	0	0	16
TCGA-BH-A0BF-01	7	1	7	2	5	4	0	7
TCGA-BH-A0BG-01	3	5	6	0	20	3	0	8
TCGA-BH-A0BJ-01	0	0	1	4	0	1	5	6
TCGA-BH-A0BL-01	2	0	13	4	23	0	21	6
TCGA-BH-A0BM-01	0	3	2	0	0	0	12	2
TCGA-BH-A0BO-01	5	0	4	6	0	12	0	4
TCGA-BH-A0BP-01	31	16	28	52	27	2	32	8
TCGA-BH-A0BQ-01	0	4	11	0	0	0	8	7
TCGA-BH-A0BS-01	0	1	3	0	4	2	0	13
TCGA-BH-A0BT-01	1	4	13	13	9	7	1	0
TCGA-BH-A0BV-01	1	3	2	5	0	0	0	13
TCGA-BH-A0BW-01	7	11	9	0	24	18	1	33
TCGA-BH-A0BZ-01	29	13	20	2	108	26	80	18
TCGA-BH-A0C0-01	1	4	4	5	16	12	6	0
TCGA-BH-A0C1-01	0	9	18	0	1	6	0	16
TCGA-BH-A0C3-01	0	0	3	2	3	6	0	4
TCGA-BH-A0C7-01	3	2	14	0	0	2	0	37
TCGA-BH-A0DD-01	3	4	16	7	2	5	0	0
TCGA-BH-A0DE-01	0	2	1	7	3	0	3	17
TCGA-BH-A0DG-01	9	4	0	20	1	7	1	5
TCGA-BH-A0DH-01	3	13	17	2	2	5	0	10
TCGA-BH-A0DI-01	11	11	14	0	11	2	13	0
TCGA-BH-A0DK-01	2	4	9	0	0	4	34	0
TCGA-BH-A0DL-01	5	14	22	0	3	9	12	0
TCGA-BH-A0DO-01	3	3	6	8	7	3	0	0
TCGA-BH-A0DP-01	0	4	2	3	8	1	0	1
TCGA-BH-A0DQ-01	2	1	9	0	0	3	0	20
TCGA-BH-A0DT-01	0	3	5	0	3	0	0	4
TCGA-BH-A0DV-01	0	3	0	0	1	0	0	11
TCGA-BH-A0DX-01	15	32	12	0	0	0	9	9
TCGA-BH-A0DZ-01	101	78	0	38	0	0	0	0
TCGA-BH-A0E0-01	1	0	12	7	4	0	0	0
TCGA-BH-A0E1-01	4	1	7	7	0	0	0	0
TCGA-BH-A0E9-01	0	2	14	0	6	3	3	0
TCGA-BH-A0EA-01	1	2	4	6	0	2	0	17
TCGA-BH-A0EI-01	0	1	8	4	2	4	2	3
TCGA-BH-A0H3-01	0	1	1	0	0	0	0	15
TCGA-BH-A0H5-01	59	63	0	44	0	0	3	0
TCGA-BH-A0H7-01	4	1	5	1	0	4	1	1
TCGA-BH-A0H9-01	0	4	1	1	6	3	2	6
TCGA-BH-A0HA-01	17	25	137	3	0	180	0	20
TCGA-BH-A0HI-01	1	6	9	1	0	0	6	12
TCGA-BH-A0HK-01	9	22	10	17	5	0	0	0
TCGA-BH-A0HN-01	1	4	12	10	4	0	0	3
TCGA-BH-A0HP-01	151	144	0	62	0	0	0	0
TCGA-BH-A0RX-01	1	3	28	10	3	3	0	1
TCGA-BH-A0W3-01	2	3	3	0	6	1	0	8
TCGA-BH-A0W4-01	3	5	4	18	3	4	0	2
TCGA-BH-A0W5-01	1	0	11	2	2	4	6	3
TCGA-BH-A0W7-01	122	120	3	6	0	7	0	3
TCGA-BH-A0WA-01	6	12	4	8	41	10	10	22
TCGA-BH-A18F-01	1	16	12	21	0	0	11	6
TCGA-BH-A18G-01	4	10	538	27	19	950	105	15
TCGA-BH-A18H-01	5	6	0	14	0	10	0	19
TCGA-BH-A18I-01	2	4	16	9	0	0	0	0
TCGA-BH-A18J-01	30	53	6	0	2	10	10	0
TCGA-BH-A18K-01	13	14	2	12	9	6	2	10
TCGA-BH-A18L-01	3	0	24	10	5	8	15	0
TCGA-BH-A18M-01	3	2	7	4	2	0	0	0
TCGA-BH-A18N-01	2	0	16	0	5	11	0	9
TCGA-BH-A18P-01	160	185	3	89	0	1	0	0
TCGA-BH-A18Q-01	8	2	0	2	34	3	13	45
TCGA-BH-A18R-01	2	4	0	6	17	3	0	10
TCGA-BH-A18S-01	3	0	2	8	4	11	9	0
TCGA-BH-A18T-01	12	6	7	4	53	10	0	10
TCGA-BH-A18U-01	30	54	24	2	17	11	0	40
TCGA-BH-A18V-01	66	28	0	13	71	12	60	0
