Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-EB-A5UL-06	222	155	154	0	40	12	25	24
TCGA-EB-A5UM-01	276	227	169	0	64	0	13	3
TCGA-EB-A5UN-06	310	285	258	12	133	0	0	0
TCGA-EB-A5VU-01	0	5	10	0	41	0	9	0
TCGA-EB-A6L9-06	0	1	0	0	17	3	7	0
TCGA-EB-A6QY-01	427	99	185	126	0	14	11	10
TCGA-EB-A6QZ-01	104	123	105	0	28	15	7	5
TCGA-EB-A6R0-01	198	108	157	0	55	0	4	6
TCGA-EB-A82B-01	0	0	7	0	50	4	3	1
TCGA-EB-A82C-01	13	0	0	0	24	6	5	0
TCGA-EB-A85I-01	136	54	50	14	0	9	41	2
TCGA-EB-A85J-01	313	176	42	0	26	0	3	4
TCGA-EB-A97M-01	179	129	62	0	54	0	5	0
TCGA-EE-A17X-06	489	249	190	98	25	0	25	14
TCGA-EE-A17Y-06	54	90	55	0	22	0	6	5
TCGA-EE-A17Z-06	0	0	2	0	1	12	11	0
TCGA-EE-A180-06	356	157	133	0	24	19	34	2
TCGA-EE-A181-06	1686	966	798	408	0	90	0	56
TCGA-EE-A182-06	970	296	282	379	0	95	16	2
TCGA-EE-A183-06	532	300	99	0	45	12	17	11
TCGA-EE-A184-06	0	10	0	13	0	0	384	3
TCGA-EE-A185-06	128	50	67	0	10	2	11	0
TCGA-EE-A20B-06	87	66	67	0	0	24	0	0
TCGA-EE-A20C-06	769	589	839	423	10	190	18	33
TCGA-EE-A20F-06	279	55	140	169	0	0	6	2
TCGA-EE-A20H-06	251	229	120	90	0	110	5	8
TCGA-EE-A20I-06	0	0	3	0	11	10	6	0
TCGA-EE-A29A-06	50	43	127	124	0	0	10	0
TCGA-EE-A29B-06	234	118	145	238	0	0	2	12
TCGA-EE-A29C-06	250	95	174	0	33	21	0	0
TCGA-EE-A29D-06	2175	1773	1202	0	0	41	24	29
TCGA-EE-A29E-06	2195	520	839	1335	0	0	0	0
TCGA-EE-A29G-06	239	103	58	11	1	51	0	11
TCGA-EE-A29H-06	153	117	71	37	0	23	14	3
TCGA-EE-A29L-06	1359	541	525	245	0	0	27	63
TCGA-EE-A29M-06	1192	688	598	769	0	0	0	0
TCGA-EE-A29N-06	218	144	293	92	60	26	0	14
TCGA-EE-A29P-06	84	204	97	0	19	0	3	3
TCGA-EE-A29Q-06	196	66	80	4	55	3	0	5
TCGA-EE-A29R-06	408	197	188	114	0	21	6	0
TCGA-EE-A29S-06	684	419	262	18	0	106	3	6
TCGA-EE-A29T-06	260	131	6	0	41	9	66	0
TCGA-EE-A29V-06	306	454	529	27	43	24	14	15
TCGA-EE-A29W-06	32	0	29	9	6	4	11	2
TCGA-EE-A29X-06	53	41	64	34	0	0	7	6
TCGA-EE-A2A0-06	154	233	27	74	41	0	0	4
TCGA-EE-A2A1-06	228	121	91	41	36	12	0	0
TCGA-EE-A2A2-06	283	542	685	439	77	0	18	30
TCGA-EE-A2A5-06	196	48	135	23	0	23	8	5
TCGA-EE-A2A6-06	298	9	78	0	0	19	10	3
TCGA-EE-A2GB-06	398	276	203	0	0	13	6	15
TCGA-EE-A2GC-06	1454	852	756	80	0	40	28	24
TCGA-EE-A2GD-06	346	231	62	50	29	18	0	8
TCGA-EE-A2GE-06	56	56	133	71	0	7	3	0
TCGA-EE-A2GH-06	180	105	88	33	0	0	17	3
TCGA-EE-A2GI-06	868	433	474	254	0	99	14	0
TCGA-EE-A2GJ-06	654	456	276	93	36	64	0	31
TCGA-EE-A2GK-06	0	0	0	0	0	0	4	0
TCGA-EE-A2GL-06	155	159	147	0	11	1	5	19
TCGA-EE-A2GM-06	356	242	254	79	35	0	8	0
TCGA-EE-A2GN-06	205	142	173	18	13	0	12	6
TCGA-EE-A2GO-06	943	940	719	0	116	9	0	54
TCGA-EE-A2GP-06	395	284	120	9	46	0	8	2
TCGA-EE-A2GR-06	712	369	793	248	0	52	15	26
TCGA-EE-A2GS-06	233	118	85	0	9	19	4	0
TCGA-EE-A2GT-06	116	175	47	44	61	0	16	3
TCGA-EE-A2GU-06	319	340	111	40	0	0	5	13
TCGA-EE-A2M5-06	796	374	1000	419	0	123	0	53
TCGA-EE-A2M6-06	250	278	145	5	0	25	27	16
TCGA-EE-A2M7-06	35	0	2	0	10	3	31	5
TCGA-EE-A2M8-06	95	0	0	25	13	18	0	0
TCGA-EE-A2MC-06	515	287	93	0	37	92	3	3
TCGA-EE-A2MD-06	1430	487	333	0	0	66	10	5
TCGA-EE-A2ME-06	14	8	5	0	15	0	0	0
TCGA-EE-A2MF-06	414	294	39	183	0	71	0	31
TCGA-EE-A2MG-06	72	111	43	30	0	7	14	0
TCGA-EE-A2MH-06	44	54	65	0	32	0	1	5
TCGA-EE-A2MI-06	628	554	194	61	0	40	6	5
TCGA-EE-A2MJ-06	1355	587	368	321	0	0	0	21
TCGA-EE-A2MK-06	215	45	52	61	0	28	0	3
TCGA-EE-A2ML-06	304	134	269	0	0	44	7	0
TCGA-EE-A2MM-06	363	257	101	0	13	2	25	0
TCGA-EE-A2MN-06	114	6	49	17	0	11	8	0
TCGA-EE-A2MP-06	141	61	121	15	29	16	9	1
TCGA-EE-A2MQ-06	150	55	97	0	30	4	18	11
TCGA-EE-A2MR-06	4479	0	308	0	171	89	14	0
TCGA-EE-A2MS-06	1798	685	1302	175	0	0	14	8
TCGA-EE-A2MT-06	419	394	318	44	70	1	0	13
TCGA-EE-A2MU-06	490	201	154	0	0	0	3	62
TCGA-EE-A3AA-06	1018	227	391	392	0	0	0	22
TCGA-EE-A3AB-06	0	262	154	0	0	446	0	47
TCGA-EE-A3AC-06	504	280	320	239	3	24	0	15
TCGA-EE-A3AD-06	267	137	151	0	0	26	14	1
TCGA-EE-A3AE-06	1052	374	298	272	0	0	8	9
TCGA-EE-A3AF-06	220	531	491	0	97	0	13	9
TCGA-EE-A3AG-06	919	668	673	32	0	0	11	9
TCGA-EE-A3AH-06	220	152	115	0	0	0	13	8
TCGA-EE-A3J3-06	78	19	55	0	57	10	8	0
TCGA-EE-A3J4-06	45	0	97	175	69	0	14	18
TCGA-EE-A3J5-06	773	944	594	413	0	181	17	18
TCGA-EE-A3J7-06	364	135	542	136	43	37	60	33
TCGA-EE-A3J8-06	162	93	27	64	18	0	4	3
TCGA-EE-A3JA-06	568	324	211	332	0	0	0	0
TCGA-EE-A3JB-06	188	75	313	190	2	43	26	22
TCGA-EE-A3JD-06	1932	492	461	0	0	217	0	0
TCGA-EE-A3JE-06	140	59	117	0	48	0	0	5
TCGA-EE-A3JH-06	82	33	60	15	52	0	3	0
TCGA-EE-A3JI-06	323	161	498	416	79	1	42	16
TCGA-ER-A193-06	997	663	470	307	122	12	0	48
TCGA-ER-A194-01	701	552	518	48	0	3	30	14
TCGA-ER-A195-06	171	93	60	14	0	10	0	0
TCGA-ER-A196-01	1	0	0	0	13	4	7	0
TCGA-ER-A197-06	0	0	0	0	16	25	11	0
TCGA-ER-A198-06	234	159	194	0	48	0	16	1
TCGA-ER-A199-06	208	79	68	0	0	6	9	2
TCGA-ER-A19A-06	154	27	19	37	8	2	1	0
TCGA-ER-A19B-06	35	0	6	0	0	84	2	4
TCGA-ER-A19C-06	28	0	31	49	0	0	11	3
TCGA-ER-A19D-06	263	121	142	27	88	1	0	0
TCGA-ER-A19E-06	262	132	79	0	134	1	3	6
TCGA-ER-A19F-06	540	413	295	0	0	51	6	8
TCGA-ER-A19G-06	245	183	189	0	0	43	20	18
TCGA-ER-A19H-06	134	80	85	0	28	33	13	0
TCGA-ER-A19J-06	128	106	12	4	37	0	2	2
TCGA-ER-A19K-01	52	283	62	74	10	0	16	5
TCGA-ER-A19L-06	23	25	13	5	5	0	0	3
TCGA-ER-A19M-06	274	145	202	28	11	0	16	1
TCGA-ER-A19N-06	282	160	161	36	0	0	9	14
TCGA-ER-A19O-06	139	65	18	0	0	13	9	0
TCGA-ER-A19P-06	120	66	102	65	0	0	282	5
TCGA-ER-A19Q-06	106	0	30	0	7	11	9	0
TCGA-ER-A19S-06	48	119	44	28	9	9	11	7
TCGA-ER-A19T-01	0	1	14	0	36	4	10	5
TCGA-ER-A19W-06	184	22	123	100	30	9	19	1
TCGA-ER-A1A1-06	0	32	36	22	0	0	3	1
TCGA-ER-A2NB-01	0	0	10	0	41	8	20	6
TCGA-ER-A2NC-06	210	203	112	0	14	0	12	1
TCGA-ER-A2ND-06	35	24	4	0	39	40	2	1
TCGA-ER-A2NE-06	111	16	31	0	5	4	10	2
TCGA-ER-A2NF-01	0	22	3	0	13	0	3	0
TCGA-ER-A2NG-06	85	142	66	0	30	0	0	24
TCGA-ER-A2NH-06	217	132	54	0	0	6	2	4
TCGA-ER-A3ES-06	0	0	0	0	21	0	7	1
TCGA-ER-A3ET-06	0	14	2	9	54	11	20	6
TCGA-ER-A3EV-06	0	5	9	1	51	0	24	9
TCGA-ER-A3PL-06	115	196	198	0	0	0	10	0
TCGA-ER-A42H-01	0	1	0	0	51	0	25	1
TCGA-ER-A42K-06	113	33	89	4	7	18	6	3
TCGA-ER-A42L-06	333	586	180	184	0	0	16	2
TCGA-FR-A2OS-01	0	0	0	0	10	6	0	0
TCGA-FR-A3R1-01	225	133	187	0	0	23	21	0
TCGA-FR-A3YN-06	358	200	143	0	30	51	5	1
TCGA-FR-A3YO-06	593	363	160	0	47	18	8	0
TCGA-FR-A44A-06	113	94	102	31	68	0	11	1
TCGA-FR-A69P-06	121	90	44	0	42	4	0	4
TCGA-FR-A726-01	3231	1416	3564	1935	0	0	0	0
TCGA-FR-A728-01	239	94	111	81	0	1	9	5
TCGA-FR-A729-06	650	154	196	170	0	0	0	34
TCGA-FR-A7U8-06	0	0	2	0	29	0	13	0
TCGA-FR-A7U9-06	1194	582	337	301	0	0	28	38
TCGA-FR-A7UA-06	61	50	28	99	0	0	3	0
TCGA-FR-A8YC-06	1790	823	699	605	0	143	5	35
TCGA-FR-A8YD-06	0	22	7	7	56	3	26	11
TCGA-FR-A8YE-06	228	137	70	22	0	0	1	13
TCGA-FS-A1YW-06	97	42	26	22	26	0	6	0
TCGA-FS-A1YX-06	6	0	9	0	2	0	12	1
TCGA-FS-A1YY-06	43	135	57	6	23	0	10	0
TCGA-FS-A1Z0-06	132	0	85	75	22	30	2	5
TCGA-FS-A1Z3-06	667	190	245	202	0	68	8	10
TCGA-FS-A1Z4-06	0	37	1	1	3	4	4	3
TCGA-FS-A1Z7-06	62	73	50	25	40	0	0	0
TCGA-FS-A1ZA-06	872	192	244	211	0	87	10	8
TCGA-FS-A1ZB-06	151	90	57	0	0	0	18	0
TCGA-FS-A1ZC-06	464	201	176	105	0	13	6	13
TCGA-FS-A1ZD-06	74	66	99	54	7	30	7	4
TCGA-FS-A1ZE-06	76	13	10	34	52	5	0	0
TCGA-FS-A1ZF-06	89	38	63	22	40	24	0	3
TCGA-FS-A1ZG-06	0	0	0	0	20	10	12	3
TCGA-FS-A1ZH-06	0	0	11	0	27	5	1	0
TCGA-FS-A1ZJ-06	0	2	2	10	45	4	19	1
TCGA-FS-A1ZK-06	566	469	987	125	0	17	14	34
TCGA-FS-A1ZM-06	99	93	76	0	18	15	20	10
TCGA-FS-A1ZN-01	29	49	35	7	9	0	5	3
TCGA-FS-A1ZP-06	421	92	3	0	37	17	10	0
TCGA-FS-A1ZQ-06	230	140	83	203	0	0	7	20
TCGA-FS-A1ZR-06	88	59	28	0	0	0	12	0
TCGA-FS-A1ZS-06	101	86	73	52	52	8	12	0
TCGA-FS-A1ZT-06	73	124	19	0	17	0	7	2
TCGA-FS-A1ZU-06	6	0	0	0	36	2	8	0
TCGA-FS-A1ZW-06	455	0	202	163	74	4	0	10
TCGA-FS-A1ZY-06	2	0	14	0	12	0	12	2
TCGA-FS-A1ZZ-06	1353	662	73	0	0	36	5	18
TCGA-FS-A4F0-06	189	132	274	132	13	27	3	0
TCGA-FS-A4F4-06	12	0	0	3	29	0	9	3
TCGA-FS-A4F5-06	515	305	153	0	0	51	1	0
TCGA-FS-A4F8-06	64	39	42	50	14	12	8	6
TCGA-FS-A4F9-06	267	200	98	0	0	0	16	9
TCGA-FS-A4FB-06	136	32	56	0	0	21	3	2
TCGA-FS-A4FC-06	565	238	172	0	13	0	11	0
TCGA-FS-A4FD-06	285	131	82	92	0	0	6	12
TCGA-FW-A3I3-06	0	3	0	2	38	4	21	5
TCGA-FW-A3R5-06	20038	0	7431	0	0	0	0	0
TCGA-FW-A3TU-06	305	105	365	187	93	7	16	2
TCGA-FW-A3TV-06	242	0	83	87	32	7	0	7
TCGA-FW-A5DX-01	47	56	67	55	29	0	8	5
TCGA-FW-A5DY-06	100	103	26	0	11	0	1	0
TCGA-GF-A2C7-01	14	40	36	0	0	4	8	1
TCGA-GF-A3OT-06	370	108	231	0	37	21	17	0
TCGA-GF-A4EO-06	132	85	97	0	0	12	18	2
TCGA-GF-A6C8-06	199	141	108	0	42	31	1	5
TCGA-GF-A6C9-06	2225	884	253	427	0	24	13	28
TCGA-GF-A769-01	86	31	56	0	30	0	7	5
TCGA-GN-A262-06	113	125	217	0	0	22	18	0
TCGA-GN-A263-01	242	128	169	57	0	0	2	5
TCGA-GN-A264-06	15	0	0	0	28	0	9	9
TCGA-GN-A265-06	93	99	82	0	0	22	6	8
TCGA-GN-A266-06	3042	494	673	1098	0	0	28	12
TCGA-GN-A267-06	128	58	206	139	53	0	8	8
TCGA-GN-A268-06	180	139	39	29	50	1	7	6
TCGA-GN-A269-01	364	193	225	200	0	0	8	8
TCGA-GN-A26A-06	118	141	163	0	14	0	6	10
TCGA-GN-A26C-01	1227	432	382	456	0	0	10	0
TCGA-GN-A26D-06	0	13	0	0	28	4	12	1
TCGA-GN-A4U3-06	155	13	151	106	0	24	12	0
TCGA-GN-A4U4-06	381	290	193	88	0	4	9	10
TCGA-GN-A4U5-01	54	193	183	0	17	0	6	0
TCGA-GN-A4U7-06	81	0	129	91	23	5	13	5
TCGA-GN-A4U8-06	199	127	107	93	0	0	13	7
TCGA-GN-A4U9-06	2	0	0	2	17	20	18	18
TCGA-GN-A8LK-06	1097	960	601	0	0	47	36	51
TCGA-GN-A8LL-06	0	0	9	8	23	9	16	5
TCGA-GN-A8LN-01	213	71	28	0	16	13	15	4
TCGA-GN-A9SD-06	106	3	34	38	0	6	17	0
TCGA-HR-A2OG-06	41	58	61	42	40	7	0	5
TCGA-HR-A2OH-06	73	14	44	0	6	12	3	5
TCGA-HR-A5NC-01	0	1	33	20	25	0	13	1
TCGA-IH-A3EA-01	784	785	222	198	0	0	26	0
TCGA-LH-A9QB-06	160	48	100	24	0	6	21	0
TCGA-OD-A75X-06	495	646	170	0	76	65	2	1
TCGA-QB-A6FS-06	731	578	273	0	0	0	12	10
TCGA-QB-AA9O-06	932	333	396	201	35	154	7	38
TCGA-RP-A690-06	0	3	0	0	11	0	4	2
TCGA-RP-A693-06	335	305	378	10	29	0	13	21
TCGA-RP-A694-06	611	87	180	49	0	9	21	18
TCGA-RP-A695-06	465	413	262	2	0	11	18	14
